caseId,payloadLength,legendLabel,uniqueWithinPayloadGroup
K200_S15,200,分块200,true
K200_M255K207,200,255整块200,true
K200_M511K421,200,421整块200,true
K200_M511K385,200,385整块200,true
K300_S15,300,分块300,true
K300_M255K207,300,255双块300,true
K300_M511K421,300,421整块300,true
K300_M511K385,300,385整块300,true
