caseId,payloadVectorSum,encodedVectorSum,shorteningVectorSum,recomputedRate,rateError,payloadSumPass,encodedSumPass,ratePass,passed
K200_S15,200,285,0,0.701754385964912,0,1,1,1,1
K200_M255K207,200,248,7,0.806451612903226,0,1,1,1,1
K200_M511K421,200,290,221,0.689655172413793,0,1,1,1,1
K200_M511K385,200,326,185,0.613496932515337,0,1,1,1,1
K300_S15,300,420,0,0.714285714285714,0,1,1,1,1
K300_M255K207,300,396,114,0.757575757575758,0,1,1,1,1
K300_M511K421,300,390,121,0.769230769230769,0,1,1,1,1
K300_M511K385,300,426,85,0.704225352112676,0,1,1,1,1
