caseId,displayName,payloadLength,motherN,motherK,motherT,decoderType,organization,blockCount,payloadPerBlock,fillerPerBlock,shorteningPerBlock,encodedLengthPerBlock,totalEncodedLength,actualRate,payloadReassemblyOrder,systematicBitOrder,parityBitOrder,shortenedBitPolicy,legendLabel,plotStyleId,ferDefinition,latencyDefinition
K200_S15,BCH15分块200,200,15,11,1,SYNDROME_LOOKUP,SEGMENTED_15_11,19,11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15,285,0.70175438596491224,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,NO_SHORTENING;FINAL_INFORMATION_FILLER_IS_ZERO_AND_REMOVED_AFTER_DECODE,分块200,STYLE_1,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K200_M255K207,BCH255整块200,200,255,207,6,BERLEKAMP_MASSEY_CHIEN,SHORTENED_WHOLE_BLOCK,1,200,0,7,248,248,0.80645161290322576,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,255整块200,STYLE_2,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K200_M511K421,BCH421整块200,200,511,421,10,BERLEKAMP_MASSEY_CHIEN,SHORTENED_WHOLE_BLOCK,1,200,0,221,290,290,0.68965517241379315,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,421整块200,STYLE_3,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K200_M511K385,BCH385整块200,200,511,385,14,BERLEKAMP_MASSEY_CHIEN,SHORTENED_WHOLE_BLOCK,1,200,0,185,326,326,0.61349693251533743,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,385整块200,STYLE_4,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K300_S15,BCH15分块300,300,15,11,1,SYNDROME_LOOKUP,SEGMENTED_15_11,28,11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15|15,420,0.7142857142857143,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,NO_SHORTENING;FINAL_INFORMATION_FILLER_IS_ZERO_AND_REMOVED_AFTER_DECODE,分块300,STYLE_1,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K300_M255K207,BCH255双块300,300,255,207,6,BERLEKAMP_MASSEY_CHIEN,SHORTENED_MULTI_BLOCK,2,150|150,0|0,57|57,198|198,396,0.75757575757575757,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,255双块300,STYLE_2,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K300_M511K421,BCH421整块300,300,511,421,10,BERLEKAMP_MASSEY_CHIEN,SHORTENED_WHOLE_BLOCK,1,300,0,121,390,390,0.76923076923076927,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,421整块300,STYLE_3,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
K300_M511K385,BCH385整块300,300,511,385,14,BERLEKAMP_MASSEY_CHIEN,SHORTENED_WHOLE_BLOCK,1,300,0,85,426,426,0.70422535211267601,BLOCK_ASCENDING_PAYLOAD_CONCATENATION,INDEX_0_HIGHEST_DEGREE;SYSTEMATIC_PAYLOAD_THEN_PARITY,GENERATOR_DESCENDING_DEGREE,PREPEND_KNOWN_ZERO_INFORMATION_BITS_AND_DO_NOT_TRANSMIT_PREFIX,385整块300,STYLE_4,FRAME_ERROR_IF_ANY_RECOVERED_PAYLOAD_BIT_DIFFERS,ONE_FRAME_DECODE_ELAPSED_TIME_INCLUDING_ALL_BLOCKS
