caseName,fieldDegree,primitivePolynomial,generatorPolynomial,generatorDegree,correctionCapability,shorteningLength,shortenedN,shortenedK
BCH-B200,8,285,1110001111110101110000101110111110011110010010111,48,6,7,248,200
BCH-B300,9,529,1011001111111001001110010101010110111010110100110001000011110000110100100111000111101001011,90,10,121,390,300
BCH-B300-426,9,529,1111111101101100110000010101111111111111001010011111010100101101100101010001000111011000000101011000011011001100100100000011001,126,14,85,426,300
