phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,gridLayer,sourceLayer,berZeroErrorUpper95,ferZeroErrorUpper95,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId
formal,CC-B-R23-S,1,1,2.8469143081759878,0.65359477124183007,0.39716411736214075,459,0,5000,5000,8320246021676229635,5005,466,0.0033366666666666666,0.093200000000000005,0.90680000000000005,6.0780999999999947,682.29999999999995,439.79450000000026,707.89999999999998,5349.1999999999998,0.6821367706963134,0.61856162366741707,0.59267973856209155,TARGET_ERRORS_REACHED,0.003245644533482617,0.003430232675659585,0.08545135145874014,0.10157325084375834,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-2300,dense-068,merged-157
formal,CC-B-R23-S,1.1000000000000001,1.1000000000000001,2.9469143081759879,0.65359477124183007,0.38812355831434586,459,0,5000,5000,8320246021676229635,3812,378,0.0025413333333333334,0.075600000000000001,0.9244,5.9598200000000077,247,434.86496000000017,677.89999999999998,3658.9000000000001,0.68986933322933142,0.63771521163719391,0.6041830065359477,TARGET_ERRORS_REACHED,0.002462025972969445,0.0026231886431493222,0.06859391472633179,0.08325771068463271,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-2300,dense-069,merged-158
formal,CC-B-R23-S,1.2,1.2,3.046914308175988,0.65359477124183007,0.37928878751459189,459,0,5000,5000,8320246021676229635,2957,300,0.0019713333333333332,0.059999999999999998,0.93999999999999995,5.7347000000000028,310.5,412.7860800000006,602,2636.9000000000001,0.72676869336291472,0.68316257176113981,0.61437908496732019,TARGET_ERRORS_REACHED,0.001901614457891306,0.0020436030777286887,0.05374897325570842,0.06692660445594185,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-2300,dense-070,merged-159
formal,CC-B-R23-S,1.3,1.3,3.1469143081759876,0.65359477124183007,0.3706551206504588,459,0,5000,5000,8320246021676229635,2205,238,0.00147,0.047600000000000003,0.95240000000000002,5.8203199999999917,336.39999999999998,435.72145999999873,686.10000000000002,9226.2000000000007,0.6885132533981706,0.65574002253641772,0.62248366013071899,TARGET_ERRORS_REACHED,0.0014099520412728527,0.001532601395475707,0.04203767154178207,0.05385694517810564,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-4999,STAGE09-2300,dense-071,merged-160
formal,CC-B-R23-S,1.3999999999999999,1.3999999999999999,3.2469143081759877,0.65359477124183007,0.36221798003749506,459,0,5209,5209,2231336559401121409,1753,200,0.0011217764126191848,0.038395085429065078,0.96160491457093489,5.5314647725090991,432.30000000000001,402.68648492992895,577.70000000000005,5471.8999999999996,0.74499644568951129,0.71639224351291264,0.62849994416400978,TARGET_ERRORS_REACHED,0.0010705053724047277,0.0011755001506534195,0.03350805922220992,0.043962445494051976,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-5208,STAGE09-2300,dense-072,merged-161
formal,CC-B-R23-S,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,459,0,6595,6595,1138277801907921406,1743,200,0.00088097043214556479,0.030326004548900682,0.96967399545109934,5.5757998483700213,273.39999999999998,406.99081122062091,608.89999999999998,2356.5999999999999,0.73711737889182094,0.71476355390647384,0.63377385323601265,TARGET_ERRORS_REACHED,0.0008405883108671821,0.0009232907303013761,0.02645292830920934,0.03474591414530635,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-6594,STAGE09-2300,dense-073,merged-162
formal,CC-B-R23-S,1.6000000000000001,1.6000000000000001,3.4469143081759879,0.65359477124183007,0.34591548545946826,459,0,9445,9445,5926894685659514009,1607,200,0.00056714310922886888,0.021175224986765485,0.9788247750132345,5.5499735309688312,241.59999999999999,409.80987824245744,611.79999999999995,3355.9000000000001,0.73204677565753995,0.71654552048215525,0.63975475491061085,TARGET_ERRORS_REACHED,0.0005400909082742301,0.0005955494998093524,0.018460518130716246,0.02427926754361101,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-9444,STAGE09-2300,dense-074,merged-163
formal,CC-B-R23-S,1.7,1.7,3.546914308175988,0.65359477124183007,0.33804148769599091,459,0,12378,12378,2679421622655991048,1497,200,0.00040313459363386654,0.016157699143641947,0.98384230085635804,5.5268137017289289,569.39999999999998,402.26381483276674,590.20000000000005,5555.8999999999996,0.74577923476591867,0.73372915826299545,0.64303418356624709,TARGET_ERRORS_REACHED,0.0003832275238767619,0.00042407531384610323,0.014081950925797166,0.018533670923649284,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-12377,STAGE09-2300,dense-075,merged-164
formal,CC-B-R23-S,1.8,1.8,3.6469143081759876,0.65359477124183007,0.330346724003798,459,0,15977,15977,16778614886351710865,1487,200,0.00031023763326448435,0.012517994617262315,0.98748200538273767,6.5475183075671746,5844.1999999999998,479.77398760718415,840.5,24139.700000000001,0.62529442560280191,0.61746699334890187,0.64541307541355408,TARGET_ERRORS_REACHED,0.0002948670989249354,0.00032640912569246484,0.010907423064789784,0.014362927051711251,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-15976,STAGE09-2300,dense-076,merged-165
formal,CC-B-R23-S,1.8999999999999999,1.8999999999999999,3.7469143081759877,0.65359477124183007,0.32282711451732771,459,0,21875,21875,8536950023097274766,1412,200,0.00021516190476190476,0.0091428571428571435,0.99085714285714288,6.368086857142905,2468.5999999999999,469.52538057142914,800.5,74110.600000000006,0.6389430953336096,0.63310132989055945,0.64761904761904765,TARGET_ERRORS_REACHED,0.00020422919072200313,0.00022667973171636835,0.007964904413987083,0.010493178002341275,dense_verified_legacy,dense_verified_legacy,,,archive/v01_20260729_before_two_level_grid_revision/stage09_two_level_dense_point_results.csv,6847b812e35d4905dc7fc8252a9a66ca2aee6fbe,2026-07-29,5000,200,50000,1000,2026072001,2026072001,0-21874,STAGE09-2300,dense-077,merged-166
