series,scheme,configurationId,comparisonRole,channelCondition,interleaver,payloadBits,encodedBits,actualRate,burstRatio,x,EsN0Db,metric,rawY,plotted,sourceType,sourceCsvAbsolutePath,sourceStage,sourceRowKey,interpolated,synthetic,exclusionReason,nonMonotonicHighSnrAnomaly
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-5.0,-5.0,FER,1.0,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-039,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-4.5,-4.5,FER,1.0,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-040,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-4.0,-4.0,FER,1.0,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-041,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-3.5,-3.5,FER,0.996,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-042,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-3.0,-3.0,FER,0.974,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-043,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-2.5,-2.5,FER,0.896,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-044,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-2.0,-2.0,FER,0.6498,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-045,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-1.5,-1.5,FER,0.371,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-048,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-1.0,-1.0,FER,0.1774,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-051,false,false,,false
CC无突发（AWGN）,CC,NO_BURST_AWGN,NO_BURST_AWGN_REFERENCE,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,-0.5,-0.5,FER,0.07027406886858749,true,HISTORICAL_FORMAL,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,CC_S3_stage09_awgn_formal,merged-054,false,false,,false
