rateCase,organization,receivedSymbolIndex,cumulativeDecodedPayloadBits,basis
R12,B_CONT_50x6,298.0,33.333333333333336,persisted aggregate output-event metrics
R12,B_CONT_50x6,337.125,66.66666666666667,persisted aggregate output-event metrics
R12,B_CONT_50x6,376.25,100.0,persisted aggregate output-event metrics
R12,B_CONT_50x6,415.375,133.33333333333334,persisted aggregate output-event metrics
R12,B_CONT_50x6,454.5,166.66666666666669,persisted aggregate output-event metrics
R12,B_CONT_50x6,493.625,200.00000000000003,persisted aggregate output-event metrics
R12,B_CONT_50x6,532.75,233.33333333333334,persisted aggregate output-event metrics
R12,B_CONT_50x6,571.875,266.6666666666667,persisted aggregate output-event metrics
R12,B_CONT_50x6,611.0,300.0,persisted aggregate output-event metrics
R12,C_CONT_100x3,398.0,33.333333333333336,persisted aggregate output-event metrics
R12,C_CONT_100x3,424.625,66.66666666666667,persisted aggregate output-event metrics
R12,C_CONT_100x3,451.25,100.0,persisted aggregate output-event metrics
R12,C_CONT_100x3,477.875,133.33333333333334,persisted aggregate output-event metrics
R12,C_CONT_100x3,504.5,166.66666666666669,persisted aggregate output-event metrics
R12,C_CONT_100x3,531.125,200.00000000000003,persisted aggregate output-event metrics
R12,C_CONT_100x3,557.75,233.33333333333334,persisted aggregate output-event metrics
R12,C_CONT_100x3,584.375,266.6666666666667,persisted aggregate output-event metrics
R12,C_CONT_100x3,611.0,300.0,persisted aggregate output-event metrics
R12,D_CONT_150x2,298.0,33.333333333333336,persisted aggregate output-event metrics
R12,D_CONT_150x2,337.125,66.66666666666667,persisted aggregate output-event metrics
R12,D_CONT_150x2,376.25,100.0,persisted aggregate output-event metrics
R12,D_CONT_150x2,415.375,133.33333333333334,persisted aggregate output-event metrics
R12,D_CONT_150x2,454.5,166.66666666666669,persisted aggregate output-event metrics
R12,D_CONT_150x2,493.625,200.00000000000003,persisted aggregate output-event metrics
R12,D_CONT_150x2,532.75,233.33333333333334,persisted aggregate output-event metrics
R12,D_CONT_150x2,571.875,266.6666666666667,persisted aggregate output-event metrics
R12,D_CONT_150x2,611.0,300.0,persisted aggregate output-event metrics
