organization,relativeOffset,bitErrors,bits,BER
B_CONT_50x6,-10,17871,4256115,0.004198899700783461
B_CONT_50x6,-9,17723,4256115,0.004164126204296641
B_CONT_50x6,-8,18308,4256115,0.004301575497842516
B_CONT_50x6,-7,17630,4256115,0.004142275290963708
B_CONT_50x6,-6,18324,4256115,0.00430533479476001
B_CONT_50x6,-5,17926,4256115,0.004211822283937346
B_CONT_50x6,-4,18820,4256115,0.0044218729992023245
B_CONT_50x6,-3,17996,4256115,0.004228269207951383
B_CONT_50x6,-2,18334,4256115,0.004307684355333444
B_CONT_50x6,-1,17770,4256115,0.00417516913899178
B_CONT_50x6,0,18143,4256115,0.004262807748380859
B_CONT_50x6,1,17853,4256115,0.0041946704917512805
B_CONT_50x6,2,18403,4256115,0.004323896323290137
B_CONT_50x6,3,17934,4256115,0.004213701932396094
B_CONT_50x6,4,18333,4256115,0.0043074493992761006
B_CONT_50x6,5,17969,4256115,0.004221925394403111
B_CONT_50x6,6,18260,4256115,0.004290297607090034
B_CONT_50x6,7,17378,4256115,0.004083066364513177
B_CONT_50x6,8,18813,4256115,0.004420228306800921
B_CONT_50x6,9,17681,4256115,0.0041542580498882195
C_CONT_100x3,-10,7378,1702446,0.004333764477698558
C_CONT_100x3,-9,7118,1702446,0.004181043040425364
C_CONT_100x3,-8,7327,1702446,0.004303807580387278
C_CONT_100x3,-7,7238,1702446,0.004251529857628377
C_CONT_100x3,-6,7536,1702446,0.004426572120349192
C_CONT_100x3,-5,7399,1702446,0.0043460996707090855
C_CONT_100x3,-4,7626,1702446,0.004479437233251451
C_CONT_100x3,-3,7313,1702446,0.00429558411838026
C_CONT_100x3,-2,7277,1702446,0.004274438073219356
C_CONT_100x3,-1,7187,1702446,0.0042215729603170965
C_CONT_100x3,0,7459,1702446,0.004381343079310592
C_CONT_100x3,1,7392,1702446,0.004341987939705577
C_CONT_100x3,2,7347,1702446,0.004315555383254447
C_CONT_100x3,3,7186,1702446,0.004220985570173738
C_CONT_100x3,4,7334,1702446,0.004307919311390787
C_CONT_100x3,5,7235,1702446,0.0042497676871983015
C_CONT_100x3,6,7289,1702446,0.004281486754939658
C_CONT_100x3,7,7107,1702446,0.004174581748848422
C_CONT_100x3,8,7602,1702446,0.004465339869810849
C_CONT_100x3,9,7201,1702446,0.004229796422324115
D_CONT_150x2,-10,3539,851223,0.004157547434691027
D_CONT_150x2,-9,3503,851223,0.00411525534436922
D_CONT_150x2,-8,3680,851223,0.004323191455118107
D_CONT_150x2,-7,3460,851223,0.004064739792040394
D_CONT_150x2,-6,3578,851223,0.004203363865872985
D_CONT_150x2,-5,3500,851223,0.0041117310035090684
D_CONT_150x2,-4,3913,851223,0.004596915261923139
D_CONT_150x2,-3,3625,851223,0.004258578539348678
D_CONT_150x2,-2,3699,851223,0.004345512280565727
D_CONT_150x2,-1,3619,851223,0.004251529857628377
D_CONT_150x2,0,3553,851223,0.004173994358705063
D_CONT_150x2,1,3512,851223,0.004125828366949671
D_CONT_150x2,2,3762,851223,0.00441952343862889
D_CONT_150x2,3,3718,851223,0.004367833106013348
D_CONT_150x2,4,3598,851223,0.004226859471607323
D_CONT_150x2,5,3644,851223,0.0042808993647962985
D_CONT_150x2,6,3700,851223,0.004346687060852444
D_CONT_150x2,7,3604,851223,0.004233908153327624
D_CONT_150x2,8,3713,851223,0.004361959204579763
D_CONT_150x2,9,3597,851223,0.004225684691320606
