organization,relativeOffset,bitErrors,bits,BER
B_CONT_50x6,-10,23421,3794040,0.00617310307745833
B_CONT_50x6,-9,23733,3794040,0.00625533731853117
B_CONT_50x6,-8,23541,3794040,0.006204731631717114
B_CONT_50x6,-7,23120,3794040,0.006093768120525878
B_CONT_50x6,-6,23462,3794040,0.006183909500163415
B_CONT_50x6,-5,22888,3794040,0.006032619582292227
B_CONT_50x6,-4,23859,3794040,0.006288547300502894
B_CONT_50x6,-3,23543,3794040,0.006205258774288094
B_CONT_50x6,-2,23501,3794040,0.006194188780297519
B_CONT_50x6,-1,23211,3794040,0.006117753107505456
B_CONT_50x6,0,23561,3794040,0.006210003057426912
B_CONT_50x6,1,23344,3794040,0.006152808088475609
B_CONT_50x6,2,23773,3794040,0.006265880169950765
B_CONT_50x6,3,23207,3794040,0.006116698822363496
B_CONT_50x6,4,23254,3794040,0.00612908667278152
B_CONT_50x6,5,23779,3794040,0.006267461597663704
B_CONT_50x6,6,23239,3794040,0.006125133103499172
B_CONT_50x6,7,23097,3794040,0.00608770598095961
B_CONT_50x6,8,23370,3794040,0.006159660941898346
B_CONT_50x6,9,23675,3794040,0.006240050183972758
C_CONT_100x3,-10,9470,1517616,0.006240050183972758
C_CONT_100x3,-9,9685,1517616,0.006381719749923564
C_CONT_100x3,-8,9287,1517616,0.00611946632086114
C_CONT_100x3,-7,9265,1517616,0.006104969900159197
C_CONT_100x3,-6,9636,1517616,0.006349432267451055
C_CONT_100x3,-5,9313,1517616,0.006136598454417982
C_CONT_100x3,-4,9749,1517616,0.006423891155601944
C_CONT_100x3,-3,9488,1517616,0.0062519108918198014
C_CONT_100x3,-2,9448,1517616,0.006225553763270815
C_CONT_100x3,-1,9402,1517616,0.006195243065439479
C_CONT_100x3,0,9654,1517616,0.006361292975298099
C_CONT_100x3,1,9423,1517616,0.006209080557927697
C_CONT_100x3,2,9447,1517616,0.006224894835057089
C_CONT_100x3,3,9335,1517616,0.006151094875119925
C_CONT_100x3,4,9547,1517616,0.006290787656429558
C_CONT_100x3,5,9850,1517616,0.006490442905188137
C_CONT_100x3,6,9322,1517616,0.006142528808341504
C_CONT_100x3,7,9105,1517616,0.005999541385963247
C_CONT_100x3,8,9585,1517616,0.006315826928551096
C_CONT_100x3,9,9601,1517616,0.0063263697799706906
D_CONT_150x2,-10,4551,758808,0.005997564601322073
D_CONT_150x2,-9,4861,758808,0.006406100093831377
D_CONT_150x2,-8,4867,758808,0.006414007232396074
D_CONT_150x2,-7,4583,758808,0.006039736007000454
D_CONT_150x2,-6,4760,758808,0.006272996594658992
D_CONT_150x2,-5,4580,758808,0.006035782437718106
D_CONT_150x2,-4,4822,758808,0.006354703693160852
D_CONT_150x2,-3,4718,758808,0.006217646624706118
D_CONT_150x2,-2,4816,758808,0.006346796554596156
D_CONT_150x2,-1,4534,758808,0.005975161042055434
D_CONT_150x2,0,4834,758808,0.006370517970290245
D_CONT_150x2,1,4914,758808,0.006475946484486194
D_CONT_150x2,2,4725,758808,0.006226871619698263
D_CONT_150x2,3,4671,758808,0.006155707372615998
D_CONT_150x2,4,4586,758808,0.0060436895762828015
D_CONT_150x2,5,4812,758808,0.006341525128886359
D_CONT_150x2,6,4768,758808,0.006283539446078587
D_CONT_150x2,7,4785,758808,0.006305943005345226
D_CONT_150x2,8,4525,758808,0.00596330033420839
D_CONT_150x2,9,4863,758808,0.006408735806686276
