rateCase,organization,receivedSymbolIndex,cumulativeDecodedPayloadBits,basis
R34,B_CONT_50x6,265.0,42.857142857142854,persisted aggregate output-event metrics
R34,B_CONT_50x6,288.6666666666667,85.71428571428572,persisted aggregate output-event metrics
R34,B_CONT_50x6,312.3333333333333,128.57142857142858,persisted aggregate output-event metrics
R34,B_CONT_50x6,336.0,171.42857142857144,persisted aggregate output-event metrics
R34,B_CONT_50x6,359.6666666666667,214.2857142857143,persisted aggregate output-event metrics
R34,B_CONT_50x6,383.33333333333337,257.14285714285717,persisted aggregate output-event metrics
R34,B_CONT_50x6,407.0,300.0,persisted aggregate output-event metrics
R34,C_CONT_100x3,265.0,42.857142857142854,persisted aggregate output-event metrics
R34,C_CONT_100x3,288.6666666666667,85.71428571428572,persisted aggregate output-event metrics
R34,C_CONT_100x3,312.3333333333333,128.57142857142858,persisted aggregate output-event metrics
R34,C_CONT_100x3,336.0,171.42857142857144,persisted aggregate output-event metrics
R34,C_CONT_100x3,359.6666666666667,214.2857142857143,persisted aggregate output-event metrics
R34,C_CONT_100x3,383.33333333333337,257.14285714285717,persisted aggregate output-event metrics
R34,C_CONT_100x3,407.0,300.0,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.0,42.857142857142854,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.1666666666667,85.71428571428572,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.3333333333333,128.57142857142858,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.5,171.42857142857144,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.6666666666667,214.2857142857143,persisted aggregate output-event metrics
R34,D_CONT_150x2,406.8333333333333,257.14285714285717,persisted aggregate output-event metrics
R34,D_CONT_150x2,407.0,300.0,persisted aggregate output-event metrics
