caseName,snrDb,multipathFer,awgnFer,ferAmplification,valid,reason
BCH-S200,6.4618513565547095,0.5242,0.003822400661940378,137.13894653154927,true,BRACKETED_LOG_INTERPOLATION
BCH-S200,6.6618513565547088,0.47999999999999998,0.0027391969626151418,175.23383916932306,true,BRACKETED_LOG_INTERPOLATION
BCH-S200,6.8618513565547099,0.43259999999999998,0.0017787636155487336,243.20263593122041,true,BRACKETED_LOG_INTERPOLATION
BCH-B200,5.0657831483776494,0.55979999999999996,0.00044000000000000002,1272.2727272727273,true,EXACT
BCH-S300,6.53871964321762,0.65000000000000002,0.0055680837439795097,116.73675,true,EXACT
BCH-S300,6.7387196432176193,0.60419999999999996,0.00314,192.42038216560508,true,EXACT
BCH-S300,6.9387196432176204,0.55179999999999996,0.0020400000000000001,270.49019607843132,true,EXACT
BCH-S300,7.1387196432176196,0.51200000000000001,0.00116,441.37931034482762,true,EXACT
BCH-S300,7.3387196432176207,0.4652,0.00072000000000000005,646.11111111111109,true,EXACT
BCH-S300,7.53871964321762,0.43319999999999997,0.00046000000000000001,941.73913043478251,true,EXACT
