caseName,sourcePayloadEbN0Db,frameRate,snrDb,decoderFailureRate
BCH-B200,6,0.80645161290322576,5.0657831483776494,0.55920000000000003
BCH-B200,6.2000000000000002,0.80645161290322576,5.2657831483776496,0.47860000000000003
BCH-B200,6.4000000000000004,0.80645161290322576,5.4657831483776498,0.40400000000000003
BCH-B200,6.5999999999999996,0.80645161290322576,5.6657831483776491,0.33200000000000002
BCH-B200,6.7999999999999998,0.80645161290322576,5.8657831483776492,0.27660000000000001
BCH-B200,7,0.80645161290322576,6.0657831483776494,0.221
BCH-B200,7.2000000000000002,0.80645161290322576,6.2657831483776496,0.182
BCH-B200,7.4000000000000004,0.80645161290322576,6.4657831483776498,0.13400000000000001
BCH-B200,7.5999999999999996,0.80645161290322576,6.6657831483776491,0.10639999999999999
BCH-B200,7.7999999999999998,0.80645161290322576,6.8657831483776492,0.075200000000000003
BCH-B200,8,0.80645161290322576,7.0657831483776494,0.057000000000000002
BCH-B200,8.1999999999999993,0.80645161290322576,7.2657831483776487,0.047
BCH-B200,8.4000000000000004,0.80645161290322576,7.4657831483776498,0.029996985227615316
BCH-B200,8.5999999999999996,0.80645161290322576,7.6657831483776491,0.021663778162911613
BCH-B200,8.8000000000000007,0.80645161290322576,7.8657831483776501,0.01494433236195173
BCH-B200,9,0.80645161290322576,8.0657831483776494,0.012558284115635686
BCH-B200,9.1999999999999993,0.80645161290322576,8.2657831483776487,0.0076074553062000757
BCH-B200,9.4000000000000004,0.80645161290322576,8.4657831483776498,0.006355662895640015
BCH-B200,9.5999999999999996,0.80645161290322576,8.6657831483776491,0.0046567136238124208
BCH-B200,9.8000000000000007,0.80645161290322576,8.8657831483776501,0.0033400000000000001
BCH-B200,10,0.80645161290322576,9.0657831483776494,0.0019
BCH-B200,10.199999999999999,0.80645161290322576,9.2657831483776487,0.0015200000000000001
BCH-B200,10.4,0.80645161290322576,9.4657831483776498,0.0013799999999999999
BCH-B200,10.6,0.80645161290322576,9.6657831483776491,0.00058
