caseName,snrDb,avgEqualizationTimeUs
BCH-S200,6.4618513565547095,8.4771199999998892
BCH-S200,6.6618513565547088,8.8177799999999067
BCH-S200,6.8618513565547099,10.254980000000021
BCH-S200,7.0618513565547092,10.12489999999992
BCH-S200,7.2618513565547103,8.6405399999999428
BCH-S200,7.4618513565547095,9.338679999999945
BCH-S200,7.6618513565547088,9.1958599999999073
BCH-S200,7.8618513565547099,9.8812199999998818
BCH-S200,8.0618513565547083,8.8934599999999442
BCH-S200,8.2618513565547111,8.6404399999999484
BCH-S200,8.4618513565547104,8.7173799999997765
BCH-S200,8.6618513565547097,8.99963999999982
BCH-S200,8.861851356554709,9.8442999999999348
BCH-S200,9.0618513565547083,8.6151799999998921
BCH-S200,9.2618513565547111,8.5836199999998861
BCH-S200,9.4618513565547104,8.427759999999914
BCH-S200,9.6618513565547097,9.3924599999999732
BCH-S200,9.861851356554709,8.5706399999998979
BCH-S200,10.061851356554708,8.1738199999999068
BCH-S200,10.261851356554711,8.993699999999885
BCH-S200,10.46185135655471,8.2218799999998495
BCH-S200,10.66185135655471,8.5626114229117007
BCH-S200,10.861851356554709,9.0795955327495435
BCH-S200,11.061851356554708,8.3191661402396271
BCH-S200,11.261851356554711,8.156513628354805
BCH-S200,11.46185135655471,8.4030297010028452
BCH-S200,11.66185135655471,8.2492936235198808
BCH-S200,11.861851356554709,8.2141218771306033
BCH-S200,12.061851356554708,8.3521070641734845
BCH-S200,12.261851356554711,8.3846664753402518
BCH-S200,12.46185135655471,8.2923244950782458
BCH-S200,12.66185135655471,8.8345739604640698
BCH-S200,12.861851356554709,8.8781001776499462
BCH-S200,13.061851356554708,9.0000600000008042
BCH-S200,13.261851356554711,9.0977200000007965
BCH-S200,13.46185135655471,8.8546260000007742
BCH-S200,13.66185135655471,8.7818900000011784
BCH-S200,13.861851356554709,8.506678000001191
BCH-S200,14.061851356554708,8.6565820000011549
BCH-S200,14.261851356554711,9.0713280000008343
BCH-S200,14.46185135655471,8.9633960000008859
BCH-B200,5.0657831483776494,7.3201599999999658
BCH-B200,5.2657831483776496,7.5646999999999798
BCH-B200,5.4657831483776498,7.3668000000000164
BCH-B200,5.6657831483776491,8.1478600000000245
BCH-B200,5.8657831483776492,7.6979599999999309
BCH-B200,6.0657831483776494,7.2378600000000395
BCH-B200,6.2657831483776496,7.2089200000000027
BCH-B200,6.4657831483776498,7.3360799999999795
BCH-B200,6.6657831483776491,7.7608399999999831
BCH-B200,6.8657831483776492,8.2700200000000361
BCH-B200,7.0657831483776494,8.0189200000000387
BCH-B200,7.2657831483776487,7.3687600000000018
BCH-B200,7.4657831483776498,7.3505426590291831
BCH-B200,7.6657831483776491,7.4612435008667335
BCH-B200,7.8657831483776501,7.6101621460058873
BCH-B200,8.0657831483776494,7.6900714951817539
BCH-B200,8.2657831483776487,7.4170368961585735
BCH-B200,8.4657831483776498,7.3883024024408446
BCH-B200,8.6657831483776491,7.4597650582679442
BCH-B200,8.8657831483776501,7.518222000000498
BCH-B200,9.0657831483776494,8.0558620000001504
BCH-B200,9.2657831483776487,8.4503779999996773
BCH-B200,9.4657831483776498,7.8294940000003121
BCH-B200,9.6657831483776491,8.2092400000002019
