caseName,snrDb,avgTotalReceiverTimeUs
BCH-S300,6.53871964321762,50.024820000000034
BCH-S300,6.7387196432176193,40.367079999999966
BCH-S300,6.9387196432176204,42.078780000000087
BCH-S300,7.1387196432176196,41.667800000000106
BCH-S300,7.3387196432176207,46.369440000000047
BCH-S300,7.53871964321762,38.89789999999995
BCH-S300,7.7387196432176193,41.172719999999863
BCH-S300,7.9387196432176204,39.687220000000103
BCH-S300,8.1387196432176196,49.468859999999935
BCH-S300,8.3387196432176207,41.691860000000098
BCH-S300,8.53871964321762,41.454159999999931
BCH-S300,8.7387196432176193,37.411679999999897
BCH-S300,8.9387196432176204,41.079260000000012
BCH-S300,9.1387196432176196,46.429919999999854
BCH-S300,9.3387196432176207,40.391899999999922
BCH-S300,9.53871964321762,42.187860000000065
BCH-S300,9.7387196432176193,39.489119999999929
BCH-S300,9.9387196432176204,37.894440000000081
BCH-S300,10.13871964321762,52.286739999999938
BCH-S300,10.338719643217621,40.469599999999986
BCH-S300,10.53871964321762,39.990799999999922
BCH-S300,10.738719643217619,38.69954000000002
BCH-S300,10.93871964321762,39.217120000000001
BCH-S300,11.13871964321762,41.683533632287038
BCH-S300,11.338719643217621,42.106782825140101
BCH-S300,11.53871964321762,40.082548618218965
BCH-S300,11.738719643217619,43.245311578533411
BCH-S300,11.93871964321762,38.346012269938555
BCH-S300,12.13871964321762,39.241382614647698
BCH-S300,12.338719643217621,37.931056525599558
BCH-S300,12.53871964321762,38.880751173708823
BCH-S300,12.738719643217619,41.578136586089315
BCH-S300,12.93871964321762,43.907823925124639
BCH-S300,13.13871964321762,46.647607347328162
BCH-S300,13.338719643217621,47.72139480153816
BCH-S300,13.53871964321762,48.809762000000163
BCH-S300,13.738719643217619,46.833995999999765
BCH-S300,13.93871964321762,43.805659999999925
BCH-S300,14.13871964321762,45.183571999999693
BCH-S300,14.338719643217621,48.558863999999964
BCH-S300,14.53871964321762,46.994032000000246
BCH-S300,14.738719643217619,45.213643999999768
BCH-S300,14.938719643217619,41.902971999999863
BCH-B300,4.8605664769316324,126.35885999999994
BCH-B300,5.0605664769316325,114.12075999999996
BCH-B300,5.2605664769316327,121.31346000000026
BCH-B300,5.460566476931632,114.9768399999999
BCH-B300,5.6605664769316322,111.64279999999999
BCH-B300,5.8605664769316324,107.92872000000011
BCH-B300,6.0605664769316325,117.33707999999977
BCH-B300,6.2605664769316327,101.45563999999985
BCH-B300,6.460566476931632,101.82873999999988
BCH-B300,6.6605664769316322,94.434799999999868
BCH-B300,6.8605664769316324,92.77097999999998
BCH-B300,7.0605664769316316,87.482880174887285
BCH-B300,7.2605664769316327,86.019428811423921
BCH-B300,7.460566476931632,89.692195773995977
BCH-B300,7.6605664769316331,87.705120565410255
BCH-B300,7.8605664769316324,94.760496000000316
BCH-B300,8.0605664769316316,90.31042000000032
BCH-B300,8.2605664769316327,87.788052000000164
BCH-B300,8.460566476931632,82.729053999999877
BCH-B300,8.6605664769316331,82.396842000000248
BCH-B300,8.8605664769316324,88.736121999999739
BCH-B300-426,4.4771165561694346,168.22097999999974
BCH-B300-426,4.6771165561694348,151.61513999999994
BCH-B300-426,4.877116556169435,148.55160000000001
BCH-B300-426,5.0771165561694342,148.55621999999968
BCH-B300-426,5.2771165561694344,147.21093999999977
BCH-B300-426,5.4771165561694346,137.5145599999999
BCH-B300-426,5.6771165561694348,144.57890000000017
BCH-B300-426,5.877116556169435,134.24228000000033
BCH-B300-426,6.0771165561694342,130.60356000000024
BCH-B300-426,6.2771165561694344,130.41671645668262
BCH-B300-426,6.4771165561694346,127.58255353535337
BCH-B300-426,6.6771165561694339,123.0892861687238
BCH-B300-426,6.877116556169435,121.42019105965369
BCH-B300-426,7.0771165561694342,124.8026979999993
BCH-B300-426,7.2771165561694353,130.5687740000007
BCH-B300-426,7.4771165561694346,120.45424800000097
