filename,figureDataCsv,pngMagicValid,sourceHashMatch,figureDataHashMatch,pngHashMatch,legendLabelCount,uniqueLegendLabelCount,legendUnique,validatedDataPointCount,omittedRowCount,xLabel,status
bch_s2_200bit_multipath_ber.png,figure_data_bch_s2_200bit_multipath_ber.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_multipath_fer.png,figure_data_bch_s2_200bit_multipath_fer.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_true_success.png,figure_data_bch_s2_200bit_true_success.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_miscorrection.png,figure_data_bch_s2_200bit_miscorrection.csv,True,True,True,True,2,2,True,54,0,SNR (dB),PASS
bch_s2_200bit_decoder_failure.png,figure_data_bch_s2_200bit_decoder_failure.csv,True,True,True,True,1,1,True,24,0,SNR (dB),PASS
bch_s2_200bit_equalization_time.png,figure_data_bch_s2_200bit_equalization_time.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_decode_time.png,figure_data_bch_s2_200bit_decode_time.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_total_receiver_time.png,figure_data_bch_s2_200bit_total_receiver_time.csv,True,True,True,True,2,2,True,65,0,SNR (dB),PASS
bch_s2_200bit_pre_post_mmse_hard_ber.png,figure_data_bch_s2_200bit_pre_post_mmse_hard_ber.csv,True,True,True,True,4,4,True,130,0,SNR (dB),PASS
bch_s2_200bit_awgn_vs_multipath_fer.png,figure_data_bch_s2_200bit_awgn_vs_multipath_fer.csv,True,True,True,True,4,4,True,100,0,SNR (dB),PASS
bch_s2_300bit_multipath_ber.png,figure_data_bch_s2_300bit_multipath_ber.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_multipath_fer.png,figure_data_bch_s2_300bit_multipath_fer.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_true_success.png,figure_data_bch_s2_300bit_true_success.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_miscorrection.png,figure_data_bch_s2_300bit_miscorrection.csv,True,True,True,True,1,1,True,43,0,SNR (dB),PASS
bch_s2_300bit_decoder_failure.png,figure_data_bch_s2_300bit_decoder_failure.csv,True,True,True,True,2,2,True,37,0,SNR (dB),PASS
bch_s2_300bit_equalization_time.png,figure_data_bch_s2_300bit_equalization_time.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_decode_time.png,figure_data_bch_s2_300bit_decode_time.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_total_receiver_time.png,figure_data_bch_s2_300bit_total_receiver_time.csv,True,True,True,True,3,3,True,80,0,SNR (dB),PASS
bch_s2_300bit_pre_post_mmse_hard_ber.png,figure_data_bch_s2_300bit_pre_post_mmse_hard_ber.csv,True,True,True,True,6,6,True,160,0,SNR (dB),PASS
bch_s2_300bit_awgn_vs_multipath_fer.png,figure_data_bch_s2_300bit_awgn_vs_multipath_fer.csv,True,True,True,True,6,6,True,119,0,SNR (dB),PASS
bch_s2_multipath_loss_at_target_fer.png,figure_data_bch_s2_multipath_loss_at_target_fer.csv,True,True,True,True,3,3,True,13,0,BCH case,PASS
bch_s2_multipath_fer_amplification.png,figure_data_bch_s2_multipath_fer_amplification.csv,True,True,True,True,3,3,True,10,135,SNR (dB),PASS
bch_s2_mmse_hard_ber_reduction.png,figure_data_bch_s2_mmse_hard_ber_reduction.csv,True,True,True,True,5,5,True,145,0,SNR (dB),PASS
bch_s2_receiver_time_comparison.png,figure_data_bch_s2_receiver_time_comparison.csv,True,True,True,True,3,3,True,5,0,BCH case,PASS
