caseName,channel,snrDb,FER
BCH-S200,AWGN,2.9618513565547095,0.59360000000000002
BCH-S200,AWGN,3.1618513565547097,0.50680000000000003
BCH-S200,AWGN,3.3618513565547099,0.43980000000000002
BCH-S200,AWGN,3.5618513565547092,0.35759999999999997
BCH-S200,AWGN,3.7618513565547094,0.30880000000000002
BCH-S200,AWGN,3.9618513565547095,0.24260000000000001
BCH-S200,AWGN,4.1618513565547097,0.19919999999999999
BCH-S200,AWGN,4.3618513565547099,0.1618
BCH-S200,AWGN,4.5618513565547092,0.1182
BCH-S200,AWGN,4.7618513565547094,0.085400000000000004
BCH-S200,AWGN,4.9618513565547095,0.065600000000000006
BCH-S200,AWGN,5.1618513565547097,0.041399999999999999
BCH-S200,AWGN,5.3618513565547099,0.03717472118959108
BCH-S200,AWGN,5.5618513565547092,0.024603272235207283
BCH-S200,AWGN,5.7618513565547094,0.017053206002728513
BCH-S200,AWGN,5.9618513565547095,0.011385631333257429
BCH-S200,AWGN,6.1618513565547097,0.0086258949365996714
BCH-S200,AWGN,6.3618513565547099,0.0044008273555428421
BCH-S200,AWGN,6.5618513565547092,0.00332
BCH-S200,AWGN,6.7618513565547103,0.0022599999999999999
BCH-S200,AWGN,6.9618513565547095,0.0014
BCH-S200,MULTIPATH,6.4618513565547095,0.5242
BCH-S200,MULTIPATH,6.6618513565547088,0.47999999999999998
BCH-S200,MULTIPATH,6.8618513565547099,0.43259999999999998
BCH-S200,MULTIPATH,7.0618513565547092,0.39400000000000002
BCH-S200,MULTIPATH,7.2618513565547103,0.35220000000000001
BCH-S200,MULTIPATH,7.4618513565547095,0.30959999999999999
BCH-S200,MULTIPATH,7.6618513565547088,0.28720000000000001
BCH-S200,MULTIPATH,7.8618513565547099,0.24959999999999999
BCH-S200,MULTIPATH,8.0618513565547083,0.22939999999999999
BCH-S200,MULTIPATH,8.2618513565547111,0.2092
BCH-S200,MULTIPATH,8.4618513565547104,0.1928
BCH-S200,MULTIPATH,8.6618513565547097,0.15440000000000001
