caseName,snrDb,decoderFailureRate
BCH-B300,4.8605664769316324,0.64700000000000002
BCH-B300,5.0605664769316325,0.56659999999999999
BCH-B300,5.2605664769316327,0.47020000000000001
BCH-B300,5.460566476931632,0.37819999999999998
BCH-B300,5.6605664769316322,0.30420000000000003
BCH-B300,5.8605664769316324,0.2286
BCH-B300,6.0605664769316325,0.17879999999999999
BCH-B300,6.2605664769316327,0.125
BCH-B300,6.460566476931632,0.092200000000000004
BCH-B300,6.6605664769316322,0.060999999999999999
BCH-B300,6.8605664769316324,0.042000000000000003
BCH-B300,7.0605664769316316,0.027326137450471376
BCH-B300,7.2605664769316327,0.016799664006719867
BCH-B300,7.460566476931632,0.010282247699347078
BCH-B300,7.6605664769316331,0.006929046563192905
BCH-B300,7.8605664769316324,0.00396
BCH-B300,8.0605664769316316,0.0025400000000000002
BCH-B300,8.2605664769316327,0.00148
BCH-B300,8.460566476931632,0.00077999999999999999
BCH-B300,8.6605664769316331,0.00048000000000000001
BCH-B300,8.8605664769316324,0.00013999999999999999
BCH-B300-426,4.4771165561694346,0.56020000000000003
BCH-B300-426,4.6771165561694348,0.46639999999999998
BCH-B300-426,4.877116556169435,0.3634
BCH-B300-426,5.0771165561694342,0.28039999999999998
BCH-B300-426,5.2771165561694344,0.2084
BCH-B300-426,5.4771165561694346,0.13639999999999999
BCH-B300-426,5.6771165561694348,0.105
BCH-B300-426,5.877116556169435,0.065799999999999997
BCH-B300-426,6.0771165561694342,0.041200000000000001
BCH-B300-426,6.2771165561694344,0.025977399662293805
BCH-B300-426,6.4771165561694346,0.016161616161616162
BCH-B300-426,6.6771165561694339,0.0084828434491241462
BCH-B300-426,6.877116556169435,0.0051918384299880589
BCH-B300-426,7.0771165561694342,0.0027000000000000001
BCH-B300-426,7.2771165561694353,0.00142
BCH-B300-426,7.4771165561694346,0.00072000000000000005
