caseName,gridIndex,sourcePayloadEbN0Db,snrDb,stepDb
BCH-S200,0,8.0,6.4618513565547095,0.2
BCH-S200,1,8.2,6.661851356554709,0.2
BCH-S200,2,8.4,6.86185135655471,0.2
BCH-S200,3,8.6,7.061851356554709,0.2
BCH-S200,4,8.8,7.26185135655471,0.2
BCH-S200,5,9.0,7.4618513565547095,0.2
BCH-S200,6,9.2,7.661851356554709,0.2
BCH-S200,7,9.4,7.86185135655471,0.2
BCH-S200,8,9.6,8.061851356554708,0.2
BCH-S200,9,9.8,8.261851356554711,0.2
BCH-S200,10,10.0,8.46185135655471,0.2
BCH-S200,11,10.2,8.66185135655471,0.2
BCH-S200,12,10.4,8.861851356554709,0.2
BCH-S200,13,10.6,9.061851356554708,0.2
BCH-S200,14,10.8,9.261851356554711,0.2
BCH-S200,15,11.0,9.46185135655471,0.2
BCH-S200,16,11.2,9.66185135655471,0.2
BCH-S200,17,11.4,9.861851356554709,0.2
BCH-S200,18,11.6,10.061851356554708,0.2
BCH-S200,19,11.8,10.261851356554711,0.2
BCH-S200,20,12.0,10.46185135655471,0.2
BCH-S200,21,12.2,10.66185135655471,0.2
BCH-S200,22,12.4,10.861851356554709,0.2
BCH-S200,23,12.6,11.061851356554708,0.2
BCH-S200,24,12.8,11.261851356554711,0.2
BCH-S200,25,13.0,11.46185135655471,0.2
BCH-S200,26,13.2,11.66185135655471,0.2
BCH-S200,27,13.4,11.861851356554709,0.2
BCH-S200,28,13.6,12.061851356554708,0.2
BCH-S200,29,13.8,12.261851356554711,0.2
BCH-S200,30,14.0,12.46185135655471,0.2
BCH-S200,31,14.2,12.66185135655471,0.2
BCH-S200,32,14.4,12.861851356554709,0.2
BCH-S200,33,14.6,13.061851356554708,0.2
BCH-S200,34,14.8,13.261851356554711,0.2
BCH-S200,35,15.0,13.46185135655471,0.2
BCH-S200,36,15.2,13.66185135655471,0.2
BCH-S200,37,15.4,13.861851356554709,0.2
BCH-S200,38,15.6,14.061851356554708,0.2
BCH-S200,39,15.8,14.261851356554711,0.2
BCH-S200,40,16.0,14.46185135655471,0.2
BCH-B200,0,6.0,5.065783148377649,0.2
BCH-B200,1,6.2,5.26578314837765,0.2
BCH-B200,2,6.4,5.46578314837765,0.2
BCH-B200,3,6.6,5.665783148377649,0.2
BCH-B200,4,6.8,5.865783148377649,0.2
BCH-B200,5,7.0,6.065783148377649,0.2
BCH-B200,6,7.2,6.26578314837765,0.2
BCH-B200,7,7.4,6.46578314837765,0.2
BCH-B200,8,7.6,6.665783148377649,0.2
BCH-B200,9,7.8,6.865783148377649,0.2
BCH-B200,10,8.0,7.065783148377649,0.2
BCH-B200,11,8.2,7.265783148377649,0.2
BCH-B200,12,8.4,7.46578314837765,0.2
BCH-B200,13,8.6,7.665783148377649,0.2
BCH-B200,14,8.8,7.86578314837765,0.2
BCH-B200,15,9.0,8.06578314837765,0.2
BCH-B200,16,9.2,8.265783148377649,0.2
BCH-B200,17,9.4,8.46578314837765,0.2
BCH-B200,18,9.6,8.665783148377649,0.2
BCH-B200,19,9.8,8.86578314837765,0.2
BCH-B200,20,10.0,9.06578314837765,0.2
BCH-B200,21,10.2,9.265783148377649,0.2
BCH-B200,22,10.4,9.46578314837765,0.2
BCH-B200,23,10.6,9.665783148377649,0.2
BCH-S300,0,8.0,6.53871964321762,0.2
BCH-S300,1,8.2,6.738719643217619,0.2
BCH-S300,2,8.4,6.93871964321762,0.2
BCH-S300,3,8.6,7.13871964321762,0.2
BCH-S300,4,8.8,7.338719643217621,0.2
BCH-S300,5,9.0,7.53871964321762,0.2
BCH-S300,6,9.2,7.738719643217619,0.2
BCH-S300,7,9.4,7.93871964321762,0.2
BCH-S300,8,9.6,8.13871964321762,0.2
BCH-S300,9,9.8,8.33871964321762,0.2
BCH-S300,10,10.0,8.53871964321762,0.2
BCH-S300,11,10.2,8.73871964321762,0.2
BCH-S300,12,10.4,8.93871964321762,0.2
BCH-S300,13,10.6,9.13871964321762,0.2
BCH-S300,14,10.8,9.33871964321762,0.2
BCH-S300,15,11.0,9.53871964321762,0.2
BCH-S300,16,11.2,9.73871964321762,0.2
BCH-S300,17,11.4,9.93871964321762,0.2
BCH-S300,18,11.6,10.13871964321762,0.2
BCH-S300,19,11.8,10.33871964321762,0.2
BCH-S300,20,12.0,10.53871964321762,0.2
BCH-S300,21,12.2,10.73871964321762,0.2
BCH-S300,22,12.4,10.93871964321762,0.2
BCH-S300,23,12.6,11.13871964321762,0.2
BCH-S300,24,12.8,11.33871964321762,0.2
BCH-S300,25,13.0,11.53871964321762,0.2
BCH-S300,26,13.2,11.73871964321762,0.2
BCH-S300,27,13.4,11.93871964321762,0.2
BCH-S300,28,13.6,12.13871964321762,0.2
BCH-S300,29,13.8,12.33871964321762,0.2
BCH-S300,30,14.0,12.53871964321762,0.2
BCH-S300,31,14.2,12.73871964321762,0.2
BCH-S300,32,14.4,12.93871964321762,0.2
BCH-S300,33,14.6,13.13871964321762,0.2
BCH-S300,34,14.8,13.33871964321762,0.2
BCH-S300,35,15.0,13.53871964321762,0.2
BCH-S300,36,15.2,13.73871964321762,0.2
BCH-S300,37,15.4,13.93871964321762,0.2
BCH-S300,38,15.6,14.13871964321762,0.2
BCH-S300,39,15.8,14.33871964321762,0.2
BCH-S300,40,16.0,14.53871964321762,0.2
BCH-S300,41,16.2,14.73871964321762,0.2
BCH-S300,42,16.4,14.938719643217619,0.2
BCH-B300,0,6.0,4.860566476931632,0.2
BCH-B300,1,6.2,5.0605664769316325,0.2
BCH-B300,2,6.4,5.260566476931633,0.2
BCH-B300,3,6.6,5.460566476931632,0.2
BCH-B300,4,6.8,5.660566476931632,0.2
BCH-B300,5,7.0,5.860566476931632,0.2
BCH-B300,6,7.2,6.0605664769316325,0.2
BCH-B300,7,7.4,6.260566476931633,0.2
BCH-B300,8,7.6,6.460566476931632,0.2
BCH-B300,9,7.8,6.660566476931632,0.2
BCH-B300,10,8.0,6.860566476931632,0.2
BCH-B300,11,8.2,7.060566476931632,0.2
BCH-B300,12,8.4,7.260566476931633,0.2
BCH-B300,13,8.6,7.460566476931632,0.2
BCH-B300,14,8.8,7.660566476931633,0.2
BCH-B300,15,9.0,7.860566476931632,0.2
BCH-B300,16,9.2,8.060566476931632,0.2
BCH-B300,17,9.4,8.260566476931633,0.2
BCH-B300,18,9.6,8.460566476931632,0.2
BCH-B300,19,9.8,8.660566476931633,0.2
BCH-B300,20,10.0,8.860566476931632,0.2
BCH-B300-426,0,6.0,4.477116556169435,0.2
BCH-B300-426,1,6.2,4.677116556169435,0.2
BCH-B300-426,2,6.4,4.877116556169435,0.2
BCH-B300-426,3,6.6,5.077116556169434,0.2
