organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R12,-0.5,-10,22,16840,0.00130641,0.00086293,0.00197736,coarse
B_CONT_50x6,R12,-0.5,-9,25,16840,0.00148456,0.0010058,0.0021907,coarse
B_CONT_50x6,R12,-0.5,-8,20,16840,0.00118765,0.000768982,0.00183384,coarse
B_CONT_50x6,R12,-0.5,-7,22,16840,0.00130641,0.00086293,0.00197736,coarse
B_CONT_50x6,R12,-0.5,-6,33,16840,0.00195962,0.00139575,0.00275066,coarse
B_CONT_50x6,R12,-0.5,-5,26,16840,0.00154394,0.00105389,0.00226136,coarse
B_CONT_50x6,R12,-0.5,-4,24,16840,0.00142518,0.00095794,0.00211983,coarse
B_CONT_50x6,R12,-0.5,-3,28,16840,0.00166271,0.00115067,0.00240205,coarse
B_CONT_50x6,R12,-0.5,-2,29,16840,0.00172209,0.00119935,0.00247211,coarse
B_CONT_50x6,R12,-0.5,-1,29,16840,0.00172209,0.00119935,0.00247211,coarse
B_CONT_50x6,R12,-0.5,0,27,16840,0.00160333,0.00110218,0.0023318,coarse
B_CONT_50x6,R12,-0.5,1,26,16840,0.00154394,0.00105389,0.00226136,coarse
B_CONT_50x6,R12,-0.5,2,24,16840,0.00142518,0.00095794,0.00211983,coarse
B_CONT_50x6,R12,-0.5,3,24,16840,0.00142518,0.00095794,0.00211983,coarse
B_CONT_50x6,R12,-0.5,4,16,16840,0.000950119,0.00058494,0.00154293,coarse
B_CONT_50x6,R12,-0.5,5,25,16840,0.00148456,0.0010058,0.0021907,coarse
B_CONT_50x6,R12,-0.5,6,25,16840,0.00148456,0.0010058,0.0021907,coarse
B_CONT_50x6,R12,-0.5,7,22,16840,0.00130641,0.00086293,0.00197736,coarse
B_CONT_50x6,R12,-0.5,8,23,16840,0.0013658,0.000910311,0.00204872,coarse
B_CONT_50x6,R12,-0.5,9,13,16840,0.000771971,0.000451218,0.00132044,coarse
C_CONT_100x3,R12,-0.5,-10,11,6736,0.00163302,0.000912118,0.00292202,coarse
C_CONT_100x3,R12,-0.5,-9,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,-8,6,6736,0.000890736,0.000408294,0.00194213,coarse
C_CONT_100x3,R12,-0.5,-7,5,6736,0.00074228,0.000317098,0.00173658,coarse
C_CONT_100x3,R12,-0.5,-6,9,6736,0.0013361,0.000703104,0.00253754,coarse
C_CONT_100x3,R12,-0.5,-5,11,6736,0.00163302,0.000912118,0.00292202,coarse
C_CONT_100x3,R12,-0.5,-4,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,-3,8,6736,0.00118765,0.00060193,0.00234198,coarse
C_CONT_100x3,R12,-0.5,-2,10,6736,0.00148456,0.000806604,0.00273079,coarse
C_CONT_100x3,R12,-0.5,-1,11,6736,0.00163302,0.000912118,0.00292202,coarse
C_CONT_100x3,R12,-0.5,0,8,6736,0.00118765,0.00060193,0.00234198,coarse
C_CONT_100x3,R12,-0.5,1,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,2,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,3,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,4,5,6736,0.00074228,0.000317098,0.00173658,coarse
C_CONT_100x3,R12,-0.5,5,8,6736,0.00118765,0.00060193,0.00234198,coarse
C_CONT_100x3,R12,-0.5,6,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,7,6,6736,0.000890736,0.000408294,0.00194213,coarse
C_CONT_100x3,R12,-0.5,8,7,6736,0.00103919,0.000503482,0.00214368,coarse
C_CONT_100x3,R12,-0.5,9,5,6736,0.00074228,0.000317098,0.00173658,coarse
D_CONT_150x2,R12,-0.5,-10,3,3368,0.000890736,0.000302976,0.00261574,coarse
D_CONT_150x2,R12,-0.5,-9,8,3368,0.0023753,0.0012041,0.00468036,coarse
D_CONT_150x2,R12,-0.5,-8,4,3368,0.00118765,0.000461947,0.00304992,coarse
D_CONT_150x2,R12,-0.5,-7,7,3368,0.00207838,0.00100714,0.00428417,coarse
D_CONT_150x2,R12,-0.5,-6,9,3368,0.00267221,0.00140652,0.00507109,coarse
D_CONT_150x2,R12,-0.5,-5,6,3368,0.00178147,0.000816713,0.00388145,coarse
D_CONT_150x2,R12,-0.5,-4,6,3368,0.00178147,0.000816713,0.00388145,coarse
D_CONT_150x2,R12,-0.5,-3,5,3368,0.00148456,0.000634277,0.00347074,coarse
D_CONT_150x2,R12,-0.5,-2,7,3368,0.00207838,0.00100714,0.00428417,coarse
D_CONT_150x2,R12,-0.5,-1,5,3368,0.00148456,0.000634277,0.00347074,coarse
D_CONT_150x2,R12,-0.5,0,4,3368,0.00118765,0.000461947,0.00304992,coarse
D_CONT_150x2,R12,-0.5,1,7,3368,0.00207838,0.00100714,0.00428417,coarse
D_CONT_150x2,R12,-0.5,2,5,3368,0.00148456,0.000634277,0.00347074,coarse
D_CONT_150x2,R12,-0.5,3,5,3368,0.00148456,0.000634277,0.00347074,coarse
D_CONT_150x2,R12,-0.5,4,2,3368,0.000593824,0.000162863,0.00216271,coarse
D_CONT_150x2,R12,-0.5,5,3,3368,0.000890736,0.000302976,0.00261574,coarse
D_CONT_150x2,R12,-0.5,6,4,3368,0.00118765,0.000461947,0.00304992,coarse
D_CONT_150x2,R12,-0.5,7,3,3368,0.000890736,0.000302976,0.00261574,coarse
D_CONT_150x2,R12,-0.5,8,4,3368,0.00118765,0.000461947,0.00304992,coarse
D_CONT_150x2,R12,-0.5,9,1,3368,0.000296912,5.24142e-05,0.00168001,coarse
