organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R34,2.0,-10,44,13790,0.00319072,0.00237782,0.00428033,coarse
B_CONT_50x6,R34,2.0,-9,52,13790,0.00377085,0.00287692,0.00494117,coarse
B_CONT_50x6,R34,2.0,-8,47,13790,0.00340827,0.00256419,0.00452894,coarse
B_CONT_50x6,R34,2.0,-7,42,13790,0.00304569,0.00225415,0.00411401,coarse
B_CONT_50x6,R34,2.0,-6,39,13790,0.00282814,0.00206963,0.00386356,coarse
B_CONT_50x6,R34,2.0,-5,56,13790,0.00406091,0.00312879,0.00526927,coarse
B_CONT_50x6,R34,2.0,-4,51,13790,0.00369833,0.00281417,0.00485892,coarse
B_CONT_50x6,R34,2.0,-3,52,13790,0.00377085,0.00287692,0.00494117,coarse
B_CONT_50x6,R34,2.0,-2,49,13790,0.0035533,0.00268898,0.00469413,coarse
B_CONT_50x6,R34,2.0,-1,48,13790,0.00348078,0.00262653,0.00461159,coarse
B_CONT_50x6,R34,2.0,0,53,13790,0.00384336,0.00293975,0.00502333,coarse
B_CONT_50x6,R34,2.0,1,51,13790,0.00369833,0.00281417,0.00485892,coarse
B_CONT_50x6,R34,2.0,2,41,13790,0.00297317,0.00219251,0.00403066,coarse
B_CONT_50x6,R34,2.0,3,51,13790,0.00369833,0.00281417,0.00485892,coarse
B_CONT_50x6,R34,2.0,4,43,13790,0.0031182,0.00231592,0.00419723,coarse
B_CONT_50x6,R34,2.0,5,42,13790,0.00304569,0.00225415,0.00411401,coarse
B_CONT_50x6,R34,2.0,6,40,13790,0.00290065,0.002131,0.00394718,coarse
B_CONT_50x6,R34,2.0,7,45,13790,0.00326323,0.00243983,0.00436332,coarse
B_CONT_50x6,R34,2.0,8,45,13790,0.00326323,0.00243983,0.00436332,coarse
B_CONT_50x6,R34,2.0,9,52,13790,0.00377085,0.00287692,0.00494117,coarse
C_CONT_100x3,R34,2.0,-10,19,5516,0.00344453,0.00220632,0.00537387,coarse
C_CONT_100x3,R34,2.0,-9,22,5516,0.0039884,0.00263543,0.00603175,coarse
C_CONT_100x3,R34,2.0,-8,17,5516,0.00308194,0.00192516,0.00493037,coarse
C_CONT_100x3,R34,2.0,-7,17,5516,0.00308194,0.00192516,0.00493037,coarse
C_CONT_100x3,R34,2.0,-6,14,5516,0.00253807,0.00151252,0.00425603,coarse
C_CONT_100x3,R34,2.0,-5,24,5516,0.00435098,0.00292566,0.00646618,coarse
C_CONT_100x3,R34,2.0,-4,23,5516,0.00416969,0.00278016,0.00624935,coarse
C_CONT_100x3,R34,2.0,-3,20,5516,0.00362582,0.00234845,0.00559407,coarse
C_CONT_100x3,R34,2.0,-2,21,5516,0.00380711,0.0024915,0.00581335,coarse
C_CONT_100x3,R34,2.0,-1,17,5516,0.00308194,0.00192516,0.00493037,coarse
C_CONT_100x3,R34,2.0,0,21,5516,0.00380711,0.0024915,0.00581335,coarse
C_CONT_100x3,R34,2.0,1,22,5516,0.0039884,0.00263543,0.00603175,coarse
C_CONT_100x3,R34,2.0,2,12,5516,0.00217549,0.00124494,0.00379895,coarse
C_CONT_100x3,R34,2.0,3,20,5516,0.00362582,0.00234845,0.00559407,coarse
C_CONT_100x3,R34,2.0,4,20,5516,0.00362582,0.00234845,0.00559407,coarse
C_CONT_100x3,R34,2.0,5,23,5516,0.00416969,0.00278016,0.00624935,coarse
C_CONT_100x3,R34,2.0,6,15,5516,0.00271936,0.00164871,0.00448217,coarse
C_CONT_100x3,R34,2.0,7,15,5516,0.00271936,0.00164871,0.00448217,coarse
C_CONT_100x3,R34,2.0,8,21,5516,0.00380711,0.0024915,0.00581335,coarse
C_CONT_100x3,R34,2.0,9,22,5516,0.0039884,0.00263543,0.00603175,coarse
D_CONT_150x2,R34,2.0,-10,9,2758,0.00326323,0.00171777,0.00619053,coarse
D_CONT_150x2,R34,2.0,-9,10,2758,0.00362582,0.00197069,0.00666176,coarse
D_CONT_150x2,R34,2.0,-8,9,2758,0.00326323,0.00171777,0.00619053,coarse
D_CONT_150x2,R34,2.0,-7,11,2758,0.0039884,0.00222854,0.00712806,coarse
D_CONT_150x2,R34,2.0,-6,7,2758,0.00253807,0.00122999,0.00523,coarse
D_CONT_150x2,R34,2.0,-5,13,2758,0.00471356,0.00275675,0.00804817,coarse
D_CONT_150x2,R34,2.0,-4,10,2758,0.00362582,0.00197069,0.00666176,coarse
D_CONT_150x2,R34,2.0,-3,8,2758,0.00290065,0.00147054,0.0057136,coarse
D_CONT_150x2,R34,2.0,-2,8,2758,0.00290065,0.00147054,0.0057136,coarse
D_CONT_150x2,R34,2.0,-1,11,2758,0.0039884,0.00222854,0.00712806,coarse
D_CONT_150x2,R34,2.0,0,13,2758,0.00471356,0.00275675,0.00804817,coarse
D_CONT_150x2,R34,2.0,1,9,2758,0.00326323,0.00171777,0.00619053,coarse
D_CONT_150x2,R34,2.0,2,11,2758,0.0039884,0.00222854,0.00712806,coarse
D_CONT_150x2,R34,2.0,3,10,2758,0.00362582,0.00197069,0.00666176,coarse
D_CONT_150x2,R34,2.0,4,7,2758,0.00253807,0.00122999,0.00523,coarse
D_CONT_150x2,R34,2.0,5,11,2758,0.0039884,0.00222854,0.00712806,coarse
D_CONT_150x2,R34,2.0,6,9,2758,0.00326323,0.00171777,0.00619053,coarse
D_CONT_150x2,R34,2.0,7,10,2758,0.00362582,0.00197069,0.00666176,coarse
D_CONT_150x2,R34,2.0,8,10,2758,0.00362582,0.00197069,0.00666176,coarse
D_CONT_150x2,R34,2.0,9,14,2758,0.00507614,0.0030262,0.00850287,coarse
