caseName,cosetLeader,cosetMembers
BCH-B200,1,1:2:4:8:16:32:64:128
BCH-B200,3,3:6:12:24:48:96:192:129
BCH-B200,5,5:10:20:40:80:160:65:130
BCH-B200,7,7:14:28:56:112:224:193:131
BCH-B200,9,9:18:36:72:144:33:66:132
BCH-B200,11,11:22:44:88:176:97:194:133
BCH-B300,1,1:2:4:8:16:32:64:128:256
BCH-B300,3,3:6:12:24:48:96:192:384:257
BCH-B300,5,5:10:20:40:80:160:320:129:258
BCH-B300,7,7:14:28:56:112:224:448:385:259
BCH-B300,9,9:18:36:72:144:288:65:130:260
BCH-B300,11,11:22:44:88:176:352:193:386:261
BCH-B300,13,13:26:52:104:208:416:321:131:262
BCH-B300,15,15:30:60:120:240:480:449:387:263
BCH-B300,17,17:34:68:136:272:33:66:132:264
BCH-B300,19,19:38:76:152:304:97:194:388:265
