caseName,metric,value
BCH-S200,rate,0.7017543859649122
BCH-B200,rate,0.8064516129032258
BCH-S300,rate,0.7142857142857143
BCH-B300,rate,0.7692307692307693
BCH-B300-426,rate,0.704225352112676
