pattern,slotSize,slotIndex,payloadStart,payloadCount,initialState,finalState,initialPhase,finalPhase,motherCount,transmittedCount,appendedTail
R12,50,0,0,50,0,7,0,0,100,100,0
R12,50,1,50,50,7,41,0,0,100,100,0
R12,50,2,100,50,41,36,0,0,100,100,0
R12,50,3,150,50,36,7,0,0,100,100,0
R12,50,4,200,50,7,18,0,0,100,100,0
R12,50,5,250,50,18,0,0,0,112,112,1
R12,100,0,0,100,0,41,0,0,200,200,0
R12,100,1,100,100,41,7,0,0,200,200,0
R12,100,2,200,100,7,0,0,0,212,212,1
R12,150,0,0,150,0,36,0,0,300,300,0
R12,150,1,150,150,36,0,0,0,312,312,1
R23,50,0,0,50,0,7,0,0,100,75,0
R23,50,1,50,50,7,41,0,0,100,75,0
R23,50,2,100,50,41,36,0,0,100,75,0
R23,50,3,150,50,36,7,0,0,100,75,0
R23,50,4,200,50,7,18,0,0,100,75,0
R23,50,5,250,50,18,0,0,0,112,84,1
R23,100,0,0,100,0,41,0,0,200,150,0
R23,100,1,100,100,41,7,0,0,200,150,0
R23,100,2,200,100,7,0,0,0,212,159,1
R23,150,0,0,150,0,36,0,0,300,225,0
R23,150,1,150,150,36,0,0,0,312,234,1
R34,50,0,0,50,0,7,0,4,100,67,0
R34,50,1,50,50,7,41,4,2,100,67,0
R34,50,2,100,50,41,36,2,0,100,66,0
R34,50,3,150,50,36,7,0,4,100,67,0
R34,50,4,200,50,7,18,4,2,100,67,0
R34,50,5,250,50,18,0,2,0,112,74,1
R34,100,0,0,100,0,41,0,2,200,134,0
R34,100,1,100,100,41,7,2,4,200,133,0
R34,100,2,200,100,7,0,4,0,212,141,1
R34,150,0,0,150,0,36,0,0,300,200,0
R34,150,1,150,150,36,0,0,0,312,208,1
