caseName,payloadLength,encodedLength,frameRate,parityLength,correctionCapability,processedFrames,avgDecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs
BCH-S200,200,285,0.7017543859649122,85,1,321435,14.832468461741842,23.5,45.1,758.5
BCH-B200,200,248,0.8064516129032258,48,6,253308,47.710816871160745,75.6,131.1050000000001,1252.7
BCH-S300,300,420,0.7142857142857143,120,1,400976,21.967041418937807,35.7,83.5010000000002,5470.4
BCH-B300,300,390,0.7692307692307693,90,10,158999,127.74007446587723,274.9400000000001,548.0330000000007,3061.7
BCH-B300-426,300,426,0.704225352112676,126,14,201669,1978.7786476850706,2897.265,3851.454000000011,60264.4
