targetFer,caseA,caseB,interpolatedEbN0A,interpolatedEbN0B,gainDb,interpolationValid,reason
0.1,BCH-B300,BCH-S300,4.545055155041064,6.413944588341992,1.8688894333009278,true,BOTH_CASES_BRACKET_TARGET
0.1,BCH-B300-426,BCH-S300,4.430126135341753,6.413944588341992,1.9838184530002385,true,BOTH_CASES_BRACKET_TARGET
0.1,BCH-B300-426,BCH-B300,4.430126135341753,4.545055155041064,0.11492901969931069,true,BOTH_CASES_BRACKET_TARGET
0.01,BCH-B300,BCH-S300,5.157329769435952,7.709326504789244,2.551996735353292,true,BOTH_CASES_BRACKET_TARGET
0.01,BCH-B300-426,BCH-S300,4.972046173715761,7.709326504789244,2.7372803310734835,true,BOTH_CASES_BRACKET_TARGET
0.01,BCH-B300-426,BCH-B300,4.972046173715761,5.157329769435952,0.18528359572019149,true,BOTH_CASES_BRACKET_TARGET
0.001,BCH-B300,BCH-S300,,8.66224051743405,,false,AT_LEAST_ONE_CASE_NOT_BRACKETED
0.001,BCH-B300-426,BCH-S300,5.361370712861761,8.66224051743405,3.3008698045722893,true,BOTH_CASES_BRACKET_TARGET
0.001,BCH-B300-426,BCH-B300,5.361370712861761,,,false,AT_LEAST_ONE_CASE_NOT_BRACKETED
