targetFer,caseName,interpolatedEbN0,lowerBracket,upperBracket,interpolationValid,reason
0.1,BCH-S300,6.413944588341992,6.4000000000000004:0.1022,6.5999999999999996:0.074800000000000005,true,LOG10_FER_LINEAR_INTERPOLATION
0.1,BCH-B300,4.545055155041064,4.4000000000000004:0.14799999999999999,4.5999999999999996:0.086199999999999999,true,LOG10_FER_LINEAR_INTERPOLATION
0.1,BCH-B300-426,4.430126135341753,4.4000000000000004:0.113,4.5999999999999996:0.050200000000000002,true,LOG10_FER_LINEAR_INTERPOLATION
0.01,BCH-S300,7.709326504789244,7.5999999999999996:0.012337301832089321,7.7999999999999998:0.0084012433840208352,true,LOG10_FER_LINEAR_INTERPOLATION
0.01,BCH-B300,5.157329769435952,5:0.020876826722338204,5.2000000000000002:0.0081903435849133878,true,LOG10_FER_LINEAR_INTERPOLATION
0.01,BCH-B300-426,4.972046173715761,4.7999999999999998:0.022660321776569226,5:0.0087554174145252368,true,LOG10_FER_LINEAR_INTERPOLATION
0.001,BCH-S300,8.66224051743405,8.5999999999999996:0.00116,8.8000000000000007:0.00072000000000000005,true,LOG10_FER_LINEAR_INTERPOLATION
0.001,BCH-B300,,,,false,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
0.001,BCH-B300-426,5.361370712861761,5.2000000000000002:0.0025400000000000002,5.4000000000000004:0.00080000000000000004,true,LOG10_FER_LINEAR_INTERPOLATION
