stage,caseName,Var3,encodedMismatch,burstMismatch,deinterleaveMismatch,payloadMismatch,frameMismatch,statusMismatch,permutationMismatch,weightMismatch,gate
S2-07A,BCH-B200,80,0,0,0,0,0,0,0,0,PASS
S2-07A,BCH-B300,80,0,0,0,0,0,0,0,0,PASS
S2-07A,BCH-B300-426,80,0,0,0,0,0,0,0,0,PASS
S2-07B,BCH-S200,400,0,0,0,0,0,0,0,0,PASS
S2-07B,BCH-S300,400,0,0,0,0,0,0,0,0,PASS
S2-07C,BCH-S200,600,0,0,0,0,0,0,0,0,PASS
S2-07C,BCH-B200,600,0,0,0,0,0,0,0,0,PASS
S2-07C,BCH-S300,600,0,0,0,0,0,0,0,0,PASS
S2-07C,BCH-B300,600,0,0,0,0,0,0,0,0,PASS
S2-07C,BCH-B300-426,600,0,0,0,0,0,0,0,0,PASS
S2-07D,BCH-S200,1000,0,0,0,0,0,0,0,0,PASS
S2-07D,BCH-B200,1000,0,0,0,0,0,0,0,0,PASS
S2-07D,BCH-S300,1000,0,0,0,0,0,0,0,0,PASS
S2-07D,BCH-B300,1000,0,0,0,0,0,0,0,0,PASS
S2-07D,BCH-B300-426,1000,0,0,0,0,0,0,0,0,PASS
