rateCase,recommendationType,candidateId,windowBits,slideBits,dtb,snrLossAtFer01,snrLossAtFer001,worstCoveredSnrLoss,worstRelativeFerIncreaseVsBlock,meanFirstOutputDelaySymbols,meanP95DecisionDelaySymbols,totalMemoryBytes,meanACSPerFrame,meanTracebackPerFrame,meanCpuTimeUs,formalCorrectnessGate,reliabilityGate,balancedScore,paretoFront,balancedWeights
R12,performance_first,W128-S25-D70,128,25,70,0.0,0.0,0.0,0.007898894154818332,188.0,188.0,26112,143998.0,866.0,1502.3128148587791,PASS,PASS,0.38013108086863084,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,latency_first,W96-S16-D70,96,16,70,0.0025504106705384055,0.0,0.0025504106705384055,0.010404624277456656,170.0,168.0,19968,181886.0,1286.0,1891.4775459572847,PASS,PASS,0.5630671777024885,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,memory_first,W96-S16-D70,96,16,70,0.0025504106705384055,0.0,0.0025504106705384055,0.010404624277456656,170.0,168.0,19968,181886.0,1286.0,1891.4775459572847,PASS,PASS,0.5630671777024885,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,complexity_first,W128-S50-D70,128,50,70,0.0,0.0,0.0,0.003468208092485552,238.0,232.0,26112,78462.0,586.0,823.9121867325267,PASS,PASS,0.4,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,balanced,W128-S25-D70,128,25,70,0.0,0.0,0.0,0.007898894154818332,188.0,188.0,26112,143998.0,866.0,1502.3128148587791,PASS,PASS,0.38013108086863084,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,performance_first,W128-S25-D98,128,25,98,0.002390912433365533,0.0,0.002390912433365533,0.0062500000000000056,183.0,181.0,26112,143998.0,1090.0,1098.6054400920527,PASS,PASS,0.447008681468113,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,latency_first,W128-S25-D84,128,25,84,0.007357804123631739,0.0,0.007357804123631739,0.01972386587771205,162.0,160.0,26112,143998.0,978.0,1113.8512381116107,PASS,PASS,0.46786220170200854,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,memory_first,W128-S25-D84,128,25,84,0.007357804123631739,0.0,0.007357804123631739,0.01972386587771205,162.0,160.0,26112,143998.0,978.0,1113.8512381116107,PASS,PASS,0.46786220170200854,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,complexity_first,W128-S50-D70,128,50,70,0.009803271106671452,0.0006469167816245402,0.009803271106671452,0.026923076923076945,178.0,174.0,26112,78462.0,586.0,604.1830815097637,PASS,PASS,0.4833333333333333,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,balanced,W128-S25-D98,128,25,98,0.002390912433365533,0.0,0.002390912433365533,0.0062500000000000056,183.0,181.0,26112,143998.0,1090.0,1098.6054400920527,PASS,PASS,0.447008681468113,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,performance_first,W160-S25-D126,160,25,126,0.0007109471440216453,0.0,0.0007109471440216453,0.013043478260869577,200.0,199.0,32256,142206.0,1062.0,1036.101237369298,PASS,PASS,0.5043764367048006,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,latency_first,W128-S25-D98,128,25,98,0.007318219377641988,0.0,0.007318219377641988,0.03913043478260861,162.0,161.0,26112,143998.0,1090.0,1018.7302276798923,PASS,PASS,0.5952711860095738,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,memory_first,W128-S25-D98,128,25,98,0.007318219377641988,0.0,0.007318219377641988,0.03913043478260861,162.0,161.0,26112,143998.0,1090.0,1018.7302276798923,PASS,PASS,0.5952711860095738,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,complexity_first,W192-S50-D112,192,50,112,0.0037095694829905046,0.0,0.0037095694829905046,0.021739130434782507,214.0,208.0,38400,93054.0,642.0,668.7573383583685,PASS,PASS,0.5588428297685013,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,balanced,W160-S25-D126,160,25,126,0.0007109471440216453,0.0,0.0007109471440216453,0.013043478260869577,200.0,199.0,32256,142206.0,1062.0,1036.101237369298,PASS,PASS,0.5043764367048006,1,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
