rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,comparisonMode,runLayer,experimentId,candidateId,targetFerLevel,windowBits,slideBits,boundaryBER,nonBoundaryBER,relativeFerIncreaseVsBlock,maxDecisionDelaySymbols,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,windowBufferBytes,lostBits,duplicateBits,outputLength,finalFlushPass,stopReason
R12,-1.4,-1.4,1.6963016742589878,0.4901960784313725,0.6901921323014423,BLOCK_FULL_TRACEBACK,306,1000,3226,296,0.0107533333333333,0.2959999999999999,0.010390475002915,0.0111287209761365,0.2685309743379792,0.3250303431241272,0,0,58752,1536,60288,306000,39168000,610,311.0,580,611,496.31340000000034,455.5,702.2,5117.1,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--1.3999999999999999,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,,,,,,,,,,,,,,,,,,,,,,,,,
R12,-1.4,-1.4,1.6963016742589878,0.4901960784313725,0.6901921323014423,CONTINUOUS_TRUNCATED_D84,84,1000,3225,297,0.0107499999999999,0.2969999999999999,0.0103871982885062,0.0111253311092433,0.2694996998890068,0.3260539640561284,7,3,16128,1536,17664,18732000,39168000,166,145.98,166,611,645.4564999999998,535.7,928.0,26004.6,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--1.3999999999999999,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,,,,,,,,,,,,,,,,,,,,,,,,,
R12,-1.4,-1.4,1.6963016742589878,0.4901960784313725,0.6901921323014423,CONTINUOUS_TRUNCATED_D112,112,1000,3226,296,0.0107533333333333,0.2959999999999999,0.010390475002915,0.0111287209761365,0.2685309743379792,0.3250303431241272,0,0,21504,1536,23040,21840000,39168000,222,184.9,222,611,652.5874,546.2,867.6,30581.7,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--1.3999999999999999,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D112,,,,,,,,,,,,,,,,,,,,,,,,,
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,BLOCK_FULL_TRACEBACK,306,2149,1928,200,0.0029905382348379,0.0930665425779432,0.0028601783865329,0.0031268209309936,0.081498881585992,0.1060864406708147,0,0,58752,1536,60288,657594,84172032,457,233.0,435,458,503.5977664029792,448.8,779.4,6325.0,5,2026072001,2026072903,0-2148,STAGE13-REFERENCE-R23-1,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,,,,,,,,,,,,,,,,,,,,,,,,,
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_D84,84,2149,2025,211,0.0031409958120055,0.0981852024197301,0.0030073343837563,0.0032805782951067,0.0863120884816125,0.1114922863254231,133,18,16128,1536,17664,40255068,84172032,124,109.42,125,458,578.370544439274,516.0,839.2999999999998,8824.1,5,2026072001,2026072903,0-2148,STAGE13-REFERENCE-R23-1,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,,,,,,,,,,,,,,,,,,,,,,,,,
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_D112,112,2149,1954,202,0.003030867069955,0.0939972080037226,0.0028996142004077,0.0031680423067554,0.0823732000944493,0.1070701317169446,28,4,21504,1536,23040,46934160,84172032,166,138.58666666666667,167,458,610.5802698929731,531.3,929.1,11091.1,5,2026072001,2026072903,0-2148,STAGE13-REFERENCE-R23-1,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D112,,,,,,,,,,,,,,,,,,,,,,,,,
R34,2.4,2.4,3.735389083702175,0.7352941176470588,0.2877199686685784,BLOCK_FULL_TRACEBACK,306,7592,1963,200,0.0008618721461187,0.0263435194942044,0.000824594334863,0.0009008336729785,0.0229734686295075,0.0301926566786677,0,0,58752,1536,60288,2323152,297363456,406,207.0,386,407,445.83460221285856,435.5,589.0,1818.5,5,2026072001,2026072903,0-7591,STAGE13-REFERENCE-R34-2.3999999999999999,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,,,,,,,,,,,,,,,,,,,,,,,,,
R34,2.4,2.4,3.735389083702175,0.7352941176470588,0.2877199686685784,CONTINUOUS_TRUNCATED_D84,84,7592,1990,217,0.0008737267298911,0.0285827186512118,0.0008361879912824,0.0009129491441155,0.0250662842790176,0.0325759744745861,115,25,16128,1536,17664,142213344,297363456,110,97.2333333333333,111,407,514.7387776606946,495.8,681.7,5083.1,5,2026072001,2026072903,0-7591,STAGE13-REFERENCE-R34-2.3999999999999999,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,,,,,,,,,,,,,,,,,,,,,,,,,
R34,2.4,2.4,3.735389083702175,0.7352941176470588,0.2877199686685784,CONTINUOUS_TRUNCATED_D112,112,7592,1958,200,0.0008596768528275,0.0263435194942044,0.0008224475583528,0.0008985898703116,0.0229734686295075,0.0301926566786677,5,2,21504,1536,23040,165809280,297363456,148,123.15,148,407,531.9912539515288,510.9,703.2,11466.2,5,2026072001,2026072903,0-7591,STAGE13-REFERENCE-R34-2.3999999999999999,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D112,,,,,,,,,,,,,,,,,,,,,,,,,
R12,-0.5999999999999998,-0.5999999999999998,2.496301674258988,0.4901960784313725,0.5740768107484413,BLOCK_FULL_TRACEBACK,306,2430,1418,200,0.0019451303155006,0.0823045267489711,0.0018465780059963,0.0020489315884906,0.0720254085062783,0.0939021860611893,0,0,58752,1536,60288,743580,95178240,610,311.0,580,611,510.7691769547325,459.0,772.2999999999998,9292.0,5,2026072001,2026072903,0-2429,STAGE13-REFERENCE-R12--0.59999999999999987,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,,,,,,,,,,,,,,,,,,,,,,,,,
