rateCase,candidateId,targetFer,leftSnr,leftFer,rightSnr,rightFer,interpolatedSnr,interpolationMethod,coveredByData,blockLeftSnr,blockLeftFer,blockRightSnr,blockRightFer,blockInterpolatedSnr,blockCoveredByData,snrLossVsBlock
R12,W96-S16-D70,0.1,-1.0,0.1629032258064516,-0.5,0.06724949562878278,-0.7242227198807082,linear_in_log10_FER,YES,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,YES,0.0025504106705384055
R12,W96-S16-D70,0.01,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,linear_in_log10_FER,YES,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,YES,0.0
R12,W128-S25-D70,0.1,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,linear_in_log10_FER,YES,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,YES,0.0
R12,W128-S25-D70,0.01,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,linear_in_log10_FER,YES,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,YES,0.0
R12,W128-S50-D70,0.1,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,linear_in_log10_FER,YES,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,YES,0.0
R12,W128-S50-D70,0.01,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,linear_in_log10_FER,YES,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,YES,0.0
R12,W128-S16-D70,0.1,-1.0,0.1629032258064516,-0.5,0.06724949562878278,-0.7242227198807082,linear_in_log10_FER,YES,-1.0,0.16129032258064516,-0.5,0.06724949562878278,-0.7267731305512466,YES,0.0025504106705384055
R12,W128-S16-D70,0.01,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,linear_in_log10_FER,YES,0.0,0.01986886548778065,0.5,0.005031826301356077,0.24995754464609704,YES,0.0
R23,W128-S25-D84,0.1,0.5,0.265,1.0,0.09446254071661238,0.9723871240528461,linear_in_log10_FER,YES,0.5,0.26,1.0,0.09306654257794322,0.9650293199292144,YES,0.007357804123631739
R23,W128-S25-D84,0.01,1.5,0.024099289070972408,2.0,0.006160670280926565,1.8224337752719566,linear_in_log10_FER,YES,1.5,0.024099289070972408,2.0,0.006160670280926565,1.8224337752719566,YES,0.0
R23,W128-S25-D98,0.1,0.5,0.261,1.0,0.09353187529083294,0.9674202323625799,linear_in_log10_FER,YES,0.5,0.26,1.0,0.09306654257794321,0.9650293199292144,YES,0.002390912433365533
R23,W128-S25-D98,0.01,1.5,0.024099289070972408,2.0,0.006160670280926565,1.8224337752719566,linear_in_log10_FER,YES,1.5,0.024099289070972408,2.0,0.006160670280926565,1.8224337752719566,YES,0.0
R23,W128-S50-D70,0.1,0.5,0.267,1.0,0.0949278734295021,0.9748325910358858,linear_in_log10_FER,YES,0.5,0.26,1.0,0.09306654257794324,0.9650293199292144,YES,0.009803271106671452
R23,W128-S50-D70,0.01,1.5,0.02421978551632727,2.0,0.006160670280926565,1.8230806920535811,linear_in_log10_FER,YES,1.5,0.02409928907097241,2.0,0.006160670280926565,1.8224337752719566,YES,0.0006469167816245402
R34,W160-S25-D126,0.1,1.5,0.208,2.0,0.07160759040458288,1.8434035833105935,linear_in_log10_FER,YES,1.5,0.207,2.0,0.07160759040458288,1.8426926361665719,YES,0.0007109471440216453
R34,W160-S25-D126,0.01,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,linear_in_log10_FER,YES,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,YES,0.0
R34,W160-S25-D112,0.1,1.5,0.211,2.0,0.07232366630862871,1.8486892962479062,linear_in_log10_FER,YES,1.5,0.207,2.0,0.07160759040458288,1.8426926361665719,YES,0.005996660081334371
R34,W160-S25-D112,0.01,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,linear_in_log10_FER,YES,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,YES,0.0
R34,W192-S50-D112,0.1,1.5,0.21,2.0,0.0719656283566058,1.8464022056495624,linear_in_log10_FER,YES,1.5,0.207,2.0,0.07160759040458288,1.8426926361665719,YES,0.0037095694829905046
R34,W192-S50-D112,0.01,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,linear_in_log10_FER,YES,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,YES,0.0
R34,W128-S25-D98,0.1,1.5,0.213,2.0,0.07232366630862871,1.8500108555442139,linear_in_log10_FER,YES,1.5,0.20699999999999996,2.0,0.07160759040458288,1.8426926361665719,YES,0.007318219377641988
R34,W128-S25-D98,0.01,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,linear_in_log10_FER,YES,2.5,0.021649707728945658,3.0,0.005740033866199811,2.790919488719053,YES,0.0
