rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId
R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,BLOCK_FULL_TRACEBACK,306,1000,116739,1000,0.3891299999999999,1.0,0.3873867766154234,0.3908760626984824,0.9961732415144448,1.0,0,0,58752,1536,60288,306000,39168000,610,311.0,580,611,479.5219999999997,443.3,691.4,4405.0,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,CONTINUOUS_TRUNCATED_D84,84,1000,117036,1000,0.39012,1.0,0.3883759621437605,0.3918668518168419,0.9961732415144448,1.0,12295,820,16128,1536,17664,18732000,39168000,166,145.98,166,611,565.9272000000003,525.9,778.5,6616.8,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,CONTINUOUS_TRUNCATED_D112,112,1000,116886,1000,0.38962,1.0,0.3878763725481749,0.3913664542171262,0.9961732415144448,1.0,5763,503,21504,1536,23040,21840000,39168000,222,184.9,222,611,576.0465999999998,536.3,772.6,5998.1,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,BLOCK_FULL_TRACEBACK,306,1000,41690,975,0.1389666666666666,0.975,0.1377334823611143,0.1402090968183798,0.9633547107321566,0.983009868706566,0,0,58752,1536,60288,306000,39168000,610,311.0,580,611,525.2865,449.1,905.8,8698.1,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,CONTINUOUS_TRUNCATED_D84,84,1000,41889,976,0.13963,0.976,0.1383943345816258,0.1408748942769679,0.9645370943883884,0.9838198315333628,2623,323,16128,1536,17664,18732000,39168000,166,145.98,166,611,617.5209000000004,535.6,1008.1,4570.1,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,CONTINUOUS_TRUNCATED_D112,112,1000,41713,975,0.1390433333333333,0.975,0.1378098617810282,0.1402860487684121,0.9633547107321566,0.983009868706566,719,112,21504,1536,23040,21840000,39168000,222,184.9,222,611,670.0211000000002,545.9,1150.3,14617.8,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,BLOCK_FULL_TRACEBACK,306,1240,1712,200,0.0046021505376344,0.1612903225806451,0.0043897091246546,0.0048248232989309,0.1418698885014156,0.1828028870817222,0,0,58752,1536,60288,379440,48568320,610,311.0,580,611,507.80419354838693,457.8,771.5,8528.5,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,CONTINUOUS_TRUNCATED_D84,84,1240,1712,200,0.0046021505376344,0.1612903225806451,0.0043897091246546,0.0048248232989309,0.1418698885014156,0.1828028870817222,0,0,16128,1536,17664,23227680,48568320,166,145.98,166,611,624.3784677419358,546.2,941.9,7531.6,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,CONTINUOUS_TRUNCATED_D112,112,1240,1712,200,0.0046021505376344,0.1612903225806451,0.0043897091246546,0.0048248232989309,0.1418698885014156,0.1828028870817222,0,0,21504,1536,23040,27081600,48568320,222,184.9,222,611,632.4247580645163,558.9,967.9,6765.5,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,1.0,1.0,4.096301674258988,0.4901960784313725,0.3971641173621407,BLOCK_FULL_TRACEBACK,306,50000,177,41,1.18e-05,0.0008199999999999,1.018497160935685e-05,1.3671119535876642e-05,0.0006045494158823,0.001112147868093,0,0,58752,1536,60288,15300000,1958400000,610,311.0,580,611,403.5845800000007,410.5,501.3,4245.2,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
R12,1.0,1.0,4.096301674258988,0.4901960784313725,0.3971641173621407,CONTINUOUS_TRUNCATED_D84,84,50000,177,41,1.18e-05,0.0008199999999999,1.018497160935685e-05,1.3671119535876642e-05,0.0006045494158823,0.001112147868093,0,0,16128,1536,17664,936600000,1958400000,166,145.98,166,611,486.91114400000293,489.6,600.5,5082.2,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
R12,1.0,1.0,4.096301674258988,0.4901960784313725,0.3971641173621407,CONTINUOUS_TRUNCATED_D112,112,50000,177,41,1.18e-05,0.0008199999999999,1.018497160935685e-05,1.3671119535876642e-05,0.0006045494158823,0.001112147868093,0,0,21504,1536,23040,1092000000,1958400000,222,184.9,222,611,498.07032199999577,499.9,614.4,3752.8,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
R12,3.0,3.0,6.096301674258988,0.4901960784313725,0.2505936168136361,BLOCK_FULL_TRACEBACK,306,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,58752,1536,60288,15300000,1958400000,610,311.0,580,611,355.01497199999943,379.1,442.6,2947.6,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,3.0,3.0,6.096301674258988,0.4901960784313725,0.2505936168136361,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.98,166,611,432.49602000000186,450.8,528.7,2497.2,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,3.0,3.0,6.096301674258988,0.4901960784313725,0.2505936168136361,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.9,222,611,443.685826000001,460.0,544.2,2190.1,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-3,STAGE13-REFERENCE
R12,5.0,5.0,8.096301674258989,0.4901960784313725,0.1581138830084189,BLOCK_FULL_TRACEBACK,306,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,58752,1536,60288,15300000,1958400000,610,311.0,580,611,347.10677400000185,373.1,431.8,2745.7,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,5.0,5.0,8.096301674258989,0.4901960784313725,0.1581138830084189,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.98,166,611,422.21392800000007,445.6,513.8,2661.5,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,5.0,5.0,8.096301674258989,0.4901960784313725,0.1581138830084189,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.9,222,611,432.8657020000014,455.0,528.7,2843.7,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-5,STAGE13-REFERENCE
R12,7.0,7.0,10.096301674258989,0.4901960784313725,0.099763115748444,BLOCK_FULL_TRACEBACK,306,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,58752,1536,60288,15300000,1958400000,610,311.0,580,611,339.4121579999972,362.7,424.6,1728.9,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
R12,7.0,7.0,10.096301674258989,0.4901960784313725,0.099763115748444,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.98,166,611,412.488235999994,434.1,504.8,1776.4,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
R12,7.0,7.0,10.096301674258989,0.4901960784313725,0.099763115748444,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.9,222,611,422.3744260000009,445.3,517.6,1925.4,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-7,STAGE13-REFERENCE
R12,9.0,9.0,12.096301674258989,0.4901960784313725,0.0629462705897083,BLOCK_FULL_TRACEBACK,306,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,58752,1536,60288,15300000,1958400000,610,311.0,580,611,337.47088999999715,360.5,418.8,1822.9,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
R12,9.0,9.0,12.096301674258989,0.4901960784313725,0.0629462705897083,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,16128,1536,17664,936600000,1958400000,166,145.98,166,611,409.37736000000007,431.1,497.9,1757.3,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
R12,9.0,9.0,12.096301674258989,0.4901960784313725,0.0629462705897083,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0,0,21504,1536,23040,1092000000,1958400000,222,184.9,222,611,419.766408000001,442.5,510.3,4771.9,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-9,STAGE13-REFERENCE
