rateCase,recommendationType,candidateId,windowBits,slideBits,dtb,noiselessMismatch,lostBits,duplicateBits,outputLength,finalFlushPass,worstRelativeFerIncrease,meanFirstOutputDelaySymbols,meanP95DecisionDelaySymbols,totalMemoryBytes,meanACSPerFrame,meanTracebackOperationsPerFrame,meanCpuTimeUs,correctnessGate,reliabilityGate,pareto,balancedScore,balancedWeights
R12,performance_first,W128-S25-D70,128,25,70,0,0,0,300,True,0.0,188.0,188.0,26112,143998.0,866.0,1453.904433333334,PASS,PASS,True,0.14483126642333935,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,latency_first,W96-S16-D70,96,16,70,0,0,0,300,True,0.0033783783783783816,170.0,168.0,19968,181886.0,1286.0,1843.4532333333327,PASS,PASS,True,0.13291498039186203,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,memory_first,W96-S16-D70,96,16,70,0,0,0,300,True,0.0033783783783783816,170.0,168.0,19968,181886.0,1286.0,1843.4532333333327,PASS,PASS,True,0.13291498039186203,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,complexity_first,W128-S50-D70,128,50,70,0,0,0,300,True,0.0,238.0,232.0,26112,78462.0,586.0,805.1635999999999,PASS,PASS,True,0.14871794871794872,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R12,balanced,W96-S16-D70,96,16,70,0,0,0,300,True,0.0033783783783783816,170.0,168.0,19968,181886.0,1286.0,1843.4532333333327,PASS,PASS,True,0.13291498039186203,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,performance_first,W128-S25-D98,128,25,98,0,0,0,300,True,0.010989010989010999,183.0,181.0,26112,143998.0,1090.0,1264.4667333333325,PASS,PASS,True,0.4484048907179975,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,latency_first,W128-S25-D84,128,25,84,0,0,0,300,True,0.021978021978021997,162.0,160.0,26112,143998.0,978.0,1273.3203666666666,PASS,PASS,True,0.4083333333333333,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,memory_first,W128-S50-D70,128,50,70,0,0,0,300,True,0.032967032967032996,178.0,174.0,26112,78462.0,586.0,718.2716666666673,PASS,PASS,True,0.4833333333333333,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,complexity_first,W128-S50-D70,128,50,70,0,0,0,300,True,0.032967032967032996,178.0,174.0,26112,78462.0,586.0,718.2716666666673,PASS,PASS,True,0.4833333333333333,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R23,balanced,W128-S25-D84,128,25,84,0,0,0,300,True,0.021978021978021997,162.0,160.0,26112,143998.0,978.0,1273.3203666666666,PASS,PASS,True,0.4083333333333333,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,performance_first,W160-S25-D126,160,25,126,0,0,0,300,True,0.0,200.0,199.0,32256,142206.0,1062.0,1523.209733333333,PASS,PASS,True,0.33556886577039974,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,latency_first,W128-S25-D98,128,25,98,0,0,0,300,True,0.030100334448160564,162.0,161.0,26112,143998.0,1090.0,1165.2906666666665,PASS,PASS,True,0.4341517108083323,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,memory_first,W128-S25-D98,128,25,98,0,0,0,300,True,0.030100334448160564,162.0,161.0,26112,143998.0,1090.0,1165.2906666666665,PASS,PASS,True,0.4341517108083323,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,complexity_first,W192-S50-D112,192,50,112,0,0,0,300,True,0.0033444816053511735,214.0,208.0,38400,93054.0,642.0,1004.0401333333333,PASS,PASS,True,0.398210922787194,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
R34,balanced,W160-S25-D126,160,25,126,0,0,0,300,True,0.0,200.0,199.0,32256,142206.0,1062.0,1523.209733333333,PASS,PASS,True,0.33556886577039974,"{""cpuTime"": 0.1, ""delay"": 0.2, ""memory"": 0.2, ""operations"": 0.15, ""reliability"": 0.35}"
