runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,windowBits,slideBits,dtb,minFrames,targetFrameErrors,maxFrames,sourceStage09RowId
prescan,A_CHANGE_W,W96-S16-D70,R12,FER_030,-1.3999999999999999,96,16,70,1000,200,1000,dense-014
prescan,A_CHANGE_W,W128-S16-D70,R12,FER_030,-1.3999999999999999,128,16,70,1000,200,1000,dense-014
prescan,A_CHANGE_W,W160-S16-D70,R12,FER_030,-1.3999999999999999,160,16,70,1000,200,1000,dense-014
prescan,A_CHANGE_W,W192-S16-D70,R12,FER_030,-1.3999999999999999,192,16,70,1000,200,1000,dense-014
prescan,B_CHANGE_S,W128-S8-D70,R12,FER_030,-1.3999999999999999,128,8,70,1000,200,1000,dense-014
prescan,B_CHANGE_S,W128-S16-D70,R12,FER_030,-1.3999999999999999,128,16,70,1000,200,1000,dense-014
prescan,B_CHANGE_S,W128-S25-D70,R12,FER_030,-1.3999999999999999,128,25,70,1000,200,1000,dense-014
prescan,B_CHANGE_S,W128-S50-D70,R12,FER_030,-1.3999999999999999,128,50,70,1000,200,1000,dense-014
prescan,C_CHANGE_D,W128-S25-D35,R12,FER_030,-1.3999999999999999,128,25,35,1000,200,1000,dense-014
prescan,C_CHANGE_D,W128-S25-D49,R12,FER_030,-1.3999999999999999,128,25,49,1000,200,1000,dense-014
prescan,C_CHANGE_D,W128-S25-D70,R12,FER_030,-1.3999999999999999,128,25,70,1000,200,1000,dense-014
prescan,C_CHANGE_D,W128-S25-D84,R12,FER_030,-1.3999999999999999,128,25,84,1000,200,1000,dense-014
prescan,C_CHANGE_D,W128-S25-D98,R12,FER_030,-1.3999999999999999,128,25,98,1000,200,1000,dense-014
prescan,A_CHANGE_W,W96-S16-D70,R12,FER_010,-0.59999999999999998,96,16,70,1000,200,1000,dense-018
prescan,A_CHANGE_W,W128-S16-D70,R12,FER_010,-0.59999999999999998,128,16,70,1000,200,1000,dense-018
prescan,A_CHANGE_W,W160-S16-D70,R12,FER_010,-0.59999999999999998,160,16,70,1000,200,1000,dense-018
prescan,A_CHANGE_W,W192-S16-D70,R12,FER_010,-0.59999999999999998,192,16,70,1000,200,1000,dense-018
prescan,B_CHANGE_S,W128-S8-D70,R12,FER_010,-0.59999999999999998,128,8,70,1000,200,1000,dense-018
prescan,B_CHANGE_S,W128-S16-D70,R12,FER_010,-0.59999999999999998,128,16,70,1000,200,1000,dense-018
prescan,B_CHANGE_S,W128-S25-D70,R12,FER_010,-0.59999999999999998,128,25,70,1000,200,1000,dense-018
prescan,B_CHANGE_S,W128-S50-D70,R12,FER_010,-0.59999999999999998,128,50,70,1000,200,1000,dense-018
prescan,C_CHANGE_D,W128-S25-D35,R12,FER_010,-0.59999999999999998,128,25,35,1000,200,1000,dense-018
prescan,C_CHANGE_D,W128-S25-D49,R12,FER_010,-0.59999999999999998,128,25,49,1000,200,1000,dense-018
prescan,C_CHANGE_D,W128-S25-D70,R12,FER_010,-0.59999999999999998,128,25,70,1000,200,1000,dense-018
prescan,C_CHANGE_D,W128-S25-D84,R12,FER_010,-0.59999999999999998,128,25,84,1000,200,1000,dense-018
prescan,C_CHANGE_D,W128-S25-D98,R12,FER_010,-0.59999999999999998,128,25,98,1000,200,1000,dense-018
prescan,A_CHANGE_W,W96-S16-D70,R12,FER_003,-0.20000000000000001,96,16,70,1000,200,1000,dense-020
prescan,A_CHANGE_W,W128-S16-D70,R12,FER_003,-0.20000000000000001,128,16,70,1000,200,1000,dense-020
prescan,A_CHANGE_W,W160-S16-D70,R12,FER_003,-0.20000000000000001,160,16,70,1000,200,1000,dense-020
prescan,A_CHANGE_W,W192-S16-D70,R12,FER_003,-0.20000000000000001,192,16,70,1000,200,1000,dense-020
prescan,B_CHANGE_S,W128-S8-D70,R12,FER_003,-0.20000000000000001,128,8,70,1000,200,1000,dense-020
prescan,B_CHANGE_S,W128-S16-D70,R12,FER_003,-0.20000000000000001,128,16,70,1000,200,1000,dense-020
prescan,B_CHANGE_S,W128-S25-D70,R12,FER_003,-0.20000000000000001,128,25,70,1000,200,1000,dense-020
prescan,B_CHANGE_S,W128-S50-D70,R12,FER_003,-0.20000000000000001,128,50,70,1000,200,1000,dense-020
prescan,C_CHANGE_D,W128-S25-D35,R12,FER_003,-0.20000000000000001,128,25,35,1000,200,1000,dense-020
prescan,C_CHANGE_D,W128-S25-D49,R12,FER_003,-0.20000000000000001,128,25,49,1000,200,1000,dense-020
prescan,C_CHANGE_D,W128-S25-D70,R12,FER_003,-0.20000000000000001,128,25,70,1000,200,1000,dense-020
prescan,C_CHANGE_D,W128-S25-D84,R12,FER_003,-0.20000000000000001,128,25,84,1000,200,1000,dense-020
prescan,C_CHANGE_D,W128-S25-D98,R12,FER_003,-0.20000000000000001,128,25,98,1000,200,1000,dense-020
prescan,A_CHANGE_W,W96-S16-D70,R23,FER_030,0.40000000000000002,96,16,70,1000,200,1000,dense-062
prescan,A_CHANGE_W,W128-S16-D70,R23,FER_030,0.40000000000000002,128,16,70,1000,200,1000,dense-062
prescan,A_CHANGE_W,W160-S16-D70,R23,FER_030,0.40000000000000002,160,16,70,1000,200,1000,dense-062
prescan,A_CHANGE_W,W192-S16-D70,R23,FER_030,0.40000000000000002,192,16,70,1000,200,1000,dense-062
prescan,B_CHANGE_S,W128-S8-D70,R23,FER_030,0.40000000000000002,128,8,70,1000,200,1000,dense-062
prescan,B_CHANGE_S,W128-S16-D70,R23,FER_030,0.40000000000000002,128,16,70,1000,200,1000,dense-062
prescan,B_CHANGE_S,W128-S25-D70,R23,FER_030,0.40000000000000002,128,25,70,1000,200,1000,dense-062
prescan,B_CHANGE_S,W128-S50-D70,R23,FER_030,0.40000000000000002,128,50,70,1000,200,1000,dense-062
prescan,C_CHANGE_D,W128-S25-D35,R23,FER_030,0.40000000000000002,128,25,35,1000,200,1000,dense-062
prescan,C_CHANGE_D,W128-S25-D49,R23,FER_030,0.40000000000000002,128,25,49,1000,200,1000,dense-062
