windowInputBits,slideStepBits,tracebackDepthBits,status,survivorMemoryBytes,windowBufferBytes,firstOutputDelaySymbols,selected
64,16,35,VALID,12288,1024,63,NO
64,25,35,VALID,12288,1024,63,NO
96,16,49,VALID,18432,1536,95,NO
96,25,70,VALID,18432,1536,95,YES
128,25,70,VALID,24576,2048,127,NO
128,50,84,VALID,24576,2048,127,NO
192,50,98,VALID,36864,3072,191,NO
