caseId,snrDb,windowInputBits,slideStepBits,tracebackDepthBits,frames,bitErrors,frameErrors,BER,FER,fullMismatchBits,fullMismatchFrames,headMismatchBits,boundaryMismatchBits,middleMismatchBits,tailMismatchBits,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,survivorMemoryBytes,windowBufferBytes,ACSCount,tracebackOperations,avgDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs
CC-C-R12-S,0,64,16,35,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,63,51.393333333333331,63,63,12288,1024,38526000,1330000,312.43889999999976,447.19999999999999,802.29999999999995
CC-C-R12-S,0,64,25,35,1000,104,17,0.00034666666666666667,0.017000000000000001,2,1,0,2,0,0,63,47.583333333333336,62,63,12288,1024,38526000,946000,317.27600000000012,425.89999999999998,784.10000000000002
CC-C-R12-S,0,96,16,49,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,95,76.353333333333339,94,95,18432,1536,38526000,1650000,322.76950000000005,457.10000000000002,727.20000000000005
CC-C-R12-S,0,96,25,70,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,95,73,94,95,18432,1536,38526000,1170000,323.32069999999936,448.39999999999998,2139.5999999999999
CC-C-R12-S,0,128,25,70,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,127,95.166666666666671,126,127,24576,2048,38526000,1330000,339.65530000000012,454.89999999999998,1049.5999999999999
CC-C-R12-S,0,128,50,84,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,127,86.833333333333329,124,127,24576,2048,38526000,818000,334.38550000000038,459,645
CC-C-R12-S,0,192,50,98,1000,102,16,0.00034000000000000002,0.016,0,0,0,0,0,0,191,123.5,186,191,36864,3072,38526000,882000,310.52919999999966,451.39999999999998,771
CC-C-R23-S,1,64,16,35,1000,1155,110,0.0038500000000000001,0.11,275,39,70,95,84,26,63,51.393333333333331,63,63,12288,1024,38526000,1330000,309.89210000000014,435.69999999999999,631.79999999999995
CC-C-R23-S,1,64,25,35,1000,1289,125,0.0042966666666666665,0.125,423,62,102,136,153,32,63,47.583333333333336,62,63,12288,1024,38526000,946000,288.5453999999998,410.80000000000001,793.39999999999998
CC-C-R23-S,1,96,16,49,1000,1054,89,0.0035133333333333332,0.088999999999999996,22,5,8,3,11,0,95,76.353333333333339,94,95,18432,1536,38526000,1650000,310.59130000000005,444.89999999999998,1543.4000000000001
CC-C-R23-S,1,96,25,70,1000,1057,89,0.0035233333333333332,0.088999999999999996,65,5,16,19,30,0,95,73,94,95,18432,1536,38526000,1170000,297.76940000000019,422.80000000000001,837
CC-C-R23-S,1,128,25,70,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,0,0,0,0,127,95.166666666666671,126,127,24576,2048,38526000,1330000,332.1334999999998,450.5,929.60000000000002
CC-C-R23-S,1,128,50,84,1000,1046,89,0.0034866666666666666,0.088999999999999996,10,2,7,3,0,0,127,86.833333333333329,124,127,24576,2048,38526000,818000,295.34759999999994,410.60000000000002,1324.8
CC-C-R23-S,1,192,50,98,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,0,0,0,0,191,123.5,186,191,36864,3072,38526000,882000,289.26729999999964,401.69999999999999,757.60000000000002
CC-C-R34-S,2,64,16,35,1000,1209,127,0.0040299999999999997,0.127,593,73,155,132,271,35,63,51.393333333333331,63,63,12288,1024,38526000,1330000,271.9855,388,957.89999999999998
CC-C-R34-S,2,64,25,35,1000,1318,136,0.0043933333333333333,0.13600000000000001,708,81,180,204,271,53,63,47.583333333333336,62,63,12288,1024,38526000,946000,318.30669999999958,424.19999999999999,1087.0999999999999
CC-C-R34-S,2,96,16,49,1000,916,79,0.0030533333333333332,0.079000000000000001,118,13,31,47,40,0,95,76.353333333333339,94,95,18432,1536,38526000,1650000,325.73199999999969,426.60000000000002,823.79999999999995
CC-C-R34-S,2,96,25,70,1000,935,86,0.0031166666666666665,0.085999999999999993,167,21,34,68,65,0,95,73,94,95,18432,1536,38526000,1170000,375.83420000000018,466.39999999999998,12168.4
CC-C-R34-S,2,128,25,70,1000,842,72,0.0028066666666666665,0.071999999999999995,32,3,0,17,15,0,127,95.166666666666671,126,127,24576,2048,38526000,1330000,349.40660000000003,461,655.89999999999998
CC-C-R34-S,2,128,50,84,1000,869,74,0.0028966666666666667,0.073999999999999996,59,6,7,27,25,0,127,86.833333333333329,124,127,24576,2048,38526000,818000,361.81299999999942,475.5,1040.8
CC-C-R34-S,2,192,50,98,1000,810,71,0.0027000000000000001,0.070999999999999994,0,0,0,0,0,0,191,123.5,186,191,36864,3072,38526000,882000,298.49820000000045,414.89999999999998,737.29999999999995
