caseName,field,cppValue,pythonValue,absDiff,tolerance,status
frozen_reference,noiseWord0,1.8735800137866358e+17,1.8735800137866358e+17,0.0,0.0,PASS
frozen_reference,noiseWord1,1.272467992600186e+19,1.272467992600186e+19,0.0,0.0,PASS
frozen_reference,gaussian0,-1.1187446944158668,-1.1187446944158668,0.0,1e-12,PASS
frozen_reference,bpsk0,1.0,1.0,0.0,1e-12,PASS
frozen_reference,bpsk1,-1.0,-1.0,0.0,1e-12,PASS
frozen_reference,codeRate,0.8064516129032258,0.8064516129032258,0.0,1e-12,PASS
frozen_reference,sigma,0.6254546774768894,0.6254546774768894,0.0,1e-12,PASS
frozen_reference,received,1.3127273387384446,1.3127273387384446,0.0,1e-12,PASS
frozen_reference,llr,6.711395557174694,6.711395557174694,0.0,1e-12,PASS
frozen_reference,hardDecision,0.0,0.0,0.0,0.0,PASS
frozen_reference,llrSignDecision,0.0,0.0,0.0,0.0,PASS
