field,value
noiseWord0,187358001378663577
noiseWord1,12724679926001860756
gaussian0,-1.1187446944158668
bpsk0,1
bpsk1,-1
codeRate,0.80645161290322576
sigma,0.62545467747688943
received,1.3127273387384446
llr,6.7113955571746944
hardDecision,0
llrSignDecision,0
cxxMergeProcessedFrames,100
cxxMergeTotalPayloadBits,20000
cxxMergeBitErrors,100
cxxMergeFrameErrors,100
cxxMergeTotalTimeNsSum,10000
cxxMergeMaxTotalTimeNs,101
