organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,p95DecodeTimeUs,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,stopReason
A_BLOCK_300,R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,300,1,1,103,1,0.34333333333333332,1,0.29188793516981404,0.39874019581387699,0.20654931437723745,1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311,310,580,610,611,0,0,1,1,0,612,612,468.5,468.5,0,612,59776,39168,306,13018336684683964808,2026072001,2026072904,0-0,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,MAX_FRAMES_REACHED
B_CONT_50x6,R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,50,6,1,117,1,0.39000000000000001,1,0.33653002163099111,0.446251432038409,0.20654931437723745,1,0.39000000000000001,0.39000000000000001,1,198,187.26666666666668,200,268,290,611,103,112,15,5,15,292,234.66666666666666,1982,1982,0,612,19968,181886,1286,104351314468508657,2026072001,2026072904,0-0,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,MAX_FRAMES_REACHED
C_CONT_100x3,R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,100,3,1,117,1,0.39000000000000001,1,0.33653002163099111,0.446251432038409,0.20654931437723745,1,0.55000000000000004,0.36538461538461536,1.5052631578947371,198,221.18666666666667,226,362,386,611,206,212,15,3,15,388,318.66666666666669,1950.0999999999999,1950.0999999999999,0,612,19968,181886,1286,4519244460618871703,2026072001,2026072904,0-0,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,MAX_FRAMES_REACHED
D_CONT_150x2,R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,150,2,1,117,1,0.39000000000000001,1,0.33653002163099111,0.446251432038409,0.20654931437723745,1,0.55000000000000004,0.37857142857142856,1.4528301886792454,298,244.44,240,452,482,611,312,312,15,2,15,484,392,2212.0999999999999,2212.0999999999999,0,612,19968,181886,1286,13919096795646304341,2026072001,2026072904,0-0,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,MAX_FRAMES_REACHED
