stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,5,,NONE,500,281,500,500,100000,2102,482,0.02102,0.96399999999999997,0.035999999999999997,1,0,0.96399999999999997,0,1.242,4.6360000000000001,0,0.12,1.1220000000000001,0,280,false,false,0.94381567303197222,0.97710893901970719,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,MAXIMUM_FRAMES,0.0051878000000000002,51b485d5500cf03a,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,5,,FIXED_RANDOM,500,281,500,500,100000,438,182,0.0043800000000000002,0.36399999999999999,0.63600000000000001,1,0,0.36399999999999999,0,4.5999999999999996,1.3680000000000001,0.63400000000000001,4.202,0.39800000000000002,9,280,false,false,0.32301143591892645,0.40706238468661582,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,MAXIMUM_FRAMES,0.0051878000000000002,51b485d5500cf03a,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,6,,NONE,500,280,500,500,100000,2461,490,0.02461,0.97999999999999998,0.02,1,0,0.97999999999999998,0,1.292,5.4960000000000004,0,0.126,1.1659999999999999,0,279,false,false,0.96357981675312077,0.98910081640378922,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,MAXIMUM_FRAMES,0.0049316999999999998,ea5c14027b1f3499,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,6,,FIXED_RANDOM,500,280,500,500,100000,552,240,0.0055199999999999997,0.47999999999999998,0.52000000000000002,1,0,0.47999999999999998,0,5.4299999999999997,1.506,0.51000000000000001,4.8760000000000003,0.55400000000000005,7,276,false,false,0.43652842657373225,0.52377654704472987,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,MAXIMUM_FRAMES,0.0049316999999999998,ea5c14027b1f3499,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,7,,NONE,500,279,500,500,100000,2365,489,0.023650000000000001,0.97799999999999998,0.021999999999999999,1,0,0.97799999999999998,0,1.3580000000000001,6.2859999999999996,0,0.12,1.238,1,278,false,false,0.96103913878868363,0.98767199173007247,2026072607,4017947825915577414,578442061327463775,578442061327463775,MAXIMUM_FRAMES,0.0048910999999999998,a4fc32eba59cd09a,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,7,,FIXED_RANDOM,500,279,500,500,100000,859,319,0.0085900000000000004,0.63800000000000001,0.36199999999999999,1,0,0.63800000000000001,0,6.1100000000000003,1.698,0.34599999999999997,5.2640000000000002,0.84599999999999997,6,276,false,false,0.59497172621079741,0.67892395582181431,2026072607,4017947825915577414,578442061327463775,578442061327463775,MAXIMUM_FRAMES,0.0048910999999999998,a4fc32eba59cd09a,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,8,,NONE,500,278,500,500,100000,3127,491,0.031269999999999999,0.98199999999999998,0.017999999999999999,1,0,0.98199999999999998,0,1.4319999999999999,7.0540000000000003,0,0.13800000000000001,1.294,0,274,false,false,0.96614832909126069,0.99050180670380295,2026072607,4017947825915577414,17252338351945625033,17252338351945625033,MAXIMUM_FRAMES,0.0053682000000000001,05dfd8a088b81c31,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,8,,FIXED_RANDOM,500,278,500,500,100000,1111,394,0.01111,0.78800000000000003,0.21199999999999999,1,0,0.78800000000000003,0,6.8879999999999999,1.8480000000000001,0.20399999999999999,5.8280000000000003,1.0600000000000001,5,266,false,false,0.7500478841824445,0.82156049571170153,2026072607,4017947825915577414,17252338351945625033,17252338351945625033,MAXIMUM_FRAMES,0.0053682000000000001,05dfd8a088b81c31,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,9,,NONE,500,277,500,500,100000,3191,486,0.031910000000000001,0.97199999999999998,0.028000000000000001,1,0,0.97199999999999998,0,1.482,7.7359999999999998,0,0.114,1.3680000000000001,0,276,false,false,0.95355359732505107,0.98324902527924363,2026072607,4017947825915577414,7180172080264513663,7180172080264513663,MAXIMUM_FRAMES,0.0058126000000000002,10fe5c5daea5c15a,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,9,,FIXED_RANDOM,500,277,500,500,100000,1374,432,0.01374,0.86399999999999999,0.13600000000000001,1,0,0.86399999999999999,0,7.6079999999999997,1.9319999999999999,0.13600000000000001,6.2839999999999998,1.3240000000000001,6,257,false,false,0.83116492355122717,0.89128455659276284,2026072607,4017947825915577414,7180172080264513663,7180172080264513663,MAXIMUM_FRAMES,0.0058126000000000002,10fe5c5daea5c15a,086532f4a013163c,273ca9cc3e6ed03c,true,500
