stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,5,,NONE,5000,281,5000,5000,1000000,21553,4873,0.021552999999999999,0.97460000000000002,0.025399999999999999,1,0,0.97460000000000002,0,1.2556,4.6166,0,0.1278,1.1277999999999999,0,280,false,false,0.96986105259337319,0.97861024472037872,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,PAIRED_TARGET_FRAME_ERRORS,0.048192600000000002,51b485d5500cf03a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,5,,FIXED_RANDOM,5000,281,5000,5000,1000000,4134,1759,0.0041339999999999997,0.3518,0.6482,1,0,0.3518,0,4.5919999999999996,1.371,0.64100000000000001,4.1959999999999997,0.39600000000000002,8,280,false,false,0.33868209898435203,0.36514544787216302,2026072607,4017947825915577414,11725738326003446633,11725738326003446633,PAIRED_TARGET_FRAME_ERRORS,0.048192600000000002,51b485d5500cf03a,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,6,,NONE,5000,280,5000,5000,1000000,24649,4896,0.024649000000000001,0.97919999999999996,0.020799999999999999,1,0,0.97919999999999996,0,1.3124,5.4451999999999998,0,0.12720000000000001,1.1852,0,279,false,false,0.97486079507760315,0.9828034393782541,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,PAIRED_TARGET_FRAME_ERRORS,0.052045250000000001,ea5c14027b1f3499,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,6,,FIXED_RANDOM,5000,280,5000,5000,1000000,6136,2502,0.006136,0.50039999999999996,0.49959999999999999,1,0,0.50039999999999996,0,5.3879999999999999,1.5331999999999999,0.48880000000000001,4.798,0.58999999999999997,7,277,false,false,0.48654597993221849,0.51425340590622537,2026072607,4017947825915577414,3413198687404197003,3413198687404197003,PAIRED_TARGET_FRAME_ERRORS,0.052045250000000001,ea5c14027b1f3499,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,7,,NONE,5000,279,5000,5000,1000000,23689,4879,0.023689000000000002,0.9758,0.024199999999999999,1,0,0.9758,0,1.3926000000000001,6.2127999999999997,0,0.1278,1.2647999999999999,0,278,false,false,0.97116129622111347,0.97970815860797023,2026072607,4017947825915577414,578442061327463775,578442061327463775,PAIRED_TARGET_FRAME_ERRORS,0.051656849999999997,a4fc32eba59cd09a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,7,,FIXED_RANDOM,5000,279,5000,5000,1000000,8646,3270,0.0086459999999999992,0.65400000000000003,0.34599999999999997,1,0,0.65400000000000003,0,6.1276000000000002,1.7010000000000001,0.33560000000000001,5.2918000000000003,0.83579999999999999,6,276,false,false,0.6407010059279219,0.66706254187300051,2026072607,4017947825915577414,578442061327463775,578442061327463775,PAIRED_TARGET_FRAME_ERRORS,0.051656849999999997,a4fc32eba59cd09a,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,8,,NONE,5000,278,5000,5000,1000000,30965,4929,0.030964999999999999,0.98580000000000001,0.014200000000000001,1,0,0.98580000000000001,0,1.4525999999999999,6.9733999999999998,0,0.13159999999999999,1.321,0,275,false,false,0.98212770809587291,0.98872639269430962,2026072607,4017947825915577414,17252338351945625033,17252338351945625033,PAIRED_TARGET_FRAME_ERRORS,0.054201149999999997,05dfd8a088b81c31,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,8,,FIXED_RANDOM,5000,278,5000,5000,1000000,11387,3959,0.011387,0.79179999999999995,0.2082,1,0,0.79179999999999995,0,6.8395999999999999,1.8524,0.20119999999999999,5.7328000000000001,1.1068,5,275,false,false,0.7803239639800309,0.80282800516483366,2026072607,4017947825915577414,17252338351945625033,17252338351945625033,PAIRED_TARGET_FRAME_ERRORS,0.054201149999999997,05dfd8a088b81c31,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,9,,NONE,5000,277,5000,5000,1000000,31819,4918,0.031819,0.98360000000000003,0.016400000000000001,1,0,0.98360000000000003,0,1.5164,7.7092000000000001,0,0.1308,1.3855999999999999,0,276,false,false,0.97969014282918099,0.98676733584956,2026072607,4017947825915577414,7180172080264513663,7180172080264513663,PAIRED_TARGET_FRAME_ERRORS,0.052873400000000001,10fe5c5daea5c15a,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,9,,FIXED_RANDOM,5000,277,5000,5000,1000000,14378,4413,0.014378,0.88260000000000005,0.1174,1,0,0.88260000000000005,0,7.5359999999999996,1.9650000000000001,0.1174,6.1543999999999999,1.3815999999999999,4,257,false,false,0.87338252075373102,0.89123003371791143,2026072607,4017947825915577414,7180172080264513663,7180172080264513663,PAIRED_TARGET_FRAME_ERRORS,0.052873400000000001,10fe5c5daea5c15a,086532f4a013163c,273ca9cc3e6ed03c,true,5000
