caseName,interleaverMode,permutationHash,inversePermutationHash
BCH-S200,NONE,0c676aafaea3bec0,0c676aafaea3bec0
BCH-S200,FIXED_RANDOM,086532f4a013163c,273ca9cc3e6ed03c
BCH-B200,NONE,a2046895accb2c03,a2046895accb2c03
BCH-B200,FIXED_RANDOM,05db3d652ddf6163,85688e52470db023
BCH-S300,NONE,dfcbe7a21278659f,dfcbe7a21278659f
BCH-S300,FIXED_RANDOM,5c10f48ddd14cd1f,c5689bc5aef68813
BCH-B300,NONE,b68a989ea78bd8ca,b68a989ea78bd8ca
BCH-B300,FIXED_RANDOM,1e102dea679dcaf2,42d21fbe2eb4ada2
BCH-B300-426,NONE,0118cc44fa6c75d6,0118cc44fa6c75d6
BCH-B300-426,FIXED_RANDOM,2917cde6155cf7d6,4bad4fe864af70da
