rowId,payloadLength,encodedLength,actual_rate,ebn0_db,bit,z,sigma2,sigma,noise,transmitted,received,hard_decision,snr_linear,snr_db,conversion_formula
0,200,285,0.70175438596491224,-1.5,0,-2.25,1.0064330005437125,1.0032113439070116,-2.2572255237907761,1,-1.2572255237907761,1,0.99360811843387764,-0.027848686805478362,"SNR_dB = EbN0_dB + 10*log10(2*R)"
1,200,285,0.70175438596491224,-1.5,1,-0.40000000000000002,1.0064330005437125,1.0032113439070116,-0.40128453756280469,-1,-1.4012845375628047,1,0.99360811843387764,-0.027848686805478362,"SNR_dB = EbN0_dB + 10*log10(2*R)"
2,200,285,0.70175438596491224,-1.5,0,0,1.0064330005437125,1.0032113439070116,0,1,1,0,0.99360811843387764,-0.027848686805478362,"SNR_dB = EbN0_dB + 10*log10(2*R)"
3,200,285,0.70175438596491224,-1.5,1,0.34999999999999998,1.0064330005437125,1.0032113439070116,0.35112397036745402,-1,-0.64887602963254598,1,0.99360811843387764,-0.027848686805478362,"SNR_dB = EbN0_dB + 10*log10(2*R)"
4,200,285,0.70175438596491224,-1.5,0,1.75,1.0064330005437125,1.0032113439070116,1.7556198518372703,1,2.7556198518372703,0,0.99360811843387764,-0.027848686805478362,"SNR_dB = EbN0_dB + 10*log10(2*R)"
5,200,248,0.80645161290322576,0,1,-2.25,0.62,0.78740078740118113,-1.7716517716526576,-1,-2.7716517716526576,1,1.6129032258064517,2.0760831050174611,"SNR_dB = EbN0_dB + 10*log10(2*R)"
6,200,248,0.80645161290322576,0,0,-0.40000000000000002,0.62,0.78740078740118113,-0.3149603149604725,1,0.6850396850395275,0,1.6129032258064517,2.0760831050174611,"SNR_dB = EbN0_dB + 10*log10(2*R)"
7,200,248,0.80645161290322576,0,1,0,0.62,0.78740078740118113,0,-1,-1,1,1.6129032258064517,2.0760831050174611,"SNR_dB = EbN0_dB + 10*log10(2*R)"
8,200,248,0.80645161290322576,0,0,0.34999999999999998,0.62,0.78740078740118113,0.27559027559041338,1,1.2755902755904134,0,1.6129032258064517,2.0760831050174611,"SNR_dB = EbN0_dB + 10*log10(2*R)"
9,200,248,0.80645161290322576,0,1,1.75,0.62,0.78740078740118113,1.3779513779520669,-1,0.3779513779520669,0,1.6129032258064517,2.0760831050174611,"SNR_dB = EbN0_dB + 10*log10(2*R)"
10,300,420,0.7142857142857143,3.25,0,-2.25,0.33120588127303635,0.57550489248401382,-1.2948860080890312,1,-0.2948860080890312,1,3.0192700569094955,4.7990195998574317,"SNR_dB = EbN0_dB + 10*log10(2*R)"
11,300,420,0.7142857142857143,3.25,1,-0.40000000000000002,0.33120588127303635,0.57550489248401382,-0.23020195699360554,-1,-1.2302019569936056,1,3.0192700569094955,4.7990195998574317,"SNR_dB = EbN0_dB + 10*log10(2*R)"
12,300,420,0.7142857142857143,3.25,0,0,0.33120588127303635,0.57550489248401382,0,1,1,0,3.0192700569094955,4.7990195998574317,"SNR_dB = EbN0_dB + 10*log10(2*R)"
13,300,420,0.7142857142857143,3.25,1,0.34999999999999998,0.33120588127303635,0.57550489248401382,0.20142671236940482,-1,-0.79857328763059521,1,3.0192700569094955,4.7990195998574317,"SNR_dB = EbN0_dB + 10*log10(2*R)"
14,300,420,0.7142857142857143,3.25,0,1.75,0.33120588127303635,0.57550489248401382,1.0071335618470241,1,2.0071335618470241,0,3.0192700569094955,4.7990195998574317,"SNR_dB = EbN0_dB + 10*log10(2*R)"
15,300,390,0.76923076923076927,7,1,-2.25,0.12969205047297719,0.3601278251856932,-0.81028760666780975,-1,-1.8102876066678097,1,7.7105728250349577,8.8708664335714449,"SNR_dB = EbN0_dB + 10*log10(2*R)"
16,300,390,0.76923076923076927,7,0,-0.40000000000000002,0.12969205047297719,0.3601278251856932,-0.14405113007427728,1,0.85594886992572272,0,7.7105728250349577,8.8708664335714449,"SNR_dB = EbN0_dB + 10*log10(2*R)"
17,300,390,0.76923076923076927,7,1,0,0.12969205047297719,0.3601278251856932,0,-1,-1,1,7.7105728250349577,8.8708664335714449,"SNR_dB = EbN0_dB + 10*log10(2*R)"
18,300,390,0.76923076923076927,7,0,0.34999999999999998,0.12969205047297719,0.3601278251856932,0.12604473881499262,1,1.1260447388149926,0,7.7105728250349577,8.8708664335714449,"SNR_dB = EbN0_dB + 10*log10(2*R)"
19,300,390,0.76923076923076927,7,1,1.75,0.12969205047297719,0.3601278251856932,0.63022369407496304,-1,-0.36977630592503696,1,7.7105728250349577,8.8708664335714449,"SNR_dB = EbN0_dB + 10*log10(2*R)"
