rowId,maxAbsError,continuousTolerance,discreteMismatch,passed
0,3.9968028886505635e-15,1.0e-12,0,true
1,4.6629367034256575e-15,1.0e-12,0,true
2,2.4424906541753444e-15,1.0e-12,0,true
3,2.4424906541753444e-15,1.0e-12,0,true
4,2.4424906541753444e-15,1.0e-12,0,true
5,2.4424906541753444e-15,1.0e-12,0,true
6,1.7763568394002505e-15,1.0e-12,0,true
7,1.7763568394002505e-15,1.0e-12,0,true
8,3.3306690738754696e-15,1.0e-12,0,true
9,3.1086244689504383e-15,1.0e-12,0,true
10,4.4408920985006262e-15,1.0e-12,0,true
11,4.4408920985006262e-15,1.0e-12,0,true
12,4.4408920985006262e-15,1.0e-12,0,true
13,4.4408920985006262e-15,1.0e-12,0,true
14,4.4408920985006262e-15,1.0e-12,0,true
15,5.3290705182007514e-15,1.0e-12,0,true
16,5.3290705182007514e-15,1.0e-12,0,true
17,5.3290705182007514e-15,1.0e-12,0,true
18,5.3290705182007514e-15,1.0e-12,0,true
19,5.3290705182007514e-15,1.0e-12,0,true
