runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,timingBatchCount,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason
formal_full_wsd_20260730,CONTROL_D,W160-S16-D70,R12,FULL_GRID,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,160,16,70,1000,63050,993,0.21016666666666667,0.99299999999999999,0.20871245103435429,0.21162830475603459,0.98562168453423338,0.99660513159900921,0.21771341463414634,0.20106617647058825,3884,342,0,170,153.13333333333333,260,290,611,44,152,11,11,11,222846000,1006000,2133.6119000000012,2652.5,2108.5,4872.1999999999998,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_full_wsd_20260730,CONTROL_D,W160-S16-D84,R12,FULL_GRID,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,160,16,84,1000,62962,993,0.20987333333333333,0.99299999999999999,0.20841986871208887,0.21133422792372328,0.98562168453423338,0.99660513159900921,0.21723170731707317,0.20100000000000001,2486,219,0,198,168.06666666666666,260,290,611,41.200000000000003,124,11,11,11,222846000,1146000,2143.5415000000039,2615.5999999999999,2118.4000000000001,3476.5999999999999,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D84,STAGE13-1200,TARGET_ERRORS_REACHED
formal_full_wsd_20260730,CONTROL_D,W160-S16-D98,R12,FULL_GRID,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,160,16,98,1000,62872,993,0.20957333333333333,0.99299999999999999,0.20812063797063196,0.21103346634799947,0.98562168453423338,0.99660513159900921,0.21671951219512195,0.20095588235294118,1518,150,0,226,183,260,290,611,38.399999999999999,96,11,11,11,222846000,1286000,2143.5899000000009,2628.5999999999999,2122.5999999999999,4835.3999999999996,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D98,STAGE13-1200,TARGET_ERRORS_REACHED
formal_full_wsd_20260730,CONTROL_D,W160-S16-D112,R12,FULL_GRID,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,160,16,112,1000,62843,993,0.20947666666666667,0.99299999999999999,0.2080242194304566,0.21093655403041658,0.98562168453423338,0.99660513159900921,0.21654878048780488,0.20094852941176469,1015,91,0,254,197.93333333333334,260,290,611,35.600000000000001,68,11,11,11,222846000,1426000,2131.1004999999977,2626.5,2106.0999999999999,5313.3999999999996,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D112,STAGE13-1200,TARGET_ERRORS_REACHED
formal_full_wsd_20260730,CONTROL_W,W96-S16-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,96,16,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,170,137.77333333333334,168,170,611,31.428571428571427,32,15,15,15,9094300000,64300000,1866.1316259999951,2138.1999999999998,1934.0999999999999,10207.299999999999,5,18432,18432,1536,19968,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W96-S16-D70,STAGE13-1200,MAX_FRAMES_REACHED
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,128,16,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,170,142.03999999999999,196,226,611,36.666666666666664,88,13,13,13,10527900000,57300000,2154.1998959999746,2476.1999999999998,2228.1999999999998,9033.7000000000007,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W128-S16-D70,STAGE13-1200,MAX_FRAMES_REACHED
formal_full_wsd_20260730,CONTROL_W,W160-S16-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,160,16,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,170,153.13333333333333,260,290,611,44,152,11,11,11,11142300000,50300000,2283.5939159999966,2616.6999999999998,2359.1999999999998,11914.6,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,MAX_FRAMES_REACHED
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,192,16,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,170,171.05333333333334,324,354,611,55,216,9,9,9,10937500000,43300000,2247.9493680000146,2573.3000000000002,2320.4000000000001,9958.6000000000004,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W192-S16-D70,STAGE13-1200,MAX_FRAMES_REACHED
formal_full_wsd_20260730,CONTROL_S,W160-S8-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,160,8,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,154,152.91999999999999,276,306,611,24,168,20,20,20,20409500000,81800000,4157.1357619999626,4711.8999999999996,4276.8999999999996,9258.7999999999993,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W160-S8-D70,STAGE13-1200,MAX_FRAMES_REACHED
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,5.5,5.5,8.5963016742589886,0.49019607843137253,0.14091914656322269,160,16,70,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,0,0,0,170,153.13333333333333,260,290,611,44,152,11,11,11,11142300000,50300000,2283.6816559999934,2618.6999999999998,2356.5,8625.1000000000004,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,MAX_FRAMES_REACHED
