caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation
BCH-S200,PURE,0,14,ON_SEGMENT_BOUNDARY,5000,1000000,55000,5000,0.055,1.0,RAW_COUNTS
BCH-S200,PURE,0,15,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,55000,5000,0.055,1.0,RAW_COUNTS
BCH-S200,PURE,0,15,ON_SEGMENT_BOUNDARY,5000,1000000,55000,5000,0.055,1.0,RAW_COUNTS
BCH-S200,PURE,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,55000,5000,0.055,1.0,RAW_COUNTS
BCH-S200,PURE,0,16,ON_SEGMENT_BOUNDARY,5000,1000000,55000,5000,0.055,1.0,RAW_COUNTS
BCH-S200,PURE,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,80000,5000,0.08,1.0,RAW_COUNTS
BCH-S200,PURE,0,20,ON_SEGMENT_BOUNDARY,5000,1000000,80000,5000,0.08,1.0,RAW_COUNTS
BCH-S200,PURE,0,24,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,100000,5000,0.1,1.0,RAW_COUNTS
BCH-S200,PURE,0,24,ON_SEGMENT_BOUNDARY,5000,1000000,95000,5000,0.095,1.0,RAW_COUNTS
BCH-S200,PURE,0,29,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,105000,5000,0.105,1.0,RAW_COUNTS
BCH-S200,PURE,0,29,ON_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,30,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,30,ON_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,31,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,31,ON_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,32,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,110000,5000,0.11,1.0,RAW_COUNTS
BCH-S200,PURE,0,32,ON_SEGMENT_BOUNDARY,5000,1000000,120000,5000,0.12,1.0,RAW_COUNTS
BCH-S200,PURE,0,48,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,175000,5000,0.175,1.0,RAW_COUNTS
BCH-S200,PURE,0,48,ON_SEGMENT_BOUNDARY,5000,1000000,185000,5000,0.185,1.0,RAW_COUNTS
BCH-S200,PURE,0,64,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,240000,5000,0.24,1.0,RAW_COUNTS
BCH-S200,PURE,0,64,ON_SEGMENT_BOUNDARY,5000,1000000,245000,5000,0.245,1.0,RAW_COUNTS
BCH-B200,PURE,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,1,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,2,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,2,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,3,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,3,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,4,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,4,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,5,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,5,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,6,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,6,ON_SEGMENT_BOUNDARY,5000,1000000,0,0,0.0,0.0,RAW_COUNTS
BCH-B200,PURE,0,7,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,35000,5000,0.035,1.0,RAW_COUNTS
BCH-B200,PURE,0,7,ON_SEGMENT_BOUNDARY,5000,1000000,35000,5000,0.035,1.0,RAW_COUNTS
BCH-B200,PURE,0,8,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,40000,5000,0.04,1.0,RAW_COUNTS
BCH-B200,PURE,0,8,ON_SEGMENT_BOUNDARY,5000,1000000,40000,5000,0.04,1.0,RAW_COUNTS
BCH-B200,PURE,0,10,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,50000,5000,0.05,1.0,RAW_COUNTS
BCH-B200,PURE,0,10,ON_SEGMENT_BOUNDARY,5000,1000000,50000,5000,0.05,1.0,RAW_COUNTS
BCH-B200,PURE,0,12,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,60000,5000,0.06,1.0,RAW_COUNTS
BCH-B200,PURE,0,12,ON_SEGMENT_BOUNDARY,5000,1000000,60000,5000,0.06,1.0,RAW_COUNTS
BCH-B200,PURE,0,14,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,70000,5000,0.07,1.0,RAW_COUNTS
BCH-B200,PURE,0,14,ON_SEGMENT_BOUNDARY,5000,1000000,70000,5000,0.07,1.0,RAW_COUNTS
BCH-B200,PURE,0,15,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,75000,5000,0.075,1.0,RAW_COUNTS
BCH-B200,PURE,0,15,ON_SEGMENT_BOUNDARY,5000,1000000,75000,5000,0.075,1.0,RAW_COUNTS
BCH-B200,PURE,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,80000,5000,0.08,1.0,RAW_COUNTS
BCH-B200,PURE,0,16,ON_SEGMENT_BOUNDARY,5000,1000000,80000,5000,0.08,1.0,RAW_COUNTS
BCH-B200,PURE,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,100000,5000,0.1,1.0,RAW_COUNTS
BCH-B200,PURE,0,20,ON_SEGMENT_BOUNDARY,5000,1000000,100000,5000,0.1,1.0,RAW_COUNTS
BCH-B200,PURE,0,24,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,120000,5000,0.12,1.0,RAW_COUNTS
BCH-B200,PURE,0,24,ON_SEGMENT_BOUNDARY,5000,1000000,120000,5000,0.12,1.0,RAW_COUNTS
BCH-B200,PURE,0,29,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,145000,5000,0.145,1.0,RAW_COUNTS
BCH-B200,PURE,0,29,ON_SEGMENT_BOUNDARY,5000,1000000,145000,5000,0.145,1.0,RAW_COUNTS
BCH-B200,PURE,0,30,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,150000,5000,0.15,1.0,RAW_COUNTS
BCH-B200,PURE,0,30,ON_SEGMENT_BOUNDARY,5000,1000000,150000,5000,0.15,1.0,RAW_COUNTS
BCH-B200,PURE,0,31,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,155000,5000,0.155,1.0,RAW_COUNTS
BCH-B200,PURE,0,31,ON_SEGMENT_BOUNDARY,5000,1000000,155000,5000,0.155,1.0,RAW_COUNTS
BCH-B200,PURE,0,32,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,160000,5000,0.16,1.0,RAW_COUNTS
BCH-B200,PURE,0,32,ON_SEGMENT_BOUNDARY,5000,1000000,160000,5000,0.16,1.0,RAW_COUNTS
BCH-B200,PURE,0,48,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,240000,5000,0.24,1.0,RAW_COUNTS
BCH-B200,PURE,0,48,ON_SEGMENT_BOUNDARY,5000,1000000,240000,5000,0.24,1.0,RAW_COUNTS
BCH-B200,PURE,0,64,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,320000,5000,0.32,1.0,RAW_COUNTS
BCH-B200,PURE,0,64,ON_SEGMENT_BOUNDARY,5000,1000000,320000,5000,0.32,1.0,RAW_COUNTS
BCH-S300,PURE,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-S300,PURE,0,1,ON_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-S300,PURE,0,2,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,0,0,0.0,0.0,RAW_COUNTS
BCH-S300,PURE,0,2,ON_SEGMENT_BOUNDARY,5000,1500000,10000,5000,0.006666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,3,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,10000,5000,0.006666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,3,ON_SEGMENT_BOUNDARY,5000,1500000,20000,5000,0.013333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,4,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,20000,5000,0.013333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,4,ON_SEGMENT_BOUNDARY,5000,1500000,25000,5000,0.016666666666666666,1.0,RAW_COUNTS
BCH-S300,PURE,0,5,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,25000,5000,0.016666666666666666,1.0,RAW_COUNTS
BCH-S300,PURE,0,5,ON_SEGMENT_BOUNDARY,5000,1500000,25000,5000,0.016666666666666666,1.0,RAW_COUNTS
BCH-S300,PURE,0,6,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,25000,5000,0.016666666666666666,1.0,RAW_COUNTS
BCH-S300,PURE,0,6,ON_SEGMENT_BOUNDARY,5000,1500000,30000,5000,0.02,1.0,RAW_COUNTS
BCH-S300,PURE,0,7,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,30000,5000,0.02,1.0,RAW_COUNTS
BCH-S300,PURE,0,7,ON_SEGMENT_BOUNDARY,5000,1500000,30000,5000,0.02,1.0,RAW_COUNTS
BCH-S300,PURE,0,8,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,30000,5000,0.02,1.0,RAW_COUNTS
BCH-S300,PURE,0,8,ON_SEGMENT_BOUNDARY,5000,1500000,45000,5000,0.03,1.0,RAW_COUNTS
BCH-S300,PURE,0,10,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,40000,5000,0.02666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,10,ON_SEGMENT_BOUNDARY,5000,1500000,45000,5000,0.03,1.0,RAW_COUNTS
BCH-S300,PURE,0,12,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,50000,5000,0.03333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,12,ON_SEGMENT_BOUNDARY,5000,1500000,50000,5000,0.03333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,14,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,50000,5000,0.03333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,14,ON_SEGMENT_BOUNDARY,5000,1500000,55000,5000,0.03666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,15,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,55000,5000,0.03666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,15,ON_SEGMENT_BOUNDARY,5000,1500000,55000,5000,0.03666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,55000,5000,0.03666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,16,ON_SEGMENT_BOUNDARY,5000,1500000,55000,5000,0.03666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,80000,5000,0.05333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,20,ON_SEGMENT_BOUNDARY,5000,1500000,80000,5000,0.05333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,24,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,100000,5000,0.06666666666666667,1.0,RAW_COUNTS
BCH-S300,PURE,0,24,ON_SEGMENT_BOUNDARY,5000,1500000,95000,5000,0.06333333333333334,1.0,RAW_COUNTS
BCH-S300,PURE,0,29,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,105000,5000,0.07,1.0,RAW_COUNTS
BCH-S300,PURE,0,29,ON_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,30,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,30,ON_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,31,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
BCH-S300,PURE,0,31,ON_SEGMENT_BOUNDARY,5000,1500000,110000,5000,0.07333333333333333,1.0,RAW_COUNTS
