caseName,processedFrames,miscorrectedFrames,miscorrectionRate
BCH-S200,1890000,1664120,0.8804867724867725
BCH-B200,1890000,570,0.0003015873015873016
BCH-S300,1890000,1679146,0.888437037037037
BCH-B300,1890000,0,0.0
BCH-B300-426,1890000,0,0.0
