schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,ON_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,500,100000,1000,500,0.0070175438596491229,1000,500,0.01,1,0,0,500,1,500,1,0,0,14.625200000000003,11.4,24.100000000000001,31.934999999999967,217.5,16.314399999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,0ae731e473d9a81955a184aa8b714071d8bd152ee9c875f8d1b0c800d8580387,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,500,100000,1000,500,0.0070175438596491229,1035,455,0.01035,0.91000000000000003,45,0.089999999999999997,500,1,455,0.91000000000000003,0,0,14.285199999999996,11.5,19.809999999999992,29.06699999999994,186.90000000000001,15.911599999999996,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b6b96f2ada6ecac975bb55e4dec86141e0786ee7cf1e77442ab52d72540f04d5,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,FRAME_START,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,3000,500,0.029999999999999999,1,0,0,500,1,500,1,0,0,13.060199999999998,11.199999999999999,19.800000000000001,25.403999999999993,28.199999999999999,14.557399999999987,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,e1eafd54ac3218e3a33fb5aca18f142d19a87b26e63596008c69e33cb860f778,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,FRAME_END,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,0,0,0,0,500,1,500,1,0,0,0,0,12.806200000000002,11.1,19.204999999999995,21.704999999999995,34.200000000000003,14.270199999999992,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,73629c8cdf2a69f61b9760e549aa5d938f2f61d02da053233d7ee3977d12a4b3,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,SEGMENT_INTERIOR,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,2500,500,0.025000000000000001,1,0,0,500,1,500,1,0,0,11.589199999999991,11.1,13.754999999999949,23.001999999999999,43.799999999999997,12.761199999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,91dbe16545169c0e3ea570a716b0ec5a5d015970c7b78d0aef46a6fed5855cac,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,ONE_BEFORE_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,2500,500,0.025000000000000001,1,0,0,500,1,500,1,0,0,12.636399999999995,11.300000000000001,19.404999999999994,27.041999999999963,103.40000000000001,14.220200000000011,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,a54c2043abe87e119c2a10e7275b8c8c35e9540d618cccf95aa34eac4c9a8bfb,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,ON_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,3000,500,0.029999999999999999,1,0,0,500,1,500,1,0,0,11.809800000000008,11.1,17.304999999999996,19.402999999999995,27.899999999999999,13.002600000000008,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b4da41d3e2cd967f34d5974c598b6268a2e580f2fe33848bff39b883e486f1a6,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,500,100000,3000,500,0.021052631578947368,2430,489,0.024299999999999999,0.97799999999999998,11,0.021999999999999999,500,1,489,0.97799999999999998,0,0,11.499199999999991,10.9,14.300000000000001,20.600000000000001,61.100000000000001,12.958799999999998,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,53a0ebe3299e712111afd7f3303facb2be7bc2b9adde13b52c06a12dcc1cfad4,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,10,FRAME_START,POST_HARD_DECISION_BIT_FLIP,0,500,100000,5000,500,0.035087719298245612,4500,500,0.044999999999999998,1,0,0,500,1,500,1,0,0,11.916200000000007,11.1,17.304999999999996,26.202999999999996,39.299999999999997,13.263999999999992,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,46a141fb8234b958d2da363fc9c1bbf904801d31e7471ad50314d2f7fcf33c98,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,10,FRAME_END,POST_HARD_DECISION_BIT_FLIP,0,500,100000,5000,500,0.035087719298245612,0,0,0,0,500,1,500,1,0,0,0,0,11.835599999999992,10.9,17,22.009999999999991,74.099999999999994,13.237199999999996,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,663779248fb5c5217a4891c0962dc267829c682224ba6f6f441bc314f79fb08b,WORKTREE
