schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgPreprocessingTimeUs,medianPreprocessingTimeUs,p95PreprocessingTimeUs,p99PreprocessingTimeUs,maxPreprocessingTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,timingAuditClass,timingProfile,ebn0Db,ebn0Linear,noiseSigma,noiseVariance,globalSeed,snrIndex,frameStart,requestedFrameCount,logicalFrameCount,noErrorStatusFrames,correctedStatusFrames,failedStatusFrames,avgEncodeTimeUs,firstNoiseHash,lastNoiseHash
bch.group4.result.v1,S2_SCIENTIFIC_CORRECTION_TIMING,,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,,,1,,,,,,,,,,,,,5000,1500000,23242,4953,,338,38,0.00022533333333333333,0.0076,4962,0.99239999999999995,4962,0.99239999999999995,0,0,38,0.0076,90.018600000000077,76.599999999999994,147.59999999999999,328.19400000000422,8666.8999999999996,0,0,0,0,0,90.018600000000077,76.599999999999994,147.59999999999999,328.19400000000422,8666.8999999999996,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,22fe81fc98a3a5f67e4a6a092ab35eea01f22b0fcd7ad1e4a3d9ed928edec03f,,AWGN_TIMING_ONLY_NO_BER_FER_REPLACEMENT,AWGN（计时专用复测）,5.2000000000000002,3.3113112148259112,0.44305401682653889,0.19629686182613101,2026072601,0,0,5000,5000,47,4915,38,14.754119999999952,ca72c11a696fb85dc2353df3fc1144a6d66dd8958bd7e48fa4543b70be801145,5995b965305b2bdc8fa550e97288cf42f2866874b4e620bf6fff738afb035320
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,5.2000000000000002,4.0605664769316325,2,0,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,31127,4993,0.015962564102564102,2036,246,0.0013573333333333334,0.049200000000000001,4754,0.95079999999999998,4754,0.95079999999999998,0,0,246,0.049200000000000001,75.826660000000032,70.950000000000003,105.90500000000003,164.1050000000001,606.70000000000005,65.123879999999815,60.5,74.199999999999989,130.80300000000008,1387.3,140.95053999999988,133.19999999999999,180.59999999999999,282.91600000000034,1490.2,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,6b15ba3f848a5f0e2ddeade8f895ce28a972f0279f51a147342fb622a9e2f1fe,WORKTREE,CFO_TIMING_ONLY_NO_BER_FER_REPLACEMENT,CFO 30°,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,5.2000000000000002,4.0605664769316325,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,77055,5000,0.039515384615384612,34358,4521,0.022905333333333333,0.9042,479,0.095799999999999996,478,0.095600000000000004,0,0,4522,0.90439999999999998,102.45232000000013,88.200000000000003,130.71000000000004,228.10600000000011,20498.099999999999,68.805919999999944,62.400000000000006,84.300000000000011,154.30400000000009,1329.8999999999999,171.25823999999992,150.80000000000001,223.25000000000017,362.21700000000033,20571.599999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,856d3f37a4d5573df79ba521ab01dcdbd2b08c484e4caf46ee05400194332361,WORKTREE,CFO_TIMING_ONLY_NO_BER_FER_REPLACEMENT,CFO 60°,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,SHORT_BLOCKAGE,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,5.2000000000000002,4.0605664769316325,2,0,0,NONE,-12,0,16,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,45291,5000,0.023226153846153848,13536,1422,0.0090240000000000008,0.28439999999999999,3578,0.71560000000000001,3577,0.71540000000000004,0,0,1423,0.28460000000000002,87.684140000000227,84.200000000000003,120,188.00900000000019,514.39999999999998,32.637980000000056,29.899999999999984,37.699999999999989,78.315000000000339,788.70000000000005,120.32212000000011,114.40000000000001,162.69999999999999,274.4130000000003,968.70000000000005,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b4fd1f4d5f84be0caa1e37a3d05c5fa5b07844c5fa59d0235f25fa02c1c7b08d,WORKTREE,BLOCKAGE_TIMING_ONLY_NO_BER_FER_REPLACEMENT,中度遮挡（-12 dB，16符号）,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,SHORT_BLOCKAGE,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,5.2000000000000002,4.0605664769316325,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,86919,5000,0.044573846153846151,66980,4881,0.044653333333333337,0.97619999999999996,119,0.023800000000000002,104,0.020799999999999999,0,0,4896,0.97919999999999996,93.964040000000054,86.799999999999997,119.09999999999999,193.44100000000091,1238.4000000000001,32.153980000000054,29.600000000000009,36.600000000000009,70.003000000000085,855.50000000000011,126.11802000000006,116.7,158.80500000000004,261.32700000000062,1273.5999999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,6dcb48f214e68c8b6885fa96a00a2a477d33c526c596eb3ab518668ca2ca700a,WORKTREE,BLOCKAGE_TIMING_ONLY_NO_BER_FER_REPLACEMENT,重度遮挡（-20 dB，32符号）,,,,,,,,,,,,,,,
bch.group4.result.v1,S2_SCIENTIFIC_CORRECTION_TIMING,,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,,,1,,,,,,,,,,,,,5000,1500000,37232,4998,,441,39,0.00029399999999999999,0.0077999999999999996,4961,0.99219999999999997,4961,0.99219999999999997,0,0,39,0.0077999999999999996,114.74284000000004,104.59999999999999,168.5,316.45800000000128,1969.3,0,0,0,0,0,114.74284000000004,104.59999999999999,168.5,316.45800000000128,1969.3,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ada7ad6f3ac0cb4c488bc867e695f010c8a41b09648f805be283ba37eebf3205,,AWGN_TIMING_ONLY_NO_BER_FER_REPLACEMENT,AWGN（计时专用复测）,5,3.1622776601683795,0.47383722297003528,0.22452171387195494,2026072601,0,0,5000,5000,2,4959,39,14.387039999999974,a0c7362242cc33e461c936de5537d8e02cf88e2cc8daf23018cf8947ca5254f2,a1eb03caea0a76190ddadb85c9b50272390dafdd35dee84db1b32839227e8a3d
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,5,3.4771165561694346,2,0,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,47393,5000,0.022250234741784038,2835,284,0.00189,0.056800000000000003,4716,0.94320000000000004,4716,0.94320000000000004,0,0,284,0.056800000000000003,110.34244000000012,107.90000000000001,148.61000000000001,198.00200000000004,691.29999999999995,69.83423999999988,65.699999999999989,79.699999999999989,130.01500000000033,468.5,180.17667999999978,175,230.21000000000001,308.10900000000021,768,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,7a1c91e01fe3d3f7e6e6ffe508af1b147f23e8278d657fe75c26e111ea34d210,WORKTREE,CFO_TIMING_ONLY_NO_BER_FER_REPLACEMENT,CFO 30°,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,5,3.4771165561694346,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,103760,5000,0.048713615023474176,41502,4657,0.027668000000000002,0.93140000000000001,343,0.068599999999999994,343,0.068599999999999994,0,0,4657,0.93140000000000001,132.45551999999984,123.5,165.20499999999998,244.80300000000008,983,72.175140000000141,67.5,83.5,131.30100000000002,571.60000000000002,204.63065999999986,191.69999999999999,253.80000000000001,358.1230000000005,1051.9000000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,0b21c0da99c738cde630b5a12d3f0486f419e69c9937b614f107d7abc7d2fa2c,WORKTREE,CFO_TIMING_ONLY_NO_BER_FER_REPLACEMENT,CFO 60°,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,SHORT_BLOCKAGE,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,5,3.4771165561694346,2,0,0,NONE,-12,0,16,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,59496,5000,0.027932394366197183,11556,992,0.0077039999999999999,0.19839999999999999,4008,0.80159999999999998,4007,0.8014,0,0,993,0.1986,124.53028000000016,118.3,168.00500000000002,260.6040000000001,5348.1999999999998,35.157419999999966,32.200000000000003,40.099999999999994,70.717000000000368,876.79999999999995,159.68770000000063,151.09999999999999,210,324.60100000000006,5388.8999999999996,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,e5a155ace8ca7224bc1233c9ac744adebfa21a14d360d4cce35b477475a79c0d,WORKTREE,BLOCKAGE_TIMING_ONLY_NO_BER_FER_REPLACEMENT,中度遮挡（-12 dB，16符号）,,,,,,,,,,,,,,,
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,SHORT_BLOCKAGE,BCH-B300-426,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,426,0.70422535211267601,5,3.4771165561694346,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1500000,100842,5000,0.047343661971830986,68151,4659,0.045434000000000002,0.93179999999999996,341,0.068199999999999997,337,0.067400000000000002,0,0,4663,0.93259999999999998,129.84959999999984,122,163,232.63000000000065,883.5,34.565900000000099,32.199999999999989,39.099999999999994,60.407000000000153,2292.4000000000001,164.41549999999967,154.5,202.90500000000003,285.42800000000062,2782.4000000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,238de54f45bb5a42db0bd094b2e49c2dcca4569a2fc8e54cea2ee80a42e93d57,WORKTREE,BLOCKAGE_TIMING_ONLY_NO_BER_FER_REPLACEMENT,重度遮挡（-20 dB，32符号）,,,,,,,,,,,,,,,
