schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,seriesKey,plotted
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,14,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,70000,5000,0.056451612903225805,57771,4255,0.057771000000000003,0.85099999999999998,745,0.14899999999999999,0,0,0,0,5000,1,41.906280000000145,37.899999999999999,61.899999999999999,153.70400000000009,896.89999999999998,43.839899999999822,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,fa2fe36b269f1f97234b7cbc6b73bde03ad86c2aeea55ba3dc597bbca2672ade,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,15,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,75000,5000,0.060483870967741937,62580,4303,0.062579999999999997,0.86060000000000003,697,0.1394,0,0,0,0,5000,1,50.958159999999864,40.5,78.700000000000003,245.21300000000028,6283.1000000000004,53.163239999999966,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,7afc62c46ae36a7f5b84e67c3a3d71869da958073e0ced05e9d316bc79fc8250,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,16,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,80000,5000,0.064516129032258063,65955,4305,0.065955,0.86099999999999999,695,0.13900000000000001,0,0,0,0,5000,1,40.358539999999977,38.700000000000003,52.205000000000027,100.21900000000042,808,42.335280000000019,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ee79c58c11af745537498d41b28c0879b7d178f9fec1e3c5e6b2ad87b102cf1d,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,5000,5000,0.0025641025641025641,0,0,0,0,5000,1,5000,1,0,0,0,0,52.010719999999843,47.899999999999999,67.799999999999997,109.90300000000006,468.60000000000002,53.705379999999955,49.299999999999997,70.310000000000031,113.0180000000004,560.10000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ae055dadb182ea3bfc724a0321c3ebee7993cdd2697e10222eeefc61fbf74570,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0051282051282051282,0,0,0,0,5000,1,5000,1,0,0,0,0,58.753659999999954,52.200000000000003,77.200000000000003,142.60900000000018,844.60000000000002,60.691100000000091,53.799999999999997,80.105000000000004,146.81500000000034,847.60000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ac329d585d4a6c320fb284938b66ff419b9422e73458689d34b80c8d4933bb4f,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,3,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,15000,5000,0.0076923076923076927,0,0,0,0,5000,1,5000,1,0,0,0,0,61.099759999999883,54.299999999999997,77.200000000000003,147.82500000000056,2338,62.830860000000023,55.799999999999997,80,155.40400000000011,2340.5999999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,7fecd86a01120e33bbbc0e4a6c483734472a0175bd2bf0b5696e9c3363d0fa60,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,4,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,20000,5000,0.010256410256410256,0,0,0,0,5000,1,5000,1,0,0,0,0,64.699939999999955,58.799999999999997,80.599999999999994,135.00300000000007,2642.5999999999999,66.422779999999875,60.25,83.200000000000003,138.00100000000003,2646.4000000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,f3fe805ba4bf4b3e6045b1821917f02265e2b29584e75065e0f2d84da1342c99,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,5,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,25000,5000,0.01282051282051282,0,0,0,0,5000,1,5000,1,0,0,0,0,74.280419999999978,64.25,95,171.73000000000064,9854.6000000000004,76.203139999999763,65.799999999999997,97.700000000000003,177.15000000000109,9856.2000000000007,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,5dd165c290f4d98145057964046fbd23065a2f71a133e3534b5af177bfa111ee,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,30000,5000,0.015384615384615385,0,0,0,0,5000,1,5000,1,0,0,0,0,71.880339999999791,65,90.910000000000053,156.01100000000025,994.29999999999995,73.573319999999484,66.5,93.700000000000003,160.80600000000013,995.89999999999998,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,1882efb81184ff74abd59b0cdc863f915bfd163ae5818f36f40130e45a9d7c46,WORKTREE,BCH-B300,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B300,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,300,390,0.76923076923076927,0,-1.1394335230683674,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,7,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,35000,5000,0.017948717948717947,0,0,0,0,5000,1,5000,1,0,0,0,0,81.312440000000194,70.200000000000003,103.2,187.00700000000015,14469.1,83.365819999999914,71.700000000000003,105.8,192.30300000000008,14472.799999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ef2df9c709af4d70d900c7b3694cf897a87f57db6f8402fccc553b3d18fd7568,WORKTREE,BCH-B300,true
