schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,FRAME_END,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,0,0,0,0,5000,1,5000,1,0,0,0,0,14.933139999999977,12.6,22,32.502000000000045,293.5,16.419900000000013,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,29b512912a2a5c6d375dfbd49777f2e605fddf5689333d86e80a12adf9ecd17d,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,FRAME_START,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,10000,5000,0.01,1,0,0,5000,1,5000,1,0,0,23.321160000000024,18,37.110000000000042,130.91000000000022,3754.3000000000002,25.406100000000144,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,19da17f52ad00021247040f383dfd7a11c8b320c6266d59bad14cdd0d19ef999,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,ONE_BEFORE_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,0,0,0,0,5000,1,5000,1,0,0,0,0,15.143299999999986,12.4,23.199999999999999,33.209000000000195,244.69999999999999,16.727300000000021,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,98ecdc6d90197a1bccca4f3f102c44eeeb1d6480f4c958917e644eae829217ce,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,ON_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,10000,5000,0.01,1,0,0,5000,1,5000,1,0,0,19.999699999999955,18,29.199999999999999,75.002000000000038,453.19999999999999,22.121600000000061,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,5a013c7db9a78cb75de7b376172a443576a523e5bf78dc38ffa464fce268c386,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,SEGMENT_INTERIOR,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,15000,5000,0.014999999999999999,1,0,0,5000,1,5000,1,0,0,16.597059999999971,16.899999999999999,23,34.405000000000108,321.60000000000002,18.206019999999981,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ed18f564b2f5130ff6e19020f230e3c58a9041df23ae1fa00d264d687d434941,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,0,-1.5381486434452905,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0070175438596491229,10222,4529,0.010222,0.90580000000000005,471,0.094200000000000006,5000,1,4529,0.90580000000000005,0,0,23.643399999999929,19.399999999999999,43.005000000000017,113.41000000000022,1286.9000000000001,26.402779999999957,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,3a4f47031fb67382450ef4ad871db68f4b2d107918a28ee38f2141d1160f3a37,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S300,SEGMENTED,SYNDROME_LOOKUP,300,420,0.7142857142857143,0,-1.46128035678238,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,FRAME_END,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0047619047619047623,0,0,0,0,5000,1,5000,1,0,0,0,0,22.265860000000028,20.850000000000001,32,57.801000000000023,459.89999999999998,24.237199999999977,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,a388dd418a8669ac658820279f3649dc7f0c69cd0b8f09791878a7a89831fe5a,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S300,SEGMENTED,SYNDROME_LOOKUP,300,420,0.7142857142857143,0,-1.46128035678238,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,FRAME_START,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0047619047619047623,10000,5000,0.0066666666666666671,1,0,0,5000,1,5000,1,0,0,20.844400000000022,17.100000000000001,31.899999999999999,40.501000000000019,304.69999999999999,22.65839999999999,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,3b6835f03ef395730aae36ef107d257178f7cb584ce1146e0f2cc1bf5530686e,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S300,SEGMENTED,SYNDROME_LOOKUP,300,420,0.7142857142857143,0,-1.46128035678238,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,ONE_BEFORE_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0047619047619047623,0,0,0,0,5000,1,5000,1,0,0,0,0,37.038899999999963,28.100000000000001,70.5,230.01000000000022,1983.5,40.014439999999993,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b42df49c6ad1fafd27bb67eecc95d0c81e9ff7ff40ff88bc02082613019ce150,WORKTREE
bch.s2.impairment.result.v1,S2_07,BURST,BCH-S300,SEGMENTED,SYNDROME_LOOKUP,300,420,0.7142857142857143,0,-1.46128035678238,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,ON_SEGMENT_BOUNDARY,POST_HARD_DECISION_BIT_FLIP,0,5000,1500000,10000,5000,0.0047619047619047623,10000,5000,0.0066666666666666671,1,0,0,5000,1,5000,1,0,0,23.81630000000002,23.100000000000001,33.105000000000018,64.116000000000341,920.70000000000005,26.087879999999991,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,781ef50002877b80aa5b19891d930a83b4aa4fab8bb17676e03f0d49baf7ee13,WORKTREE
