figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer
l8_s16_org_k200_ber_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,35,17.5,19.03814864344529,0.70175438596491224,0,0,0,10000000,0,50000,0,0
l8_s16_org_k200_ber_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,36,18,19.53814864344529,0.70175438596491224,0,0,0,10000000,0,50000,0,0
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,0,0,1.5381486434452905,0.70175438596491224,0.10009999999999999,1,20020,200000,1000,1000,0.10009999999999999,1
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,1,0.5,2.0381486434452905,0.70175438596491224,0.084820000000000007,1,16964,200000,1000,1000,0.084820000000000007,1
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,2,1,2.5381486434452905,0.70175438596491224,0.071249999999999994,0.998,14250,200000,998,1000,0.071249999999999994,0.998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,3,1.5,3.0381486434452905,0.70175438596491224,0.060495,1,12099,200000,1000,1000,0.060495,1
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,4,2,3.5381486434452905,0.70175438596491224,0.051075000000000002,0.999,10215,200000,999,1000,0.051075000000000002,0.999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,5,2.5,4.0381486434452905,0.70175438596491224,0.044330000000000001,0.996,8866,200000,996,1000,0.044330000000000001,0.996
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,6,3,4.5381486434452905,0.70175438596491224,0.039704999999999997,0.995,7941,200000,995,1000,0.039704999999999997,0.995
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,7,3.5,5.0381486434452905,0.70175438596491224,0.036065,0.98899999999999999,7213,200000,989,1000,0.036065,0.98899999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,8,4,5.5381486434452905,0.70175438596491224,0.034070000000000003,0.99099999999999999,6814,200000,991,1000,0.034070000000000003,0.99099999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,9,4.5,6.0381486434452905,0.70175438596491224,0.031934999999999998,0.98399999999999999,6387,200000,984,1000,0.031934999999999998,0.98399999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,10,5,6.5381486434452905,0.70175438596491224,0.031815000000000003,0.99299999999999999,6363,200000,993,1000,0.031815000000000003,0.99299999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,11,5.5,7.0381486434452905,0.70175438596491224,0.031260000000000003,0.98899999999999999,6252,200000,989,1000,0.031260000000000003,0.98899999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,12,6,7.5381486434452905,0.70175438596491224,0.031315000000000003,0.98699999999999999,6263,200000,987,1000,0.031315000000000003,0.98699999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,13,6.5,8.0381486434452896,0.70175438596491224,0.031054999999999999,0.98699999999999999,6211,200000,987,1000,0.031054999999999999,0.98699999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,14,7,8.5381486434452896,0.70175438596491224,0.030679999999999999,0.98499999999999999,6136,200000,985,1000,0.030679999999999999,0.98499999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,15,7.5,9.0381486434452896,0.70175438596491224,0.030700000000000002,0.98299999999999998,6140,200000,983,1000,0.030700000000000002,0.98299999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,16,8,9.5381486434452896,0.70175438596491224,0.030974999999999999,0.98999999999999999,6195,200000,990,1000,0.030974999999999999,0.98999999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,17,8.5,10.03814864344529,0.70175438596491224,0.030365,0.98299999999999998,6073,200000,983,1000,0.030365,0.98299999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,18,9,10.53814864344529,0.70175438596491224,0.030679999999999999,0.98799999999999999,6136,200000,988,1000,0.030679999999999999,0.98799999999999999
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,19,9.5,11.03814864344529,0.70175438596491224,0.030525,0.98199999999999998,6105,200000,982,1000,0.030525,0.98199999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,20,10,11.53814864344529,0.70175438596491224,0.031224999999999999,0.97999999999999998,6245,200000,980,1000,0.031224999999999999,0.97999999999999998
l8_s16_org_k200_ber_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,21,10.5,12.03814864344529,0.70175438596491224,0.030904999999999998,0.98099999999999998,6181,200000,981,1000,0.030904999999999998,0.98099999999999998
