scheme,rank,method,parameter,fairnessGroupId,spanBits,bufferBits,meanFer,worstPositionFer,worstPosition,bufferFraction,deinterleaveTimeMeanNs,decodeTimeMeanNs,score,paretoOptimal
BCH,1,ROW_COLUMN,15,FULL_FRAME_285,285,285,0.9708333333333333,1.0,TAIL,1.0,236.66666666666666,7217.083333333333,0.15,True
BCH,2,BCH_CODEBLOCK,16,LOCAL_SPAN_240,240,240,0.9812500000000001,1.0,TAIL,0.8421052631578947,274.375,7698.75,0.38090132739255644,True
BCH,3,BCH_CODEBLOCK,19,LOCAL_SPAN_285,285,285,0.9854166666666667,1.0,MIDDLE,1.0,249.16666666666666,7733.333333333333,0.3870370370370378,False
BCH,4,ROW_COLUMN,19,FULL_FRAME_285,285,285,0.9854166666666667,1.0,MIDDLE,1.0,267.7083333333333,7762.5,0.441975308641976,False
BCH,5,BCH_CODEBLOCK,4,LOCAL_SPAN_60,60,60,1.0,1.0,HEAD,0.21052631578947367,243.125,6692.291666666667,0.4507147498375569,True
BCH,6,BCH_CODEBLOCK,8,LOCAL_SPAN_120,120,120,1.0,1.0,HEAD,0.42105263157894735,242.91666666666666,6943.75,0.4816764132553606,True
BCH,7,NONE,0,IDENTITY,1,0,1.0,1.0,HEAD,0.0,287.2916666666667,6584.166666666667,0.55,True
BCH,8,ROW_COLUMN,8,FULL_FRAME_285,285,285,1.0,1.0,HEAD,1.0,242.08333333333334,8486.666666666666,0.5660493827160494,False
BCH,9,ROW_COLUMN,4,FULL_FRAME_285,285,285,1.0,1.0,HEAD,1.0,244.16666666666666,6819.375,0.5722222222222223,False
BCH,10,GLOBAL_PSEUDORANDOM,285,FULL_FRAME_285,285,285,1.0,1.0,HEAD,1.0,276.6666666666667,6827.083333333333,0.6685185185185185,False
CC,1,NONE,0,IDENTITY,2,0,1.0,1.0,HEAD,0.0,298.125,281890.8333333333,0.0,True
CC,2,SHORT_DEPTH_BLOCK,4,TRELLIS_SPAN_32,64,64,1.0,1.0,HEAD,0.10457516339869281,312.7083333333333,280977.2916666667,0.05544871794871792,False
CC,3,PSEUDORANDOM,32,TRELLIS_SPAN_32,64,64,1.0,1.0,HEAD,0.10457516339869281,323.125,270498.125,0.06826923076923076,False
CC,4,SHORT_DEPTH_BLOCK,8,TRELLIS_SPAN_64,128,128,1.0,1.0,HEAD,0.20915032679738563,308.3333333333333,270436.4583333333,0.08756410256410253,False
CC,5,PSEUDORANDOM,64,TRELLIS_SPAN_64,128,128,1.0,1.0,HEAD,0.20915032679738563,322.0833333333333,272990.8333333333,0.10448717948717946,False
CC,6,PSEUDORANDOM,128,TRELLIS_SPAN_128,256,256,1.0,1.0,HEAD,0.41830065359477125,321.4583333333333,264841.6666666667,0.1787179487179487,False
CC,7,SHORT_DEPTH_BLOCK,16,TRELLIS_SPAN_128,256,256,1.0,1.0,HEAD,0.41830065359477125,420.0,261069.79166666666,0.3,False
