caseId,ebn0Index,shardId,frameStart,frameCount
K200_S15,1,0,0,167
K200_S15,1,1,167,167
K200_S15,1,2,334,166
K200_M255K207,1,0,0,167
K200_M255K207,1,1,167,167
K200_M255K207,1,2,334,166
K200_M511K421,1,0,0,167
K200_M511K421,1,1,167,167
K200_M511K421,1,2,334,166
K200_M511K385,1,0,0,167
K200_M511K385,1,1,167,167
K200_M511K385,1,2,334,166
K300_S15,1,0,0,167
K300_S15,1,1,167,167
K300_S15,1,2,334,166
K300_M255K207,1,0,0,167
K300_M255K207,1,1,167,167
K300_M255K207,1,2,334,166
K300_M511K421,1,0,0,167
K300_M511K421,1,1,167,167
K300_M511K421,1,2,334,166
K300_M511K385,1,0,0,167
K300_M511K385,1,1,167,167
K300_M511K385,1,2,334,166
