figureId,sourceCsv,sourceRowId,sourceRowSha256,caseId,payloadLength,legendLabel,styleId,snrIndex,snrDb,snrLinear,ebn0Db,actualRate,encodedLength,metric,rawNumerator,rawDenominator,rawY,plotY,isZeroObserved,zeroObservedStatus,plotSurrogateUsed,plotSurrogateFormula,oneSided95UpperBound,totalFrames,stopReason
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,38,fe3a8dde58b70a91f516c43583690890b0d7839c650f5c0b1b7d99bbef96fc6f,K200_M255K207,200,255整块200,STYLE_2,0,0,1,-2.0760831050174611,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,39,3ca93613951da26375a829514c15339b1950ee54dfae6bb23ca454d079598cdb,K200_M255K207,200,255整块200,STYLE_2,1,0.5,1.1220184543019633,-1.5760831050174611,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,40,ae1043acb67e0bb7ef41782871be4fb1e37d3b895ae194bd9922f036aa31307b,K200_M255K207,200,255整块200,STYLE_2,2,1,1.2589254117941673,-1.0760831050174611,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,41,7a98c8eec34393b7f61be682aef175f738df1171ac16c0be9063f3780288f5b7,K200_M255K207,200,255整块200,STYLE_2,3,1.5,1.4125375446227544,-0.57608310501746107,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,42,ee9b6ae123d64cfbf99d90e71ed51d4692a6076bc83cb089884b7b37aa5ec59f,K200_M255K207,200,255整块200,STYLE_2,4,2,1.5848931924611136,-0.076083105017461072,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,43,26a89b16592e3028ff9cb2d96fb73c355ea7c0052b5f8b69fa6d4ee98ea2c317,K200_M255K207,200,255整块200,STYLE_2,5,2.5,1.7782794100389228,0.42391689498253893,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,44,398ae6e2585f217a80ea5f59091951bc0fa636e95836eea5d38cb50e5da52ec2,K200_M255K207,200,255整块200,STYLE_2,6,3,1.9952623149688795,0.92391689498253893,0.80645161290322576,248,fer,1000,1000,1,1,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,45,e7fd5ed2919c72098c6979616538d6243c5bb4c47b05ef1697f8bd7b3fd4e28d,K200_M255K207,200,255整块200,STYLE_2,7,3.5,2.2387211385683394,1.4239168949825389,0.80645161290322576,248,fer,997,1000,0.997,0.997,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,46,02d82275075d3fbf5632e893d7caa34a59b98ddfe24ba9999d9283b30c1a5e83,K200_M255K207,200,255整块200,STYLE_2,8,4,2.5118864315095801,1.9239168949825389,0.80645161290322576,248,fer,993,1000,0.99299999999999999,0.99299999999999999,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,47,da2d94a2df63422204685fb1af892aa3310cbfecadfd6834c76e2ab799351d58,K200_M255K207,200,255整块200,STYLE_2,9,4.5,2.8183829312644537,2.4239168949825389,0.80645161290322576,248,fer,962,1000,0.96199999999999997,0.96199999999999997,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,48,d2d5c03c7423a4808e43b8732695bf793084cc8fcc6ece763c6cac1cc83fd91f,K200_M255K207,200,255整块200,STYLE_2,10,5,3.1622776601683795,2.9239168949825389,0.80645161290322576,248,fer,829,1000,0.82899999999999996,0.82899999999999996,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,49,eea54319c9b3b014faa65476427d734ab75fd26a1cdac9a4ad330e8c7a66d79d,K200_M255K207,200,255整块200,STYLE_2,11,5.5,3.548133892335755,3.4239168949825389,0.80645161290322576,248,fer,580,1000,0.57999999999999996,0.57999999999999996,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,50,aba8f4fc18208e642ac139956bbbd9015842005d19e45f5ed2c7a97770096311,K200_M255K207,200,255整块200,STYLE_2,12,6,3.9810717055349722,3.9239168949825389,0.80645161290322576,248,fer,367,1000,0.36699999999999999,0.36699999999999999,false,OBSERVED_ERROR_RATE,false,none,0.0030000000000000001,1000,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,51,43bc2b8a18596f02a90c156c48450cc1e2ef18e273b16cd3ac0e6a891ebb0827,K200_M255K207,200,255整块200,STYLE_2,13,6.5,4.4668359215096318,4.4239168949825389,0.80645161290322576,248,fer,200,1464,0.13661202185792351,0.13661202185792351,false,OBSERVED_ERROR_RATE,false,none,0.0020491803278688526,1464,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,52,d146c7907334008abc0a7813c997c274bbfe8c03a44ae261296d0def37a89780,K200_M255K207,200,255整块200,STYLE_2,14,7,5.011872336272722,4.9239168949825389,0.80645161290322576,248,fer,200,5041,0.039674667724657803,0.039674667724657803,false,OBSERVED_ERROR_RATE,false,none,0.00059512001586986714,5041,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,53,a0d44c1048d6e4a4f9b212a891fe2a57c058b7f32c0fe20ec321bdd705442a73,K200_M255K207,200,255整块200,STYLE_2,15,7.5,5.6234132519034912,5.4239168949825389,0.80645161290322576,248,fer,200,28585,0.0069966765786251533,0.0069966765786251533,false,OBSERVED_ERROR_RATE,false,none,0.0001049501486793773,28585,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,54,46097f385037ad86a5256b0ada8d15d02baa326623afbecd4d21a9ee7757ecda,K200_M255K207,200,255整块200,STYLE_2,16,8,6.3095734448019334,5.9239168949825389,0.80645161290322576,248,fer,60,50000,0.0011999999999999999,0.0011999999999999999,false,OBSERVED_ERROR_RATE,false,none,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,55,b54fd0e3b24047e8763c8215dd37c212097a25885de9a872bdb416196a680c6d,K200_M255K207,200,255整块200,STYLE_2,17,8.5,7.0794578438413787,6.4239168949825389,0.80645161290322576,248,fer,3,50000,6.0000000000000002e-05,6.0000000000000002e-05,false,OBSERVED_ERROR_RATE,false,none,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,56,1b26133a4c9f8f11b2a11fe0428f283be3c51b1f9854abc0a760ecd345cfb24e,K200_M255K207,200,255整块200,STYLE_2,18,9,7.9432823472428158,6.9239168949825389,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,57,8f9d453b2280597f842d8a226224e211a0d3d24126d29e2aa2a0819b25d80e46,K200_M255K207,200,255整块200,STYLE_2,19,9.5,8.9125093813374541,7.4239168949825389,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,58,996483547cb9be49acc493acde4b946494e9bdbb09a558bbb1be43582d8c584e,K200_M255K207,200,255整块200,STYLE_2,20,10,10,7.9239168949825389,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,59,8fbf0707f4b4fb23dc0be42b303b5b37dc9843297e6ee07aed4f3803978e085e,K200_M255K207,200,255整块200,STYLE_2,21,10.5,11.220184543019636,8.4239168949825398,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,60,477ff5ade874c96901f8633f85efca2f12399896b704a72314e244f115c5e347,K200_M255K207,200,255整块200,STYLE_2,22,11,12.589254117941675,8.9239168949825398,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,61,6391378ace3cc0dd417f469a7150aaee91a32f25f64c1a6640517bab0b347d49,K200_M255K207,200,255整块200,STYLE_2,23,11.5,14.12537544622754,9.4239168949825398,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,62,774e36149f822e3ac889e892261f493e7e3688c46fee854a90b43a33855c1ff0,K200_M255K207,200,255整块200,STYLE_2,24,12,15.848931924611133,9.9239168949825398,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,63,edef7012e956ab7b23c108b80ba064047745a30dbec2208041c8eb31434e952a,K200_M255K207,200,255整块200,STYLE_2,25,12.5,17.782794100389228,10.42391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,64,fe3887a9855c7260031484ad371f3c4fbe858f636399367c495a4c9893f8bc8a,K200_M255K207,200,255整块200,STYLE_2,26,13,19.952623149688797,10.92391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,65,0e12b791863dc7ffb55ad4415e2fc96c1eaf88ba94e3e757bee9c7830491f32e,K200_M255K207,200,255整块200,STYLE_2,27,13.5,22.387211385683401,11.42391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,66,151eec4327e03eb6062d6724187718c09da37cce6631689c856dd7d88bbf6ce6,K200_M255K207,200,255整块200,STYLE_2,28,14,25.118864315095795,11.92391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,67,22b63a9ed862f990baed2bafadd8aadf2df90fc555a1a3c49d75c3a4ac1be2af,K200_M255K207,200,255整块200,STYLE_2,29,14.5,28.183829312644534,12.42391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,68,bf6d6c0c3a0a4778ee30710f6410fd9f52b4164b799c050c094da8b07598c417,K200_M255K207,200,255整块200,STYLE_2,30,15,31.622776601683793,12.92391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k200_fer,stage07_awgn_dense_formal_results.csv,69,a08783e17922b30ce98230dd6308f32836e89a02d34324c428f5dd8f5e5f8630,K200_M255K207,200,255整块200,STYLE_2,31,15.5,35.481338923357548,13.42391689498254,0.80645161290322576,248,fer,0,50000,0,6.0000000000000002e-05,true,ZERO_OBSERVED_CENSORED,true,3/totalFrames,6.0000000000000002e-05,50000,MAX_FRAMES_REACHED
