figureId,sourceCsv,sourceRowId,sourceRowSha256,caseId,payloadLength,legendLabel,styleId,snrIndex,snrDb,snrLinear,ebn0Db,actualRate,encodedLength,metric,rawNumerator,rawDenominator,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,totalFrames,stopReason
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,200,000303cc8c8d0d7f4ee490222d2ceb1597814774580298d1c44fd6736ce87024,K300_M255K207,300,255双块300,STYLE_2,14,7,5.011872336272722,5.1954393554186868,0.75757575757575757,396,fer,200,7334,0.027270248159258249,0.027270248159258249,false,false,none,7334,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,201,114809d33723d90bd8350b806bc171cfee0dda45dbe1b26d68769bbd04edb565,K300_M255K207,300,255双块300,STYLE_2,15,7.5,5.6234132519034912,5.6954393554186868,0.75757575757575757,396,fer,200,44537,0.0044906482250712887,0.0044906482250712887,false,false,none,44537,TARGET_FRAME_ERRORS_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,202,19a90e750fd4a6b4a3799af79a0738ef7d539c7a6ddb6c242a8fc4f0a49412c8,K300_M255K207,300,255双块300,STYLE_2,16,8,6.3095734448019334,6.1954393554186868,0.75757575757575757,396,fer,25,50000,0.00050000000000000001,0.00050000000000000001,false,false,none,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,203,9bf2186ef055cc41ef04259e27b1509f03edf34b0cdbbc6def8a29524f0d0d98,K300_M255K207,300,255双块300,STYLE_2,17,8.5,7.0794578438413787,6.6954393554186868,0.75757575757575757,396,fer,1,50000,2.0000000000000002e-05,2.0000000000000002e-05,false,false,none,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,204,a0c703bdb10fef3a11bdd9bf807193a184930e0fce354bc2bd86ede339c4d015,K300_M255K207,300,255双块300,STYLE_2,18,9,7.9432823472428158,7.1954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,205,95a68ed3a2a2bdcee7f52beb70f2dfac70f705a0046110f0ee55de421211cdcc,K300_M255K207,300,255双块300,STYLE_2,19,9.5,8.9125093813374541,7.6954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,206,fc95cd1c803a756449f11added39848757a388341b30934d7340931292f130c2,K300_M255K207,300,255双块300,STYLE_2,20,10,10,8.1954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,207,fe98ce669a1e0c3c0d57252fd947eff604b01d49e6adb6cdfd93b12ac69be116,K300_M255K207,300,255双块300,STYLE_2,21,10.5,11.220184543019636,8.6954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,208,de9706ebfbafdb18c3501370601390e120aa7b105bb1df48b3437711ba589f89,K300_M255K207,300,255双块300,STYLE_2,22,11,12.589254117941675,9.1954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
stage07_awgn_dense_formal_k300_fer,stage07_awgn_dense_formal_results.csv,209,64e6495d1318fd63311d066fb47ec9947b7085e58a634887f9c8e9071e3d5292,K300_M255K207,300,255双块300,STYLE_2,23,11.5,14.12537544622754,9.6954393554186868,0.75757575757575757,396,fer,0,50000,0,1.0000000000000001e-05,true,true,0.5/totalFrames,50000,MAX_FRAMES_REACHED
