runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason
prescan,C_CHANGE_D,W128-S25-D70,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,70,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,143998000,866000,1337.1803000000027,1859.0,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D70,STAGE13-1200,PRESCAN_FIXED_FRAMES
prescan,C_CHANGE_D,W128-S25-D84,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,84,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,216,165.0,214,216,611,49.25,50,9,9,9,143998000,978000,1328.1331999999995,1826.0,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D84,STAGE13-1200,PRESCAN_FIXED_FRAMES
prescan,C_CHANGE_D,W128-S25-D98,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,98,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,244,183.66666666666663,242,244,611,45.75,50,9,9,9,143998000,1090000,1350.3949999999988,1906.7,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D98,STAGE13-1200,PRESCAN_FIXED_FRAMES
prescan,A_CHANGE_W,W96-S16-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,96,16,70,1000,955,100,0.0031833333333333,0.1,0.0029880210844452,0.0033913687577457,0.0829094435930957,0.1201519631953484,0.0035131578947368,0.0021388888888888,97,12,0.0989010989010989,127,103.08,126,127,458,23.571428571428573,24,15,15,15,181886000,1286000,1566.6052000000009,2207.6,18432,18432,1536,19968,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W96-S16-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,A_CHANGE_W,W128-S16-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,16,70,1000,948,99,0.00316,0.099,0.0029654254311012,0.0033672983419757,0.0819954413686653,0.1190736189367498,0.0032806122448979,0.0029326923076923,90,11,0.0879120879120879,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,1816.1655000000007,2536.6,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,A_CHANGE_W,W160-S16-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,160,16,70,1000,946,99,0.0031533333333333,0.099,0.0029589700340648,0.003360420576408,0.0819954413686653,0.1190736189367498,0.0033414634146341,0.0029264705882352,88,10,0.0879120879120879,127,114.6,195,217,458,33.0,114,11,11,11,222846000,1006000,1915.9904999999997,2664.7,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W160-S16-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,A_CHANGE_W,W192-S16-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,192,16,70,1000,929,98,0.0030966666666666,0.098,0.0029041083267695,0.0033019504015693,0.0810820115233503,0.1179947022990359,0.0032348484848484,0.0029880952380952,71,9,0.0769230769230769,127,128.04,243,265,458,41.25,162,9,9,9,218750000,866000,1879.5458999999996,2585.4,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,B_CHANGE_S,W128-S8-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,8,70,1000,958,101,0.0031933333333333,0.101,0.0029977057704882,0.0034016838156088,0.0838240106523991,0.1212297426190738,0.0032731958762886,0.0030471698113207,100,14,0.1098901098901099,115,104.2,159,181,458,14.869565217391305,12,24,24,24,391806000,1916000,3279.402200000001,4492.5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S8-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,B_CHANGE_S,W128-S16-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,16,70,1000,948,99,0.00316,0.099,0.0029654254311012,0.0033672983419757,0.0819954413686653,0.1190736189367498,0.0032806122448979,0.0029326923076923,90,11,0.0879120879120879,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,1795.2000000000016,2484.9,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
prescan,B_CHANGE_S,W128-S25-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,70,1000,926,95,0.0030866666666666,0.095,0.0028944285719788,0.0032916304124539,0.0783452345790474,0.1147544397942522,0.003225,0.0029285714285714,68,7,0.0439560439560439,141,109.66666666666669,141,157,458,39.5,54,9,9,9,143998000,866000,1237.0293999999983,1763.8,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES
