rateCase,candidateId,windowBits,slideBits,dtb,meanFER,meanFirstOutputDelaySymbols,meanAvgDecisionDelaySymbols,meanP95DecisionDelaySymbols,maxTotalMemoryBytes,meanACSCount,meanTracebackOperations,meanCpuUs,frames,frameErrors
R12,W160-S16-D70,160,16,70,0.22829828908424088,170.0,153.13333333333333,260.0,32256,7275037704.580646,32841908.451612905,2305.5605056414797,1012027,7673
R12,W160-S25-D70,160,25,70,0.22820775838705046,188.0,162.5,280.0,32256,4642461663.290322,23701019.419354837,1478.1637360613659,1012027,7670
R12,W160-S50-D70,160,50,70,0.22801420999995367,238.0,175.0,280.0,32256,2636689441.354839,16845352.64516129,845.7482490594571,1012027,7664
R12,W160-S8-D70,160,8,70,0.22849183747133767,154.0,152.92,276.0,32256,13325783907.419355,53408908.77419355,4196.533243748868,1012027,7679
R23,W160-S16-D70,160,16,70,0.34569885207850576,127.0,114.6,195.0,32256,6145603856.5161295,27743273.29032258,2520.509896335419,854912,11299
R23,W160-S25-D70,160,25,70,0.3447903381931806,141.0,121.75,210.0,32256,3921729544.2580647,20021487.48387097,1620.7316450010362,854912,11265
R23,W160-S50-D70,160,50,70,0.3440389783621534,178.0,131.0,210.0,32256,2227349115.870968,14230148.129032258,928.5376601057968,854912,11238
R23,W160-S8-D70,160,8,70,0.3462544269232678,115.0,114.44,207.0,32256,11256984815.483871,45117291.35483871,4586.293834993544,854912,11321
R34,W160-S16-D70,160,16,70,0.40574326048997283,113.0,101.93333333333334,173.0,32256,5469604109.806452,24691588.51612903,2279.4806367632696,760874,13198
R34,W160-S25-D70,160,25,70,0.404482635963825,125.0,108.16666666666669,186.0,32256,3490349936.903226,17819178.19354839,1466.4363495116743,760874,13150
R34,W160-S50-D70,160,50,70,0.4036387958548372,158.0,116.5,186.0,32256,1982346757.548387,12664870.451612903,840.032762224201,760874,13113
R34,W160-S8-D70,160,8,70,0.40671471001823245,102.0,101.77333333333333,184.0,32256,10018747034.193548,40154511.741935484,4141.426442249487,760874,13234
