runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,timingBatchCount,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason,normalizedGoodput,runId,configId
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,0.5,0.5,2.346914308175988,0.65359477124183,0.4456254690668727,192,16,70,1000,3592,272,0.0119733333333333,0.272,0.0115903288689588,0.0123688358666277,0.245331247038837,0.300413754830576,0.012840909090909,0.0112916666666666,229,30,0.0461538461538461,127,128.04,243,265,458,41.25,162,9,9,9,218750000,866000,3073.456899999995,4545.2,2648.9,24810.9,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.4758169934640522,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,192,16,70,2149,2005,209,0.0031099736311462,0.0972545369939506,0.0029769863015108,0.003248882385324,0.0854361621204338,0.1105102031320148,0.003119844325056,0.0031022180859314,119,15,0.045,127,128.04,243,265,458,41.25,162,9,9,9,470093750,1861034,2584.90991158678,3400.1,2485.9,7232.6,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-2148,CC-C-R23-S-W192-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.5900297143830388,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,1.5,1.5,3.346914308175988,0.65359477124183,0.3539728921920689,192,16,70,8299,1514,206,0.0006081053942242,0.0248222677431015,0.0005782443708331,0.0006395074791396,0.021688353473086,0.0283958810486891,0.0006782489310504,0.0005529926152892,33,7,0.0299999999999999,127,128.04,243,265,458,41.25,162,9,9,9,1815406250,7186934,2570.988926376668,3285.1,2456.4,20428.4,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-8298,CC-C-R23-S-W192-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.6373710668345741,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,2.0,2.0,3.846914308175988,0.65359477124183,0.3154786722400966,192,16,70,32464,1319,202,0.0001354320683423,0.0062222769837358,0.0001283182495821,0.0001429402127959,0.0054233621140581,0.0071380352716585,0.0001514498110727,0.0001228466990541,14,4,0.0099999999999999,127,128.04,243,265,458,41.25,162,9,9,9,7101500000,28113824,2604.3748429029047,3436.3,2469.9,28218.8,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-32463,CC-C-R23-S-W192-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.6495279235400419,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,2.5,2.5,4.346914308175988,0.65359477124183,0.2811706625951745,192,16,70,50000,460,79,3.066666666666667e-05,0.00158,2.798939089792e-05,3.360002391724622e-05,0.0012680687046281,0.0019685118079705,3.227272727272728e-05,2.9404761904761905e-05,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2578.571073999995,3429.5,2455.9,83661.39999999998,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.6525620915032678,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,3.0,3.0,4.846914308175988,0.65359477124183,0.2505936168136361,192,16,70,50000,68,15,4.533333333333334e-06,0.0002999999999999,3.576316342010711e-06,5.746445191835263e-06,0.0001818199086819,0.0004949572714985,5.757575757575758e-06,3.5714285714285718e-06,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2602.415862000009,3461.6,2470.4,49537.4,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.6533986928104575,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,3.5,3.5,5.346914308175988,0.65359477124183,0.2233417960754815,192,16,70,50000,3,1,2.0000000000000002e-07,2e-05,6.801805083585822e-08,5.880790358524208e-07,3.530499822832098e-06,0.0001132897013912,0.0,3.571428571428572e-07,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2586.046321999989,3428.6,2463.1,29412.0,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.6535816993464051,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,4.0,4.0,5.846914308175988,0.65359477124183,0.1990535852767486,192,16,70,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.0,0.0,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2593.953762000013,3379.7,2478.8,35742.1,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.65359477124183,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,4.5,4.5,6.346914308175988,0.65359477124183,0.1774066946167877,192,16,70,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.0,0.0,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2624.521934000001,3461.2,2493.7,63675.3,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.65359477124183,stage13_full_wsd_20260730,W192-S16-D70
formal_full_wsd_20260730,CONTROL_W,W192-S16-D70,R23,FULL_GRID,5.0,5.0,6.846914308175988,0.65359477124183,0.1581138830084189,192,16,70,50000,0,0,0.0,0.0,0.0,2.5609718912715457e-07,0.0,7.682327414500052e-05,0.0,0.0,0,0,0.0,127,128.04,243,265,458,41.25,162,9,9,9,10937500000,43300000,2669.079126000006,3605.5,2523.3,70436.7,5,36864,36864,1536,38400,0,0,300,1,2026072001,2026072903,0-49999,CC-C-R23-S-W192-S16-D70,STAGE13-2300,MAX_FRAMES_REACHED,0.65359477124183,stage13_full_wsd_20260730,W192-S16-D70
