payloadLength,caseId,waveformSnrIndex,waveformSnrDb,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,observedBer,observedFer,errorFloorCensoringStatus,berOneSided95Upper,ferOneSided95Upper,interpretation
200,K200_S15,0,0,1001,200200,42696,1001,0.21326673326673326,1,OBSERVED_ERRORS,0.21326673326673326,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,1,0.5,1000,200000,39995,1000,0.19997500000000001,1,OBSERVED_ERRORS,0.19997500000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,2,1,1000,200000,37241,1000,0.18620500000000001,1,OBSERVED_ERRORS,0.18620500000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,3,1.5,1000,200000,34272,1000,0.17136000000000001,1,OBSERVED_ERRORS,0.17136000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,4,2,1000,200000,31417,1000,0.157085,1,OBSERVED_ERRORS,0.157085,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,5,2.5,1000,200000,28161,1000,0.14080500000000001,1,OBSERVED_ERRORS,0.14080500000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,6,3,1000,200000,25254,1000,0.12626999999999999,1,OBSERVED_ERRORS,0.12626999999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,7,3.5,1000,200000,22705,1000,0.113525,1,OBSERVED_ERRORS,0.113525,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,8,4,1000,200000,19094,1000,0.095469999999999999,1,OBSERVED_ERRORS,0.095469999999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,9,4.5,1000,200000,16546,1000,0.082729999999999998,1,OBSERVED_ERRORS,0.082729999999999998,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,10,5,1000,200000,13884,998,0.069419999999999996,0.998,OBSERVED_ERRORS,0.069419999999999996,0.998,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,11,5.5,1000,200000,11704,997,0.058520000000000003,0.997,OBSERVED_ERRORS,0.058520000000000003,0.997,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,12,6,1000,200000,9596,983,0.047980000000000002,0.98299999999999998,OBSERVED_ERRORS,0.047980000000000002,0.98299999999999998,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,13,6.5,1000,200000,7878,969,0.039390000000000001,0.96899999999999997,OBSERVED_ERRORS,0.039390000000000001,0.96899999999999997,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,14,7,1000,200000,6318,948,0.03159,0.94799999999999995,OBSERVED_ERRORS,0.03159,0.94799999999999995,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,15,7.5,1000,200000,4961,870,0.024805000000000001,0.87,OBSERVED_ERRORS,0.024805000000000001,0.87,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,16,8,1000,200000,3636,778,0.018180000000000002,0.77800000000000002,OBSERVED_ERRORS,0.018180000000000002,0.77800000000000002,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,17,8.5,1000,200000,3057,743,0.015285,0.74299999999999999,OBSERVED_ERRORS,0.015285,0.74299999999999999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,18,9,1000,200000,2332,629,0.01166,0.629,OBSERVED_ERRORS,0.01166,0.629,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,19,9.5,1000,200000,1617,496,0.0080850000000000002,0.496,OBSERVED_ERRORS,0.0080850000000000002,0.496,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,20,10,1000,200000,1278,410,0.0063899999999999998,0.40999999999999998,OBSERVED_ERRORS,0.0063899999999999998,0.40999999999999998,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,21,10.5,1000,200000,825,295,0.0041250000000000002,0.29499999999999998,OBSERVED_ERRORS,0.0041250000000000002,0.29499999999999998,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,22,11,1000,200000,625,226,0.0031250000000000002,0.22600000000000001,OBSERVED_ERRORS,0.0031250000000000002,0.22600000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,23,11.5,1064,212800,521,200,0.0024483082706766917,0.18796992481203006,OBSERVED_ERRORS,0.0024483082706766917,0.18796992481203006,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,24,12,1496,299200,498,200,0.0016644385026737968,0.13368983957219252,OBSERVED_ERRORS,0.0016644385026737968,0.13368983957219252,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,25,12.5,1935,387000,516,200,0.0013333333333333333,0.10335917312661498,OBSERVED_ERRORS,0.0013333333333333333,0.10335917312661498,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,26,13,3053,610600,512,200,0.00083851948902718639,0.065509335080248934,OBSERVED_ERRORS,0.00083851948902718639,0.065509335080248934,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,27,13.5,4970,994000,499,200,0.00050201207243460761,0.040241448692152917,OBSERVED_ERRORS,0.00050201207243460761,0.040241448692152917,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,28,14,7661,1532200,495,200,0.00032306487403733195,0.026106252447461165,OBSERVED_ERRORS,0.00032306487403733195,0.026106252447461165,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,29,14.5,11551,2310200,482,200,0.0002086399445935417,0.017314518223530431,OBSERVED_ERRORS,0.0002086399445935417,0.017314518223530431,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,30,15,18031,3606200,484,200,0.00013421329931784151,0.011092008208086075,OBSERVED_ERRORS,0.00013421329931784151,0.011092008208086075,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,31,15.5,30480,6096000,473,200,7.759186351706037e-05,0.0065616797900262466,OBSERVED_ERRORS,7.759186351706037e-05,0.0065616797900262466,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,32,16,50000,10000000,404,165,4.0399999999999999e-05,0.0033,OBSERVED_ERRORS,4.0399999999999999e-05,0.0033,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,33,16.5,50000,10000000,256,108,2.5599999999999999e-05,0.00216,OBSERVED_ERRORS,2.5599999999999999e-05,0.00216,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,34,17,50000,10000000,186,76,1.8600000000000001e-05,0.0015200000000000001,OBSERVED_ERRORS,1.8600000000000001e-05,0.0015200000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,35,17.5,50000,10000000,73,27,7.3000000000000004e-06,0.00054000000000000001,OBSERVED_ERRORS,7.3000000000000004e-06,0.00054000000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_S15,36,18,50000,10000000,29,12,2.9000000000000002e-06,0.00024000000000000001,OBSERVED_ERRORS,2.9000000000000002e-06,0.00024000000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,0,0,1000,200000,37662,1000,0.18831000000000001,1,OBSERVED_ERRORS,0.18831000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,1,0.5,1000,200000,35263,1000,0.176315,1,OBSERVED_ERRORS,0.176315,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,2,1,1000,200000,32599,1000,0.162995,1,OBSERVED_ERRORS,0.162995,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,3,1.5,1000,200000,30365,1000,0.15182499999999999,1,OBSERVED_ERRORS,0.15182499999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,4,2,1000,200000,28272,1000,0.14136000000000001,1,OBSERVED_ERRORS,0.14136000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,5,2.5,1000,200000,25684,1000,0.12842000000000001,1,OBSERVED_ERRORS,0.12842000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,6,3,1000,200000,23400,1000,0.11700000000000001,1,OBSERVED_ERRORS,0.11700000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,7,3.5,1000,200000,21252,1000,0.10625999999999999,1,OBSERVED_ERRORS,0.10625999999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,8,4,1000,200000,19221,1000,0.096104999999999996,1,OBSERVED_ERRORS,0.096104999999999996,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,9,4.5,1000,200000,16988,999,0.084940000000000002,0.999,OBSERVED_ERRORS,0.084940000000000002,0.999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,10,5,1000,200000,15001,999,0.075005000000000002,0.999,OBSERVED_ERRORS,0.075005000000000002,0.999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,11,5.5,1000,200000,13269,995,0.066345000000000001,0.995,OBSERVED_ERRORS,0.066345000000000001,0.995,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,12,6,1000,200000,11524,982,0.057619999999999998,0.98199999999999998,OBSERVED_ERRORS,0.057619999999999998,0.98199999999999998,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,13,6.5,1000,200000,9562,934,0.047809999999999998,0.93400000000000005,OBSERVED_ERRORS,0.047809999999999998,0.93400000000000005,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,14,7,1000,200000,8063,868,0.040314999999999997,0.86799999999999999,OBSERVED_ERRORS,0.040314999999999997,0.86799999999999999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,15,7.5,1000,200000,6181,742,0.030904999999999998,0.74199999999999999,OBSERVED_ERRORS,0.030904999999999998,0.74199999999999999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,16,8,1000,200000,4497,593,0.022485000000000002,0.59299999999999997,OBSERVED_ERRORS,0.022485000000000002,0.59299999999999997,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,17,8.5,1000,200000,2732,372,0.01366,0.372,OBSERVED_ERRORS,0.01366,0.372,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,18,9,1000,200000,1480,213,0.0074000000000000003,0.21299999999999999,OBSERVED_ERRORS,0.0074000000000000003,0.21299999999999999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,19,9.5,1504,300800,1342,200,0.0044614361702127658,0.13297872340425532,OBSERVED_ERRORS,0.0044614361702127658,0.13297872340425532,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,20,10,2893,578600,1286,200,0.0022226062910473557,0.069132388524023508,OBSERVED_ERRORS,0.0022226062910473557,0.069132388524023508,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,21,10.5,6060,1212000,1294,200,0.0010676567656765677,0.033003300330033,OBSERVED_ERRORS,0.0010676567656765677,0.033003300330033,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,22,11,16660,3332000,1257,200,0.00037725090036014406,0.012004801920768308,OBSERVED_ERRORS,0.00037725090036014406,0.012004801920768308,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,23,11.5,36338,7267600,1238,200,0.00017034509329076999,0.0055038802355660736,OBSERVED_ERRORS,0.00017034509329076999,0.0055038802355660736,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,24,12,50000,10000000,751,113,7.5099999999999996e-05,0.0022599999999999999,OBSERVED_ERRORS,7.5099999999999996e-05,0.0022599999999999999,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,25,12.5,50000,10000000,251,42,2.51e-05,0.00084000000000000003,OBSERVED_ERRORS,2.51e-05,0.00084000000000000003,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,26,13,50000,10000000,60,11,6.0000000000000002e-06,0.00022000000000000001,OBSERVED_ERRORS,6.0000000000000002e-06,0.00022000000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,27,13.5,50000,10000000,68,9,6.8000000000000001e-06,0.00018000000000000001,OBSERVED_ERRORS,6.8000000000000001e-06,0.00018000000000000001,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,28,14,50000,10000000,7,1,6.9999999999999997e-07,2.0000000000000002e-05,OBSERVED_ERRORS,6.9999999999999997e-07,2.0000000000000002e-05,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,29,14.5,50000,10000000,23,3,2.3e-06,6.0000000000000002e-05,OBSERVED_ERRORS,2.3e-06,6.0000000000000002e-05,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,30,15,50000,10000000,16,2,1.5999999999999999e-06,4.0000000000000003e-05,OBSERVED_ERRORS,1.5999999999999999e-06,4.0000000000000003e-05,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,31,15.5,50000,10000000,0,0,0,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,6.0000000000000002e-05,"zero errors observed; treat as censored upper-bound evidence, not measured zero"
200,K200_M255K207,32,16,50000,10000000,0,0,0,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,6.0000000000000002e-05,"zero errors observed; treat as censored upper-bound evidence, not measured zero"
200,K200_M255K207,33,16.5,50000,10000000,0,0,0,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,6.0000000000000002e-05,"zero errors observed; treat as censored upper-bound evidence, not measured zero"
200,K200_M255K207,34,17,50000,10000000,7,1,6.9999999999999997e-07,2.0000000000000002e-05,OBSERVED_ERRORS,6.9999999999999997e-07,2.0000000000000002e-05,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M255K207,35,17.5,50000,10000000,0,0,0,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,6.0000000000000002e-05,"zero errors observed; treat as censored upper-bound evidence, not measured zero"
200,K200_M255K207,36,18,50000,10000000,0,0,0,0,ZERO_OBSERVED_CENSORED,2.9999999999999999e-07,6.0000000000000002e-05,"zero errors observed; treat as censored upper-bound evidence, not measured zero"
200,K200_M511K421,0,0,1000,200000,37368,1000,0.18684000000000001,1,OBSERVED_ERRORS,0.18684000000000001,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M511K421,1,0.5,1000,200000,35430,1000,0.17715,1,OBSERVED_ERRORS,0.17715,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M511K421,2,1,1000,200000,32564,1000,0.16281999999999999,1,OBSERVED_ERRORS,0.16281999999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
200,K200_M511K421,3,1.5,1000,200000,30477,1000,0.15238499999999999,1,OBSERVED_ERRORS,0.15238499999999999,1,errors observed; use measured rate with ordinary finite-sample uncertainty
