payloadLength,waveformSnrIndex,waveformSnrDb,berRanking,ferRanking,decoderFailureRateRanking,miscorrectionRateRanking,decodeTimeMeanNsRanking,equalizeTimeMeanNsRanking,berErrorFloorAwareRanking,ferErrorFloorAwareRanking,zeroObservedCensoredCases,errorFloorRankingNote
200,0,0,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K421;3:K200_M255K207;4:K200_M511K385,1:K200_S15;2:K200_M511K421;3:K200_M511K385;4:K200_M255K207,1:K200_M511K421:OBSERVED_ERRORS:upper=0.18684000000000001;2:K200_M511K385:OBSERVED_ERRORS:upper=0.18719;3:K200_M255K207:OBSERVED_ERRORS:upper=0.18831000000000001;4:K200_S15:OBSERVED_ERRORS:upper=0.21326673326673326,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,1,0.5,1:K200_M511K385;2:K200_M255K207;3:K200_M511K421;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_M511K421;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K385;4:K200_M511K421,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K385:OBSERVED_ERRORS:upper=0.17500499999999999;2:K200_M255K207:OBSERVED_ERRORS:upper=0.176315;3:K200_M511K421:OBSERVED_ERRORS:upper=0.17715;4:K200_S15:OBSERVED_ERRORS:upper=0.19997500000000001,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,2,1,1:K200_M511K421;2:K200_M255K207;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421:OBSERVED_ERRORS:upper=0.16281999999999999;2:K200_M255K207:OBSERVED_ERRORS:upper=0.162995;3:K200_M511K385:OBSERVED_ERRORS:upper=0.16306000000000001;4:K200_S15:OBSERVED_ERRORS:upper=0.18620500000000001,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,3,1.5,1:K200_M255K207;2:K200_M511K385;3:K200_M511K421;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K421;3:K200_M255K207;4:K200_M511K385,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M255K207:OBSERVED_ERRORS:upper=0.15182499999999999;2:K200_M511K385:OBSERVED_ERRORS:upper=0.15203;3:K200_M511K421:OBSERVED_ERRORS:upper=0.15238499999999999;4:K200_S15:OBSERVED_ERRORS:upper=0.17136000000000001,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,4,2,1:K200_M511K421;2:K200_M255K207;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421:OBSERVED_ERRORS:upper=0.14042499999999999;2:K200_M255K207:OBSERVED_ERRORS:upper=0.14136000000000001;3:K200_M511K385:OBSERVED_ERRORS:upper=0.14185500000000001;4:K200_S15:OBSERVED_ERRORS:upper=0.157085,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,5,2.5,1:K200_M511K421;2:K200_M255K207;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K385;4:K200_M511K421,1:K200_M511K421:OBSERVED_ERRORS:upper=0.12759000000000001;2:K200_M255K207:OBSERVED_ERRORS:upper=0.12842000000000001;3:K200_M511K385:OBSERVED_ERRORS:upper=0.12925500000000001;4:K200_S15:OBSERVED_ERRORS:upper=0.14080500000000001,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,6,3,1:K200_M511K385;2:K200_M255K207;3:K200_M511K421;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_M511K421;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.116475;2:K200_M255K207:OBSERVED_ERRORS:upper=0.11700000000000001;3:K200_M511K421:OBSERVED_ERRORS:upper=0.11823500000000001;4:K200_S15:OBSERVED_ERRORS:upper=0.12626999999999999,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,7,3.5,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M511K421:OBSERVED_ERRORS:upper=0.105265;2:K200_M511K385:OBSERVED_ERRORS:upper=0.10586;3:K200_M255K207:OBSERVED_ERRORS:upper=0.10625999999999999;4:K200_S15:OBSERVED_ERRORS:upper=0.113525,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,8,4,1:K200_M511K421;2:K200_M511K385;3:K200_S15;4:K200_M255K207,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_M511K421;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M511K421;3:K200_M255K207;4:K200_M511K385,1:K200_M511K421:OBSERVED_ERRORS:upper=0.093780000000000002;2:K200_M511K385:OBSERVED_ERRORS:upper=0.094320000000000001;3:K200_S15:OBSERVED_ERRORS:upper=0.095469999999999999;4:K200_M255K207:OBSERVED_ERRORS:upper=0.096104999999999996,1:K200_M255K207:OBSERVED_ERRORS:upper=1;2:K200_M511K385:OBSERVED_ERRORS:upper=1;3:K200_M511K421:OBSERVED_ERRORS:upper=1;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,9,4.5,1:K200_S15;2:K200_M511K385;3:K200_M255K207;4:K200_M511K421,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K421;3:K200_M511K385;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_S15:OBSERVED_ERRORS:upper=0.082729999999999998;2:K200_M511K385:OBSERVED_ERRORS:upper=0.084879999999999997;3:K200_M255K207:OBSERVED_ERRORS:upper=0.084940000000000002;4:K200_M511K421:OBSERVED_ERRORS:upper=0.085059999999999997,1:K200_M511K385:OBSERVED_ERRORS:upper=0.997;2:K200_M511K421:OBSERVED_ERRORS:upper=0.997;3:K200_M255K207:OBSERVED_ERRORS:upper=0.999;4:K200_S15:OBSERVED_ERRORS:upper=1,NONE,all cases have observed errors
200,10,5,1:K200_S15;2:K200_M511K385;3:K200_M255K207;4:K200_M511K421,1:K200_M511K385;2:K200_M511K421;3:K200_S15;4:K200_M255K207,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_S15:OBSERVED_ERRORS:upper=0.069419999999999996;2:K200_M511K385:OBSERVED_ERRORS:upper=0.07442;3:K200_M255K207:OBSERVED_ERRORS:upper=0.075005000000000002;4:K200_M511K421:OBSERVED_ERRORS:upper=0.075234999999999996,1:K200_M511K385:OBSERVED_ERRORS:upper=0.98299999999999998;2:K200_M511K421:OBSERVED_ERRORS:upper=0.98999999999999999;3:K200_S15:OBSERVED_ERRORS:upper=0.998;4:K200_M255K207:OBSERVED_ERRORS:upper=0.999,NONE,all cases have observed errors
200,11,5.5,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_S15:OBSERVED_ERRORS:upper=0.058520000000000003;2:K200_M511K385:OBSERVED_ERRORS:upper=0.064034999999999995;3:K200_M511K421:OBSERVED_ERRORS:upper=0.065665000000000001;4:K200_M255K207:OBSERVED_ERRORS:upper=0.066345000000000001,1:K200_M511K385:OBSERVED_ERRORS:upper=0.92400000000000004;2:K200_M511K421:OBSERVED_ERRORS:upper=0.98199999999999998;3:K200_M255K207:OBSERVED_ERRORS:upper=0.995;4:K200_S15:OBSERVED_ERRORS:upper=0.997,NONE,all cases have observed errors
200,12,6,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_S15:OBSERVED_ERRORS:upper=0.047980000000000002;2:K200_M511K385:OBSERVED_ERRORS:upper=0.051374999999999997;3:K200_M511K421:OBSERVED_ERRORS:upper=0.055910000000000001;4:K200_M255K207:OBSERVED_ERRORS:upper=0.057619999999999998,1:K200_M511K385:OBSERVED_ERRORS:upper=0.82299999999999995;2:K200_M511K421:OBSERVED_ERRORS:upper=0.92800000000000005;3:K200_M255K207:OBSERVED_ERRORS:upper=0.98199999999999998;4:K200_S15:OBSERVED_ERRORS:upper=0.98299999999999998,NONE,all cases have observed errors
200,13,6.5,1:K200_M511K385;2:K200_S15;3:K200_M511K421;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M255K207;2:K200_M511K421;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.037065000000000001;2:K200_S15:OBSERVED_ERRORS:upper=0.039390000000000001;3:K200_M511K421:OBSERVED_ERRORS:upper=0.044534999999999998;4:K200_M255K207:OBSERVED_ERRORS:upper=0.047809999999999998,1:K200_M511K385:OBSERVED_ERRORS:upper=0.63900000000000001;2:K200_M511K421:OBSERVED_ERRORS:upper=0.82199999999999995;3:K200_M255K207:OBSERVED_ERRORS:upper=0.93400000000000005;4:K200_S15:OBSERVED_ERRORS:upper=0.96899999999999997,NONE,all cases have observed errors
200,14,7,1:K200_M511K385;2:K200_S15;3:K200_M511K421;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.022114999999999999;2:K200_S15:OBSERVED_ERRORS:upper=0.03159;3:K200_M511K421:OBSERVED_ERRORS:upper=0.033529999999999997;4:K200_M255K207:OBSERVED_ERRORS:upper=0.040314999999999997,1:K200_M511K385:OBSERVED_ERRORS:upper=0.41499999999999998;2:K200_M511K421:OBSERVED_ERRORS:upper=0.67900000000000005;3:K200_M255K207:OBSERVED_ERRORS:upper=0.86799999999999999;4:K200_S15:OBSERVED_ERRORS:upper=0.94799999999999995,NONE,all cases have observed errors
200,15,7.5,1:K200_M511K385;2:K200_M511K421;3:K200_S15;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.010975;2:K200_M511K421:OBSERVED_ERRORS:upper=0.023085000000000001;3:K200_S15:OBSERVED_ERRORS:upper=0.024805000000000001;4:K200_M255K207:OBSERVED_ERRORS:upper=0.030904999999999998,1:K200_M511K385:OBSERVED_ERRORS:upper=0.20699999999999999;2:K200_M511K421:OBSERVED_ERRORS:upper=0.47299999999999998;3:K200_M255K207:OBSERVED_ERRORS:upper=0.74199999999999999;4:K200_S15:OBSERVED_ERRORS:upper=0.87,NONE,all cases have observed errors
200,16,8,1:K200_M511K385;2:K200_M511K421;3:K200_S15;4:K200_M255K207,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M511K421;2:K200_M511K385;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_S15;3:K200_M511K421;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.0052376188094047024;2:K200_M511K421:OBSERVED_ERRORS:upper=0.013065;3:K200_S15:OBSERVED_ERRORS:upper=0.018180000000000002;4:K200_M255K207:OBSERVED_ERRORS:upper=0.022485000000000002,1:K200_M511K385:OBSERVED_ERRORS:upper=0.10005002501250625;2:K200_M511K421:OBSERVED_ERRORS:upper=0.29099999999999998;3:K200_M255K207:OBSERVED_ERRORS:upper=0.59299999999999997;4:K200_S15:OBSERVED_ERRORS:upper=0.77800000000000002,NONE,all cases have observed errors
200,17,8.5,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_M511K385;2:K200_M511K421;3:K200_M255K207;4:K200_S15,1:K200_S15;2:K200_M511K385;3:K200_M511K421;4:K200_M255K207,1:K200_M255K207;2:K200_M511K421;3:K200_M511K385;4:K200_S15,1:K200_S15;2:K200_M255K207;3:K200_M511K421;4:K200_M511K385,1:K200_M255K207;2:K200_M511K421;3:K200_S15;4:K200_M511K385,1:K200_M511K385:OBSERVED_ERRORS:upper=0.0017431192660550458;2:K200_M511K421:OBSERVED_ERRORS:upper=0.0054406130268199234;3:K200_M255K207:OBSERVED_ERRORS:upper=0.01366;4:K200_S15:OBSERVED_ERRORS:upper=0.015285,1:K200_M511K385:OBSERVED_ERRORS:upper=0.035977693829825505;2:K200_M511K421:OBSERVED_ERRORS:upper=0.1277139208173691;3:K200_M255K207:OBSERVED_ERRORS:upper=0.372;4:K200_S15:OBSERVED_ERRORS:upper=0.74299999999999999,NONE,all cases have observed errors
