caseId,totalFrames,encodeTimeMeanNs,channelTimeMeanNs,equalizeTimeMeanNs,hardDecisionTimeMeanNs,decodeTimeMeanNs,decodeTimeP95NsMax,equalizeTimeP95NsMax
K200_M255K207,732455,7853.659815278755,4107.641015489006,7474.249476077029,1187.2895945826024,22341.141093992122,212400.0,28000.0
K200_M511K385,939324,10367.906600917255,4568.010718346385,9700.807389143682,1159.2924273200726,65639.30784266132,310500.0,18800.0
K200_M511K421,856260,9489.56111461472,4029.0889449466285,8427.453343610585,1273.65251208745,47008.673300165836,249900.0,8800.0
K200_S15,353242,6898.3354187780615,3671.656541407873,7357.746813799039,979.4475175658614,14225.632002989452,46900.0,16100.0
K300_M255K207,731309,11942.588290312304,4951.30444176128,11356.980564986894,1387.1479771204786,37982.97245076978,392600.0,27100.0
K300_M511K385,884584,13946.675612491295,5511.3139057455255,12309.308104148391,1652.4794705759996,73478.38543315275,796100.0,35300.0
K300_M511K421,797070,13289.397919881567,5721.855295018004,11567.452544945863,1490.3606960492805,58097.52631512916,369700.0,24000.0
K300_S15,304867,10791.870881400742,5395.787015321435,13191.939763897044,1420.3249285754116,23100.975507352385,94200.0,32200.0
