stageId,caseId,displayName,legendLabel,styleId,payloadLength,motherN,motherK,motherT,blockCount,encodedLength,actualRate,ebn0Index,ebn0Db,snrLinear,snrDb,sigma2,masterSeed,configHash,gitCommit,checkpointId,shardId,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,encodeTimeTotalNs,decodeTimeTotalNs,encodeTimeMeanNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,noiseChecksum,stopReason
stage06_awgn_formal,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,0,4.5,3.9556251666869522,5.9721513131945212,0.25280453982892254,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_S15_0,0,5000,1000000,9441,2876,0,2876,0,2124,0.0094409999999999997,0.57520000000000004,18001300,40392200,3600,8078,6500,11200,23500,307100,4710635731224971598,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,1,5.5,4.9798370418747435,6.9721513131945212,0.20080978385259232,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_S15_1,0,5000,1000000,3185,1257,0,1257,0,3743,0.0031849999999999999,0.25140000000000001,30150800,61827300,6030,12365,8300,16400,96500,1851700,1028131558886363120,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,2,6.5,6.2692433986100093,7.9721513131945212,0.15950888112299419,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_S15_2,0,5000,1000000,786,345,0,345,0,4655,0.00078600000000000002,0.069000000000000006,32440200,61398800,6488,12279,8900,18200,81500,2053000,4212718271510118462,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,3,7.5,7.8925098272329706,8.9721513131945212,0.12670240796527324,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_S15_3,0,16624,3324800,455,200,0,200,0,16424,0.00013685033686236766,0.01203079884504331,68726800,129638100,4134,7798,5800,10300,20100,2418500,15557001234031866732,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,4,8.5,9.9360811843387769,9.9721513131945212,0.10064330005437125,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_S15_4,0,50000,10000000,136,64,0,64,0,49936,1.36e-05,0.0012800000000000001,187853300,372447300,3757,7448,5800,10300,21000,928400,15725741184883925921,MAX_FRAMES_REACHED
stage06_awgn_formal,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,0,3.5,3.6108405460779669,5.5760831050174611,0.27694382713359716,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_M255K207_0,0,5000,1000000,20692,2867,2861,6,0,2133,0.020691999999999999,0.57340000000000002,21127700,96964000,4225,19392,17300,25200,49200,382500,8474353307905923204,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,1,4.0999999999999996,4.1457996496271985,6.1760831050174607,0.24120798989645403,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_M255K207_1,0,5000,1000000,8675,1330,1329,1,0,3670,0.0086750000000000004,0.26600000000000001,20082000,92462200,4016,18492,16600,27300,43700,173200,2861715356162809149,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,2,4.7000000000000002,4.760014881719977,6.7760831050174612,0.21008337680630557,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_M255K207_2,0,5000,1000000,2219,358,358,0,0,4642,0.0022190000000000001,0.071599999999999997,21258100,89570500,4251,17914,17000,23200,43000,249400,4685022587680936371,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,3,5.2999999999999998,5.4652283248258477,7.3760831050174609,0.18297497205331589,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_M255K207_3,0,19156,3831200,1200,200,198,2,0,18956,0.00031321779077051577,0.010440593025683859,78898900,299915700,4118,15656,14800,22600,35600,324500,6775229598744276561,TARGET_FRAME_ERRORS_REACHED
stage06_awgn_formal,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,4,6,6.421083396024148,8.0760831050174602,0.155736958753594,2026072706,9a91f87c7ab562d740695d5222d00e0fc15dfef346623dfe61a2962439dfbdcb,7c1f21fdbcca40e4248f7fd21c241078cd964357,formal_K200_M255K207_4,0,50000,10000000,144,23,23,0,0,49977,1.4399999999999999e-05,0.00046000000000000001,225821800,753285300,4516,15065,13800,20900,43100,1922700,13260659384130587472,MAX_FRAMES_REACHED
