caseId,ebn0Index,ebn0Db
K200_S15,0,4.5
K200_S15,1,5.5
K200_S15,2,6.5
K200_S15,3,7.5
K200_S15,4,8.5
K200_M255K207,0,3.5
K200_M255K207,1,4.1
K200_M255K207,2,4.7
K200_M255K207,3,5.3
K200_M255K207,4,6.0
K200_M511K421,0,3.0
K200_M511K421,1,3.75
K200_M511K421,2,4.5
K200_M511K421,3,5.25
K200_M511K421,4,6.0
K200_M511K385,0,2.5
K200_M511K385,1,3.25
K200_M511K385,2,4.0
K200_M511K385,3,4.75
K200_M511K385,4,5.5
K300_S15,0,5.0
K300_S15,1,6.0
K300_S15,2,7.0
K300_S15,3,8.0
K300_S15,4,9.0
K300_M255K207,0,3.5
K300_M255K207,1,4.25
K300_M255K207,2,5.0
K300_M255K207,3,5.75
K300_M255K207,4,6.5
K300_M511K421,0,4.0
K300_M511K421,1,4.4
K300_M511K421,2,4.8
K300_M511K421,3,5.2
K300_M511K421,4,5.5
K300_M511K385,0,3.0
K300_M511K385,1,3.75
K300_M511K385,2,4.5
K300_M511K385,3,5.25
K300_M511K385,4,6.0
