caseId,payloadLength,snrIndex,snrDb,metric,rawNumerator,rawDenominator,rawRate,zeroObservedStatus,oneSided95UpperBound,upperBoundFormula,stopReason,totalFrames
K200_S15,200,0,0,ber,36343,200000,0.18171499999999999,OBSERVED_ERROR_RATE,0.18171499999999999,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,0,0,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,1,0.5,ber,32856,200000,0.16428000000000001,OBSERVED_ERROR_RATE,0.16428000000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,1,0.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,2,1,ber,29401,200000,0.147005,OBSERVED_ERROR_RATE,0.147005,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,2,1,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,3,1.5,ber,25491,200000,0.12745500000000001,OBSERVED_ERROR_RATE,0.12745500000000001,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,3,1.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,4,2,ber,21898,200000,0.10949,OBSERVED_ERROR_RATE,0.10949,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,4,2,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,5,2.5,ber,18330,200000,0.091649999999999995,OBSERVED_ERROR_RATE,0.091649999999999995,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,5,2.5,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,6,3,ber,14902,200000,0.074510000000000007,OBSERVED_ERROR_RATE,0.074510000000000007,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
K200_S15,200,6,3,fer,1000,1000,1,OBSERVED_ERROR_RATE,1,not_censored,TARGET_FRAME_ERRORS_REACHED,1000
